file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/alikhan/git/nui-mcs/Capstone Project/work/microsmellbert/spring-petclinic-microservices-experiment/../spring-petclinic-microservices/spring-petclinic-api-gateway/src/main/java/org/springframework/samples/petclinic/api/application/CustomersServiceClient.java,org.springframework.samples.petclinic.api.application.CustomersServiceClient,getOwner/1[int],false,33,2,1,1,0,1,5,3,1,0,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,1,0,false
/Users/alikhan/git/nui-mcs/Capstone Project/work/microsmellbert/spring-petclinic-microservices-experiment/../spring-petclinic-microservices/spring-petclinic-api-gateway/src/main/java/org/springframework/samples/petclinic/api/dto/OwnerDetails.java,org.springframework.samples.petclinic.api.dto.OwnerDetails,getPetIds/0,false,47,1,0,0,0,1,4,3,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/Users/alikhan/git/nui-mcs/Capstone Project/work/microsmellbert/spring-petclinic-microservices-experiment/../spring-petclinic-microservices/spring-petclinic-api-gateway/src/main/java/org/springframework/samples/petclinic/api/ApiGatewayApplication.java,org.springframework.samples.petclinic.api.ApiGatewayApplication,defaultCustomizer/0,false,84,4,0,0,0,1,8,3,1,2,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,2,13,1,0,true
/Users/alikhan/git/nui-mcs/Capstone Project/work/microsmellbert/spring-petclinic-microservices-experiment/../spring-petclinic-microservices/spring-petclinic-api-gateway/src/main/java/org/springframework/samples/petclinic/api/ApiGatewayApplication.java,org.springframework.samples.petclinic.api.ApiGatewayApplication,loadBalancedWebClientBuilder/0,false,61,3,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/Users/alikhan/git/nui-mcs/Capstone Project/work/microsmellbert/spring-petclinic-microservices-experiment/../spring-petclinic-microservices/spring-petclinic-api-gateway/src/main/java/org/springframework/samples/petclinic/api/ApiGatewayApplication.java,org.springframework.samples.petclinic.api.ApiGatewayApplication,main/1[java.lang.String[]],false,49,1,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,false
/Users/alikhan/git/nui-mcs/Capstone Project/work/microsmellbert/spring-petclinic-microservices-experiment/../spring-petclinic-microservices/spring-petclinic-api-gateway/src/main/java/org/springframework/samples/petclinic/api/ApiGatewayApplication.java,org.springframework.samples.petclinic.api.ApiGatewayApplication,routerFunction/0,false,73,3,0,0,0,1,6,4,1,2,0,6,0,0,0,0,0,0,3,0,1,0,0,0,0,1,18,0,0,true
/Users/alikhan/git/nui-mcs/Capstone Project/work/microsmellbert/spring-petclinic-microservices-experiment/../spring-petclinic-microservices/spring-petclinic-api-gateway/src/main/java/org/springframework/samples/petclinic/api/ApiGatewayApplication.java,org.springframework.samples.petclinic.api.ApiGatewayApplication,loadBalancedRestTemplate/0,false,55,3,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,false
/Users/alikhan/git/nui-mcs/Capstone Project/work/microsmellbert/spring-petclinic-microservices-experiment/../spring-petclinic-microservices/spring-petclinic-api-gateway/src/main/java/org/springframework/samples/petclinic/api/boundary/web/ApiGatewayController.java,org.springframework.samples.petclinic.api.boundary.web.ApiGatewayController,addVisitsToOwner/1[org.springframework.samples.petclinic.api.dto.OwnerDetails],false,62,2,0,0,0,2,11,7,2,3,1,11,0,0,0,1,0,0,0,0,0,0,1,0,0,3,9,2,0,false
/Users/alikhan/git/nui-mcs/Capstone Project/work/microsmellbert/spring-petclinic-microservices-experiment/../spring-petclinic-microservices/spring-petclinic-api-gateway/src/main/java/org/springframework/samples/petclinic/api/boundary/web/ApiGatewayController.java,org.springframework.samples.petclinic.api.boundary.web.ApiGatewayController,emptyVisitsForPets/0,false,74,2,1,0,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,false
/Users/alikhan/git/nui-mcs/Capstone Project/work/microsmellbert/spring-petclinic-microservices-experiment/../spring-petclinic-microservices/spring-petclinic-api-gateway/src/main/java/org/springframework/samples/petclinic/api/boundary/web/ApiGatewayController.java,org.springframework.samples.petclinic.api.boundary.web.ApiGatewayController,getOwnerDetails/1[int],false,49,6,1,0,1,1,10,7,2,4,1,10,0,0,0,0,0,0,2,0,1,0,1,0,0,3,17,1,0,false
