file,class,method,variable,usage
/Users/alikhan/git/nui-mcs/Capstone Project/work/microsmellbert/spring-petclinic-microservices-experiment/../spring-petclinic-microservices/spring-petclinic-api-gateway/src/main/java/org/springframework/samples/petclinic/api/application/CustomersServiceClient.java,org.springframework.samples.petclinic.api.application.CustomersServiceClient,getOwner/1[int],ownerId,1
/Users/alikhan/git/nui-mcs/Capstone Project/work/microsmellbert/spring-petclinic-microservices-experiment/../spring-petclinic-microservices/spring-petclinic-api-gateway/src/main/java/org/springframework/samples/petclinic/api/ApiGatewayApplication.java,org.springframework.samples.petclinic.api.ApiGatewayApplication,defaultCustomizer/0,factory,1
/Users/alikhan/git/nui-mcs/Capstone Project/work/microsmellbert/spring-petclinic-microservices-experiment/../spring-petclinic-microservices/spring-petclinic-api-gateway/src/main/java/org/springframework/samples/petclinic/api/ApiGatewayApplication.java,org.springframework.samples.petclinic.api.ApiGatewayApplication,defaultCustomizer/0,id,1
/Users/alikhan/git/nui-mcs/Capstone Project/work/microsmellbert/spring-petclinic-microservices-experiment/../spring-petclinic-microservices/spring-petclinic-api-gateway/src/main/java/org/springframework/samples/petclinic/api/ApiGatewayApplication.java,org.springframework.samples.petclinic.api.ApiGatewayApplication,main/1[java.lang.String[]],args,1
/Users/alikhan/git/nui-mcs/Capstone Project/work/microsmellbert/spring-petclinic-microservices-experiment/../spring-petclinic-microservices/spring-petclinic-api-gateway/src/main/java/org/springframework/samples/petclinic/api/ApiGatewayApplication.java,org.springframework.samples.petclinic.api.ApiGatewayApplication,routerFunction/0,request,0
/Users/alikhan/git/nui-mcs/Capstone Project/work/microsmellbert/spring-petclinic-microservices-experiment/../spring-petclinic-microservices/spring-petclinic-api-gateway/src/main/java/org/springframework/samples/petclinic/api/ApiGatewayApplication.java,org.springframework.samples.petclinic.api.ApiGatewayApplication,routerFunction/0,router,1
/Users/alikhan/git/nui-mcs/Capstone Project/work/microsmellbert/spring-petclinic-microservices-experiment/../spring-petclinic-microservices/spring-petclinic-api-gateway/src/main/java/org/springframework/samples/petclinic/api/boundary/web/ApiGatewayController.java,org.springframework.samples.petclinic.api.boundary.web.ApiGatewayController,addVisitsToOwner/1[org.springframework.samples.petclinic.api.dto.OwnerDetails],owner,2
/Users/alikhan/git/nui-mcs/Capstone Project/work/microsmellbert/spring-petclinic-microservices-experiment/../spring-petclinic-microservices/spring-petclinic-api-gateway/src/main/java/org/springframework/samples/petclinic/api/boundary/web/ApiGatewayController.java,org.springframework.samples.petclinic.api.boundary.web.ApiGatewayController,addVisitsToOwner/1[org.springframework.samples.petclinic.api.dto.OwnerDetails],visits,1
/Users/alikhan/git/nui-mcs/Capstone Project/work/microsmellbert/spring-petclinic-microservices-experiment/../spring-petclinic-microservices/spring-petclinic-api-gateway/src/main/java/org/springframework/samples/petclinic/api/boundary/web/ApiGatewayController.java,org.springframework.samples.petclinic.api.boundary.web.ApiGatewayController,addVisitsToOwner/1[org.springframework.samples.petclinic.api.dto.OwnerDetails],v,1
/Users/alikhan/git/nui-mcs/Capstone Project/work/microsmellbert/spring-petclinic-microservices-experiment/../spring-petclinic-microservices/spring-petclinic-api-gateway/src/main/java/org/springframework/samples/petclinic/api/boundary/web/ApiGatewayController.java,org.springframework.samples.petclinic.api.boundary.web.ApiGatewayController,addVisitsToOwner/1[org.springframework.samples.petclinic.api.dto.OwnerDetails],pet,2
/Users/alikhan/git/nui-mcs/Capstone Project/work/microsmellbert/spring-petclinic-microservices-experiment/../spring-petclinic-microservices/spring-petclinic-api-gateway/src/main/java/org/springframework/samples/petclinic/api/boundary/web/ApiGatewayController.java,org.springframework.samples.petclinic.api.boundary.web.ApiGatewayController,getOwnerDetails/1[int],owner,2
/Users/alikhan/git/nui-mcs/Capstone Project/work/microsmellbert/spring-petclinic-microservices-experiment/../spring-petclinic-microservices/spring-petclinic-api-gateway/src/main/java/org/springframework/samples/petclinic/api/boundary/web/ApiGatewayController.java,org.springframework.samples.petclinic.api.boundary.web.ApiGatewayController,getOwnerDetails/1[int],throwable,0
/Users/alikhan/git/nui-mcs/Capstone Project/work/microsmellbert/spring-petclinic-microservices-experiment/../spring-petclinic-microservices/spring-petclinic-api-gateway/src/main/java/org/springframework/samples/petclinic/api/boundary/web/ApiGatewayController.java,org.springframework.samples.petclinic.api.boundary.web.ApiGatewayController,getOwnerDetails/1[int],it,1
/Users/alikhan/git/nui-mcs/Capstone Project/work/microsmellbert/spring-petclinic-microservices-experiment/../spring-petclinic-microservices/spring-petclinic-api-gateway/src/main/java/org/springframework/samples/petclinic/api/boundary/web/ApiGatewayController.java,org.springframework.samples.petclinic.api.boundary.web.ApiGatewayController,getOwnerDetails/1[int],ownerId,1
