file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/Users/alikhan/git/nui-mcs/Capstone Project/work/microsmellbert/spring-petclinic-microservices-experiment/../spring-petclinic-microservices/spring-petclinic-customers-service/src/main/java/org/springframework/samples/petclinic/customers/model/Owner.java,org.springframework.samples.petclinic.customers.model.Owner,class,14,18,4,14,5,1,0,10,6,0.85714287,0.0,0.0,4,0,3,0,1,0,4,0,0,0,7,0,0,7,0,0,0,0,1,27,3,0,1,0,0,14,2,2,0,8,1,0,0,0,48,1,0
/Users/alikhan/git/nui-mcs/Capstone Project/work/microsmellbert/spring-petclinic-microservices-experiment/../spring-petclinic-microservices/spring-petclinic-customers-service/src/main/java/org/springframework/samples/petclinic/customers/CustomersServiceApplication.java,org.springframework.samples.petclinic.customers.CustomersServiceApplication,class,3,4,1,3,1,1,0,1,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
/Users/alikhan/git/nui-mcs/Capstone Project/work/microsmellbert/spring-petclinic-microservices-experiment/../spring-petclinic-microservices/spring-petclinic-customers-service/src/main/java/org/springframework/samples/petclinic/customers/web/PetResource.java,org.springframework.samples.petclinic.customers.web.PetResource,class,20,21,1,20,7,1,0,18,9,0.6666666,0.0,0.0,6,0,4,2,0,0,4,0,0,0,2,0,0,2,0,0,2,0,0,36,5,0,0,0,0,12,1,6,2,8,1,0,0,1,35,0,1
/Users/alikhan/git/nui-mcs/Capstone Project/work/microsmellbert/spring-petclinic-microservices-experiment/../spring-petclinic-microservices/spring-petclinic-customers-service/src/main/java/org/springframework/samples/petclinic/customers/model/PetType.java,org.springframework.samples.petclinic.customers.model.PetType,class,7,11,4,7,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,2,0,0,0,0,12,1,0
/Users/alikhan/git/nui-mcs/Capstone Project/work/microsmellbert/spring-petclinic-microservices-experiment/../spring-petclinic-microservices/spring-petclinic-customers-service/src/main/java/org/springframework/samples/petclinic/customers/model/PetRepository.java,org.springframework.samples.petclinic.customers.model.PetRepository,interface,4,5,1,4,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,64,1,0
/Users/alikhan/git/nui-mcs/Capstone Project/work/microsmellbert/spring-petclinic-microservices-experiment/../spring-petclinic-microservices/spring-petclinic-customers-service/src/main/java/org/springframework/samples/petclinic/customers/web/PetRequest.java,org.springframework.samples.petclinic.customers.web.PetRequest,class,3,4,1,3,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,6,0,0,0,0,0,1,1,0,0,4,0,0,0,0,12,0,0
/Users/alikhan/git/nui-mcs/Capstone Project/work/microsmellbert/spring-petclinic-microservices-experiment/../spring-petclinic-microservices/spring-petclinic-customers-service/src/main/java/org/springframework/samples/petclinic/customers/web/ResourceNotFoundException.java,org.springframework.samples.petclinic.customers.web.ResourceNotFoundException,class,1,3,2,1,1,4,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
/Users/alikhan/git/nui-mcs/Capstone Project/work/microsmellbert/spring-petclinic-microservices-experiment/../spring-petclinic-microservices/spring-petclinic-customers-service/src/main/java/org/springframework/samples/petclinic/customers/model/Pet.java,org.springframework.samples.petclinic.customers.model.Pet,class,13,16,3,13,1,1,0,9,0,1.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,5,0,0,5,0,0,0,0,0,10,1,0,0,0,0,11,0,0,0,5,0,0,0,0,30,1,0
/Users/alikhan/git/nui-mcs/Capstone Project/work/microsmellbert/spring-petclinic-microservices-experiment/../spring-petclinic-microservices/spring-petclinic-customers-service/src/main/java/org/springframework/samples/petclinic/customers/web/PetDetails.java,org.springframework.samples.petclinic.customers.web.PetDetails,class,4,5,1,4,1,1,0,7,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,5,0,0,5,0,0,0,0,0,14,0,0,0,0,0,2,0,5,1,5,0,0,0,0,13,0,0
/Users/alikhan/git/nui-mcs/Capstone Project/work/microsmellbert/spring-petclinic-microservices-experiment/../spring-petclinic-microservices/spring-petclinic-customers-service/src/main/java/org/springframework/samples/petclinic/customers/web/OwnerResource.java,org.springframework.samples.petclinic.customers.web.OwnerResource,class,16,16,0,16,4,1,0,15,0,0.0,1.0,1.0,4,0,4,0,0,0,4,0,0,0,1,0,0,1,0,0,1,0,0,23,3,0,0,0,0,9,2,2,1,3,0,0,0,1,33,0,1
