file,class,method,variable,usage
/Users/alikhan/git/nui-mcs/Capstone Project/work/microsmellbert/spring-petclinic-microservices-experiment/../spring-petclinic-microservices/spring-petclinic-customers-service/src/main/java/org/springframework/samples/petclinic/customers/model/Owner.java,org.springframework.samples.petclinic.customers.model.Owner,toString/0,address,1
/Users/alikhan/git/nui-mcs/Capstone Project/work/microsmellbert/spring-petclinic-microservices-experiment/../spring-petclinic-microservices/spring-petclinic-customers-service/src/main/java/org/springframework/samples/petclinic/customers/model/Owner.java,org.springframework.samples.petclinic.customers.model.Owner,toString/0,city,1
/Users/alikhan/git/nui-mcs/Capstone Project/work/microsmellbert/spring-petclinic-microservices-experiment/../spring-petclinic-microservices/spring-petclinic-customers-service/src/main/java/org/springframework/samples/petclinic/customers/model/Owner.java,org.springframework.samples.petclinic.customers.model.Owner,toString/0,telephone,1
/Users/alikhan/git/nui-mcs/Capstone Project/work/microsmellbert/spring-petclinic-microservices-experiment/../spring-petclinic-microservices/spring-petclinic-customers-service/src/main/java/org/springframework/samples/petclinic/customers/model/Owner.java,org.springframework.samples.petclinic.customers.model.Owner,getPetsInternal/0,pets,3
/Users/alikhan/git/nui-mcs/Capstone Project/work/microsmellbert/spring-petclinic-microservices-experiment/../spring-petclinic-microservices/spring-petclinic-customers-service/src/main/java/org/springframework/samples/petclinic/customers/web/PetResource.java,org.springframework.samples.petclinic.customers.web.PetResource,"processCreationForm/2[org.springframework.samples.petclinic.customers.web.PetRequest,int]",ownerRepository,1
/Users/alikhan/git/nui-mcs/Capstone Project/work/microsmellbert/spring-petclinic-microservices-experiment/../spring-petclinic-microservices/spring-petclinic-customers-service/src/main/java/org/springframework/samples/petclinic/customers/web/PetResource.java,org.springframework.samples.petclinic.customers.web.PetResource,getPetTypes/0,petRepository,1
/Users/alikhan/git/nui-mcs/Capstone Project/work/microsmellbert/spring-petclinic-microservices-experiment/../spring-petclinic-microservices/spring-petclinic-customers-service/src/main/java/org/springframework/samples/petclinic/customers/web/PetResource.java,org.springframework.samples.petclinic.customers.web.PetResource,findPetById/1[int],petRepository,1
/Users/alikhan/git/nui-mcs/Capstone Project/work/microsmellbert/spring-petclinic-microservices-experiment/../spring-petclinic-microservices/spring-petclinic-customers-service/src/main/java/org/springframework/samples/petclinic/customers/web/PetResource.java,org.springframework.samples.petclinic.customers.web.PetResource,"save/2[org.springframework.samples.petclinic.customers.model.Pet,org.springframework.samples.petclinic.customers.web.PetRequest]",petRepository,2
/Users/alikhan/git/nui-mcs/Capstone Project/work/microsmellbert/spring-petclinic-microservices-experiment/../spring-petclinic-microservices/spring-petclinic-customers-service/src/main/java/org/springframework/samples/petclinic/customers/web/PetDetails.java,org.springframework.samples.petclinic.customers.web.PetDetails,PetDetails/1[org.springframework.samples.petclinic.customers.model.Pet],owner,1
/Users/alikhan/git/nui-mcs/Capstone Project/work/microsmellbert/spring-petclinic-microservices-experiment/../spring-petclinic-microservices/spring-petclinic-customers-service/src/main/java/org/springframework/samples/petclinic/customers/web/PetDetails.java,org.springframework.samples.petclinic.customers.web.PetDetails,PetDetails/1[org.springframework.samples.petclinic.customers.model.Pet],name,1
/Users/alikhan/git/nui-mcs/Capstone Project/work/microsmellbert/spring-petclinic-microservices-experiment/../spring-petclinic-microservices/spring-petclinic-customers-service/src/main/java/org/springframework/samples/petclinic/customers/web/PetDetails.java,org.springframework.samples.petclinic.customers.web.PetDetails,PetDetails/1[org.springframework.samples.petclinic.customers.model.Pet],id,1
/Users/alikhan/git/nui-mcs/Capstone Project/work/microsmellbert/spring-petclinic-microservices-experiment/../spring-petclinic-microservices/spring-petclinic-customers-service/src/main/java/org/springframework/samples/petclinic/customers/web/PetDetails.java,org.springframework.samples.petclinic.customers.web.PetDetails,PetDetails/1[org.springframework.samples.petclinic.customers.model.Pet],type,1
/Users/alikhan/git/nui-mcs/Capstone Project/work/microsmellbert/spring-petclinic-microservices-experiment/../spring-petclinic-microservices/spring-petclinic-customers-service/src/main/java/org/springframework/samples/petclinic/customers/web/PetDetails.java,org.springframework.samples.petclinic.customers.web.PetDetails,PetDetails/1[org.springframework.samples.petclinic.customers.model.Pet],birthDate,1
/Users/alikhan/git/nui-mcs/Capstone Project/work/microsmellbert/spring-petclinic-microservices-experiment/../spring-petclinic-microservices/spring-petclinic-customers-service/src/main/java/org/springframework/samples/petclinic/customers/web/OwnerResource.java,org.springframework.samples.petclinic.customers.web.OwnerResource,findOwner/1[int],ownerRepository,1
/Users/alikhan/git/nui-mcs/Capstone Project/work/microsmellbert/spring-petclinic-microservices-experiment/../spring-petclinic-microservices/spring-petclinic-customers-service/src/main/java/org/springframework/samples/petclinic/customers/web/OwnerResource.java,org.springframework.samples.petclinic.customers.web.OwnerResource,createOwner/1[org.springframework.samples.petclinic.customers.model.Owner],ownerRepository,1
/Users/alikhan/git/nui-mcs/Capstone Project/work/microsmellbert/spring-petclinic-microservices-experiment/../spring-petclinic-microservices/spring-petclinic-customers-service/src/main/java/org/springframework/samples/petclinic/customers/web/OwnerResource.java,org.springframework.samples.petclinic.customers.web.OwnerResource,findAll/0,ownerRepository,1
/Users/alikhan/git/nui-mcs/Capstone Project/work/microsmellbert/spring-petclinic-microservices-experiment/../spring-petclinic-microservices/spring-petclinic-customers-service/src/main/java/org/springframework/samples/petclinic/customers/web/OwnerResource.java,org.springframework.samples.petclinic.customers.web.OwnerResource,"updateOwner/2[int,org.springframework.samples.petclinic.customers.model.Owner]",ownerRepository,2
