@RELATION code_smells_extended

@ATTRIBUTE loc NUMERIC
@ATTRIBUTE wmc NUMERIC
@ATTRIBUTE cbo NUMERIC
@ATTRIBUTE lcom NUMERIC
@ATTRIBUTE rfc NUMERIC
@ATTRIBUTE noc NUMERIC
@ATTRIBUTE totalmethodsqty NUMERIC
@ATTRIBUTE totalfieldsqty NUMERIC
@ATTRIBUTE is_functional_decomposition {yes,no}
@ATTRIBUTE is_data_class {yes,no}
@ATTRIBUTE is_lazy_class {yes,no}
@ATTRIBUTE is_spaghetti {yes,no}
@ATTRIBUTE is_swiss_army_knife {yes,no}
@ATTRIBUTE is_blob {yes,no}
@ATTRIBUTE has_long_method {yes,no}
@ATTRIBUTE has_long_parameter_list {yes,no}

@DATA
3,1,1,0,0,0,1,0,no,no,yes,no,no,no,no,no
5,3,1,3,0,0,3,0,no,no,no,no,no,no,no,yes
11,1,1,0,0,0,1,7,no,no,no,no,no,no,no,no
5,0,1,0,0,0,0,3,no,no,no,no,no,no,no,no
57,14,4,0,2,0,12,5,no,no,no,no,no,no,no,no
11,1,1,0,0,0,1,7,no,no,no,no,no,no,no,no
2,0,2,0,0,0,0,0,no,no,yes,no,no,no,no,no
6,0,4,0,0,0,0,4,no,no,no,no,no,no,no,no
7,1,1,0,0,0,1,3,no,no,no,no,no,no,no,no
53,10,10,4,16,0,5,5,no,no,no,no,no,no,no,no
9,2,8,0,3,0,2,1,no,no,yes,no,no,no,no,no
8,1,1,0,0,0,1,4,no,no,no,no,no,no,no,no
5,1,1,0,0,0,1,1,no,no,yes,no,no,no,no,no
6,4,2,6,0,0,4,0,no,no,no,no,no,no,no,no
9,1,1,0,0,0,1,0,no,no,yes,no,no,no,no,no
10,2,12,0,6,0,2,2,no,no,yes,no,no,no,no,no
15,1,2,0,0,0,1,3,no,no,no,no,no,no,no,no
325,71,27,85,63,0,15,2,no,no,no,no,no,no,no,yes
12,2,2,1,3,0,2,1,no,no,yes,no,no,no,no,no
10,1,0,0,0,0,1,6,no,no,no,no,no,no,no,no
9,2,2,1,0,0,2,1,no,no,yes,no,no,no,no,no
36,6,15,4,11,0,4,1,no,no,no,no,no,no,no,yes
7,1,1,0,0,0,1,3,no,no,no,no,no,no,no,no
5,1,1,0,0,0,1,0,no,no,yes,no,no,no,no,no
16,3,5,1,4,0,3,2,no,no,no,no,no,no,no,no
35,1,4,0,0,0,1,10,no,yes,no,no,no,no,no,no
8,1,1,0,0,0,1,4,no,no,no,no,no,no,no,no
4,2,2,1,0,0,2,0,no,no,yes,no,no,no,no,no
8,1,8,0,7,0,1,1,no,no,yes,no,no,no,no,no
5,1,1,0,0,0,1,1,no,no,yes,no,no,no,no,no
24,5,16,0,17,0,3,1,no,no,no,no,no,no,no,no
192,47,29,6,67,0,8,9,no,no,no,no,no,no,yes,no
9,2,8,0,2,0,2,1,no,no,yes,no,no,no,no,no
5,1,1,0,0,0,1,1,no,no,yes,no,no,no,no,no
10,1,1,0,0,0,1,6,no,no,no,no,no,no,no,no
9,2,8,0,2,0,2,1,no,no,yes,no,no,no,no,no
14,1,0,0,0,0,1,0,no,no,yes,no,no,no,no,no
6,1,4,0,2,0,1,0,no,no,yes,no,no,no,no,no
8,2,2,1,0,0,2,0,no,no,yes,no,no,no,no,no
9,2,5,0,2,0,2,1,no,no,yes,no,no,no,no,no
8,6,3,15,0,0,6,0,no,no,no,no,no,no,no,no
18,4,10,6,9,0,4,0,no,no,no,no,no,no,no,no
145,35,17,0,39,0,4,4,no,no,no,no,no,no,no,no
85,11,4,0,40,0,7,17,no,no,no,no,no,no,no,no
15,4,5,0,4,0,4,1,no,no,no,no,no,no,no,no
5,3,4,3,0,0,3,0,no,no,no,no,no,no,no,no
10,1,2,0,0,0,1,1,no,no,yes,no,no,no,no,no
21,1,4,0,0,0,1,10,no,yes,no,no,no,no,no,no
7,1,0,0,0,0,1,3,no,no,no,no,no,no,no,no
3,1,4,0,0,0,1,0,no,no,yes,no,no,no,no,no
13,1,4,0,8,0,1,8,no,no,no,no,no,no,no,yes
28,10,7,6,18,0,4,1,no,no,no,no,no,no,no,no
19,5,3,6,2,0,4,2,no,no,no,no,no,no,no,no
16,1,10,0,15,0,1,2,no,no,yes,no,no,no,no,no
10,5,4,0,10,0,1,0,no,no,yes,no,no,no,no,no
4,2,3,1,0,0,2,0,no,no,yes,no,no,no,no,no
23,3,4,1,9,0,3,1,no,no,no,no,no,no,no,no
8,2,6,1,0,0,2,0,no,no,yes,no,no,no,no,no
6,1,7,0,4,0,1,1,no,no,yes,no,no,no,no,no
12,10,10,45,0,0,10,0,no,no,no,no,no,no,no,no
76,6,11,0,19,0,1,5,no,no,no,no,no,no,no,no
6,1,1,0,0,0,1,2,no,no,yes,no,no,no,no,no
7,1,7,0,8,0,1,1,no,no,yes,no,no,no,no,no
11,2,2,1,3,0,2,0,no,no,yes,no,no,no,no,no
10,2,8,0,2,0,2,1,no,no,yes,no,no,no,no,no
52,1,6,0,0,0,1,10,no,yes,no,no,no,no,no,no
7,1,1,0,0,0,1,3,no,no,no,no,no,no,no,no
8,1,1,0,0,0,1,4,no,no,no,no,no,no,no,no
11,2,2,1,3,0,2,0,no,no,yes,no,no,no,no,no
26,1,0,0,0,0,1,22,no,yes,no,no,no,no,no,no
9,2,8,0,2,0,2,1,no,no,yes,no,no,no,no,no
12,0,1,0,0,0,0,10,no,yes,no,no,no,no,no,no
25,2,7,0,16,0,1,1,no,no,yes,no,no,no,no,no
19,1,2,0,0,0,1,2,no,no,yes,no,no,no,no,no
21,1,2,0,0,0,1,2,no,no,yes,no,no,no,no,no
9,2,8,0,2,0,2,1,no,no,yes,no,no,no,no,no
5,1,0,0,0,0,1,1,no,no,yes,no,no,no,no,no
21,2,3,1,5,0,2,0,no,no,yes,no,no,no,no,no
4,1,0,0,0,0,1,0,no,no,yes,no,no,no,no,no
7,1,1,0,0,0,1,3,no,no,no,no,no,no,no,no
159,33,13,15,40,0,7,3,no,no,no,no,no,no,no,no
3,1,4,0,0,0,1,0,no,no,yes,no,no,no,no,no
8,0,4,0,0,0,0,6,no,no,no,no,no,no,no,no
178,55,13,0,42,0,7,4,no,no,no,no,no,no,yes,no
7,1,1,0,0,0,1,3,no,no,no,no,no,no,no,no
15,1,0,0,0,0,1,11,no,yes,no,no,no,no,no,no
15,2,2,1,13,0,2,0,no,no,yes,no,no,no,no,no
5,0,8,0,0,0,0,3,no,no,no,no,no,no,no,no
5,1,1,0,0,0,1,1,no,no,yes,no,no,no,no,no
7,1,1,0,0,0,1,3,no,no,no,no,no,no,no,no
8,1,12,0,2,0,1,3,no,no,no,no,no,no,no,no
3,1,1,0,0,0,1,0,no,no,yes,no,no,no,no,no
9,2,8,0,2,0,2,1,no,no,yes,no,no,no,no,no
2,0,0,0,0,0,0,0,no,no,yes,no,no,no,no,no
24,2,6,0,0,0,2,9,no,yes,no,no,no,no,no,yes
4,1,0,0,0,0,1,0,no,no,yes,no,no,no,no,no
43,3,11,0,9,0,1,3,no,no,no,no,no,no,no,no
5,1,20,0,0,0,1,0,no,no,yes,no,no,no,no,yes
7,1,1,0,0,0,1,3,no,no,no,no,no,no,no,no
6,1,1,0,0,0,1,2,no,no,yes,no,no,no,no,no
16,4,2,6,0,0,4,2,no,no,no,no,no,no,no,no
4,2,6,1,0,0,2,0,no,no,yes,no,no,no,no,no
39,8,3,0,11,0,6,3,no,no,no,no,no,no,no,no
67,6,11,0,19,0,1,4,no,no,no,no,no,no,no,no
21,1,0,0,0,0,1,0,no,no,yes,no,no,no,no,no
6,1,8,0,2,0,1,1,no,no,yes,no,no,no,no,no
7,1,5,0,2,0,1,1,no,no,yes,no,no,no,no,no
54,13,11,11,23,0,6,2,no,no,no,no,no,no,no,no
2,0,0,0,0,0,0,0,no,no,yes,no,no,no,no,no
349,12,18,38,11,0,12,4,no,no,no,no,no,no,no,no
10,2,12,0,6,0,2,2,no,no,yes,no,no,no,no,no
2,0,0,0,0,0,0,0,no,no,yes,no,no,no,no,no
12,3,2,3,2,2,3,1,no,no,no,no,no,no,no,no
16,3,3,1,4,0,3,1,no,no,no,no,no,no,no,no
20,5,11,1,6,0,2,2,no,no,yes,no,no,no,no,no
12,2,15,0,3,0,2,2,no,no,yes,no,no,no,no,no
20,1,3,0,0,0,1,5,no,no,no,no,no,no,no,no
7,1,1,0,0,0,1,3,no,no,no,no,no,no,no,no
2,0,0,0,0,0,0,0,no,no,yes,no,no,no,no,no
2,0,0,0,0,0,0,0,no,no,yes,no,no,no,no,no
7,1,1,0,0,0,1,3,no,no,no,no,no,no,no,no
29,1,0,0,0,0,1,0,no,no,yes,no,no,no,no,no
41,6,8,0,15,0,5,1,no,no,no,no,no,no,no,no
8,1,4,0,1,0,1,0,no,no,yes,no,no,no,no,no
53,7,20,0,26,0,2,7,no,no,no,no,no,no,no,no
9,2,8,0,2,0,2,1,no,no,yes,no,no,no,no,no
321,63,48,10,74,0,12,8,no,no,no,no,no,no,yes,no
9,2,8,0,2,0,2,1,no,no,yes,no,no,no,no,no
7,1,1,0,0,0,1,3,no,no,no,no,no,no,no,no
5,1,1,0,0,0,1,0,no,no,yes,no,no,no,no,no
9,1,1,0,0,0,1,5,no,no,no,no,no,no,no,no
8,1,1,0,0,0,1,4,no,no,no,no,no,no,no,no
112,12,21,0,36,0,6,6,no,no,no,no,no,no,no,no
33,3,9,0,4,0,2,2,no,no,yes,no,no,no,no,no
2,0,0,0,0,0,0,0,no,no,yes,no,no,no,no,no
8,1,1,0,0,0,1,4,no,no,no,no,no,no,no,no
2,0,1,0,0,0,0,0,no,no,yes,no,no,no,no,no
5,1,1,0,0,0,1,0,no,no,yes,no,no,no,no,no
16,3,15,1,7,0,3,5,no,no,no,no,no,no,no,no
25,5,13,4,11,2,4,3,no,no,no,no,no,no,no,no
8,2,2,1,0,0,2,0,no,no,yes,no,no,no,no,no
31,8,8,2,2,0,8,3,no,no,no,no,no,no,no,no
6,1,2,0,0,0,1,2,no,no,yes,no,no,no,no,no
10,2,21,1,0,0,2,0,no,no,yes,no,no,no,no,yes
78,20,2,136,0,0,20,9,no,no,no,no,no,no,no,yes
