file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/data/java/org/apache/fineract/accounting/journalentry/service/AccountingProcessorForLoan.java,org.apache.fineract.accounting.journalentry.service.AccountingProcessorForLoan,createJournalEntriesForLoan/1[org.apache.fineract.accounting.journalentry.data.LoanDTO],false,25,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,false
/data/java/org/apache/fineract/notification/service/UserNotificationService.java,org.apache.fineract.notification.service.UserNotificationService,hasUnreadUserNotifications/1[java.lang.Long],false,28,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,false
/data/java/org/apache/fineract/notification/service/UserNotificationService.java,org.apache.fineract.notification.service.UserNotificationService,notifyUsers/1[org.apache.fineract.notification.data.NotificationData],false,30,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,false
/data/java/org/apache/fineract/notification/service/UserNotificationService.java,org.apache.fineract.notification.service.UserNotificationService,"notifyUsers/7[java.lang.String,java.lang.String,java.lang.Long,java.lang.String,java.lang.String,java.lang.Long,java.lang.Long]",false,25,0,1,1,0,1,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,false
/data/java/org/apache/fineract/portfolio/savings/api/RecurringDepositAccountTransactionsApiResourceSwagger.java,org.apache.fineract.portfolio.savings.api.RecurringDepositAccountTransactionsApiResourceSwagger$GetRecurringDepositAccountsRecurringDepositAccountIdTransactionsTemplateResponse$GetRecurringCurrency,GetRecurringCurrency/0,true,74,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,false
/data/java/org/apache/fineract/portfolio/collectionsheet/data/JLGClientData.java,org.apache.fineract.portfolio.collectionsheet.data.JLGClientData,getSavings/0,false,93,1,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
/data/java/org/apache/fineract/portfolio/collectionsheet/data/JLGClientData.java,org.apache.fineract.portfolio.collectionsheet.data.JLGClientData,"withSavings/2[org.apache.fineract.portfolio.collectionsheet.data.JLGClientData,java.util.Collection<org.apache.fineract.portfolio.collectionsheet.data.SavingsDueData>]",false,42,4,2,1,1,1,0,5,1,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,14,9,0,false
/data/java/org/apache/fineract/portfolio/collectionsheet/data/JLGClientData.java,org.apache.fineract.portfolio.collectionsheet.data.JLGClientData,equals/1[java.lang.Object],false,102,1,0,0,0,3,1,7,2,1,1,1,0,0,0,1,0,1,0,1,1,0,1,0,0,0,10,1,0,false
/data/java/org/apache/fineract/portfolio/collectionsheet/data/JLGClientData.java,org.apache.fineract.portfolio.collectionsheet.data.JLGClientData,"instance/3[java.lang.Long,java.lang.String,org.apache.fineract.portfolio.collectionsheet.data.EnumOptionData]",false,36,4,2,1,1,1,0,5,1,2,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,14,9,0,false
/data/java/org/apache/fineract/portfolio/collectionsheet/data/JLGClientData.java,org.apache.fineract.portfolio.collectionsheet.data.JLGClientData,setLoans/1[java.util.Collection<org.apache.fineract.portfolio.collectionsheet.data.LoanDueData>],false,89,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
/data/java/org/apache/fineract/portfolio/collectionsheet/data/JLGClientData.java,org.apache.fineract.portfolio.collectionsheet.data.JLGClientData,"JLGClientData/5[java.lang.Long,java.lang.String,java.util.Collection<org.apache.fineract.portfolio.collectionsheet.data.LoanDueData>,java.util.Collection<org.apache.fineract.portfolio.collectionsheet.data.SavingsDueData>,org.apache.fineract.portfolio.collectionsheet.data.EnumOptionData]",true,69,3,3,3,0,1,0,7,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,13,2,0,true
/data/java/org/apache/fineract/portfolio/collectionsheet/data/JLGClientData.java,org.apache.fineract.portfolio.collectionsheet.data.JLGClientData,getClientName/0,false,81,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/data/java/org/apache/fineract/portfolio/collectionsheet/data/JLGClientData.java,org.apache.fineract.portfolio.collectionsheet.data.JLGClientData,hashCode/0,false,111,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
/data/java/org/apache/fineract/portfolio/collectionsheet/data/JLGClientData.java,org.apache.fineract.portfolio.collectionsheet.data.JLGClientData,getClientId/0,false,77,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/data/java/org/apache/fineract/portfolio/collectionsheet/data/JLGClientData.java,org.apache.fineract.portfolio.collectionsheet.data.JLGClientData,"withAttendance/3[java.lang.Long,java.lang.String,org.apache.fineract.portfolio.collectionsheet.data.EnumOptionData]",false,55,4,2,1,1,1,0,5,1,2,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,15,9,0,false
/data/java/org/apache/fineract/portfolio/collectionsheet/data/JLGClientData.java,org.apache.fineract.portfolio.collectionsheet.data.JLGClientData,getLoans/0,false,85,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
/data/java/org/apache/fineract/portfolio/collectionsheet/data/JLGClientData.java,org.apache.fineract.portfolio.collectionsheet.data.JLGClientData,setSavings/1[java.util.Collection<org.apache.fineract.portfolio.collectionsheet.data.SavingsDueData>],false,97,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
/data/java/org/apache/fineract/portfolio/savings/api/FixedDepositProductsApiResourceSwagger.java,org.apache.fineract.portfolio.savings.api.FixedDepositProductsApiResourceSwagger$GetFixedDepositProductsResponse$GetFixedDepositProductsCurrency,GetFixedDepositProductsCurrency/0,true,158,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,false
/data/java/org/apache/fineract/portfolio/savings/api/SavingsProductsApiResourceSwagger.java,org.apache.fineract.portfolio.savings.api.SavingsProductsApiResourceSwagger$GetSavingsProductsTemplateResponse$GetSavingsProductsWithdrawalFeeTypeOptions,GetSavingsProductsWithdrawalFeeTypeOptions/0,true,412,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,false
/data/java/org/apache/fineract/portfolio/loanproduct/productmix/serialization/ProductMixDataValidator.java,org.apache.fineract.portfolio.loanproduct.productmix.serialization.ProductMixDataValidator,validateForUpdate/1[java.lang.String],false,91,6,3,1,2,2,8,15,0,5,1,8,2,1,0,0,0,0,0,0,5,0,1,1,0,0,37,1,0,false
/data/java/org/apache/fineract/portfolio/loanproduct/productmix/serialization/ProductMixDataValidator.java,org.apache.fineract.portfolio.loanproduct.productmix.serialization.ProductMixDataValidator,ProductMixDataValidator/1[org.apache.fineract.portfolio.loanproduct.productmix.serialization.FromJsonHelper],true,52,2,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,1,0,false
/data/java/org/apache/fineract/portfolio/loanproduct/productmix/serialization/ProductMixDataValidator.java,org.apache.fineract.portfolio.loanproduct.productmix.serialization.ProductMixDataValidator,throwExceptionIfValidationWarningsExist/1[java.util.List<org.apache.fineract.portfolio.loanproduct.productmix.serialization.ApiParameterError>],false,84,2,2,2,0,2,1,5,0,0,1,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,12,2,0,false
/data/java/org/apache/fineract/portfolio/loanproduct/productmix/serialization/ProductMixDataValidator.java,org.apache.fineract.portfolio.loanproduct.productmix.serialization.ProductMixDataValidator,validateForCreate/1[java.lang.String],false,56,6,3,1,2,3,12,18,0,5,1,12,2,1,0,1,0,0,0,0,5,0,1,1,0,0,41,1,0,false
/data/java/org/apache/fineract/portfolio/loanproduct/productmix/serialization/ProductMixDataValidator.java,org.apache.fineract.portfolio.loanproduct.productmix.serialization.ProductMixDataValidator,"validateRestrictedProducts/2[java.lang.String[],org.apache.fineract.portfolio.loanproduct.productmix.serialization.DataValidatorBuilder]",false,78,1,2,2,0,2,5,5,0,0,2,5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,20,2,0,false
/data/java/org/apache/fineract/portfolio/collateral/handler/UpdateCollateralCommandHandler.java,org.apache.fineract.portfolio.collateral.handler.UpdateCollateralCommandHandler,processCommand/1[org.apache.fineract.portfolio.collateral.handler.JsonCommand],false,43,4,1,0,1,1,3,3,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
/data/java/org/apache/fineract/portfolio/collateral/handler/UpdateCollateralCommandHandler.java,org.apache.fineract.portfolio.collateral.handler.UpdateCollateralCommandHandler,UpdateCollateralCommandHandler/1[org.apache.fineract.portfolio.collateral.service.CollateralWritePlatformService],true,37,2,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,1,0,false
/data/java/org/apache/fineract/portfolio/collectionsheet/api/CollectionSheetApiResourceSwagger.java,org.apache.fineract.portfolio.collectionsheet.api.CollectionSheetApiResourceSwagger$PostCollectionSheetRequest$PostCollectionSheetBulkRepaymentTransactions,PostCollectionSheetBulkRepaymentTransactions/0,true,39,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,false
/data/java/org/apache/fineract/organisation/provisioning/api/ProvisioningCriteriaApiResourceSwagger.java,org.apache.fineract.organisation.provisioning.api.ProvisioningCriteriaApiResourceSwagger$PutProvisioningCriteriaResponse$PutProvisioningCriteriaResponseChanges,PutProvisioningCriteriaResponseChanges/0,true,113,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,false
/data/java/org/apache/fineract/portfolio/accounts/service/AccountReadPlatformService.java,org.apache.fineract.portfolio.accounts.service.AccountReadPlatformService,"retrieveOne/2[java.lang.Long,boolean]",false,29,1,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,false
/data/java/org/apache/fineract/portfolio/accounts/service/AccountReadPlatformService.java,org.apache.fineract.portfolio.accounts.service.AccountReadPlatformService,"retrieveAll/2[java.lang.Integer,java.lang.Integer]",false,31,2,1,1,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,false
