file,class,method,variable,usage
/data/org/springframework/samples/petclinic/owner/Pet.java,org.springframework.samples.petclinic.owner.Pet,getType/0,type,1
/data/org/springframework/samples/petclinic/owner/Pet.java,org.springframework.samples.petclinic.owner.Pet,setType/1[org.springframework.samples.petclinic.owner.PetType],type,3
/data/org/springframework/samples/petclinic/owner/Pet.java,org.springframework.samples.petclinic.owner.Pet,getVisits/0,visits,1
/data/org/springframework/samples/petclinic/owner/Pet.java,org.springframework.samples.petclinic.owner.Pet,getBirthDate/0,birthDate,1
/data/org/springframework/samples/petclinic/owner/Pet.java,org.springframework.samples.petclinic.owner.Pet,setBirthDate/1[java.time.LocalDate],birthDate,3
/data/org/springframework/samples/petclinic/owner/Visit.java,org.springframework.samples.petclinic.owner.Visit,getDate/0,date,1
/data/org/springframework/samples/petclinic/owner/Visit.java,org.springframework.samples.petclinic.owner.Visit,getDescription/0,description,1
/data/org/springframework/samples/petclinic/owner/Visit.java,org.springframework.samples.petclinic.owner.Visit,Visit/0,date,1
/data/org/springframework/samples/petclinic/owner/Visit.java,org.springframework.samples.petclinic.owner.Visit,setDate/1[java.time.LocalDate],date,3
/data/org/springframework/samples/petclinic/owner/Visit.java,org.springframework.samples.petclinic.owner.Visit,setDescription/1[java.lang.String],description,3
/data/org/springframework/samples/petclinic/vet/VetController.java,org.springframework.samples.petclinic.vet.VetController,findPaginated/1[int],vetRepository,1
/data/org/springframework/samples/petclinic/vet/VetController.java,org.springframework.samples.petclinic.vet.VetController,showResourcesVetList/0,vetRepository,1
/data/org/springframework/samples/petclinic/vet/VetController.java,org.springframework.samples.petclinic.vet.VetController,VetController/1[org.springframework.samples.petclinic.vet.VetRepository],vetRepository,3
/data/org/springframework/samples/petclinic/owner/PetTypeFormatter.java,org.springframework.samples.petclinic.owner.PetTypeFormatter,"parse/2[java.lang.String,java.util.Locale]",types,1
/data/org/springframework/samples/petclinic/owner/PetTypeFormatter.java,org.springframework.samples.petclinic.owner.PetTypeFormatter,PetTypeFormatter/1[org.springframework.samples.petclinic.owner.PetTypeRepository],types,3
/data/org/springframework/samples/petclinic/owner/PetValidator.java,org.springframework.samples.petclinic.owner.PetValidator,"validate/2[java.lang.Object,org.springframework.samples.petclinic.owner.Errors]",REQUIRED,6
/data/org/springframework/samples/petclinic/owner/VisitController.java,org.springframework.samples.petclinic.owner.VisitController,VisitController/1[org.springframework.samples.petclinic.owner.OwnerRepository],owners,3
/data/org/springframework/samples/petclinic/owner/VisitController.java,org.springframework.samples.petclinic.owner.VisitController,"loadPetWithVisit/3[int,int,java.util.Map<java.lang.String,java.lang.Object>]",owners,1
/data/org/springframework/samples/petclinic/owner/VisitController.java,org.springframework.samples.petclinic.owner.VisitController,"processNewVisitForm/5[org.springframework.samples.petclinic.owner.Owner,int,org.springframework.samples.petclinic.owner.Visit,org.springframework.samples.petclinic.owner.BindingResult,org.springframework.samples.petclinic.owner.RedirectAttributes]",owners,1
/data/org/springframework/samples/petclinic/model/BaseEntity.java,org.springframework.samples.petclinic.model.BaseEntity,isNew/0,id,1
/data/org/springframework/samples/petclinic/model/BaseEntity.java,org.springframework.samples.petclinic.model.BaseEntity,getId/0,id,1
/data/org/springframework/samples/petclinic/model/BaseEntity.java,org.springframework.samples.petclinic.model.BaseEntity,setId/1[java.lang.Integer],id,3
/data/org/springframework/samples/petclinic/vet/Vets.java,org.springframework.samples.petclinic.vet.Vets,getVetList/0,vets,3
/data/org/springframework/samples/petclinic/model/NamedEntity.java,org.springframework.samples.petclinic.model.NamedEntity,getName/0,name,1
