file,class,method,variable,usage
/data/org/services/analysis/Span.java,org.services.analysis.Span,getTraceId/0,traceId,1
/data/org/services/analysis/Span.java,org.services.analysis.Span,getLogs/0,logs,1
/data/org/services/analysis/Span.java,org.services.analysis.Span,setSpanname/1[java.lang.String],spanname,3
/data/org/services/analysis/Span.java,org.services.analysis.Span,addChild/1[java.lang.String],childs,1
/data/org/services/analysis/Span.java,org.services.analysis.Span,setChilds/1[java.util.List<java.lang.String>],childs,3
/data/org/services/analysis/Span.java,org.services.analysis.Span,getParentId/0,parentId,1
/data/org/services/analysis/Span.java,org.services.analysis.Span,getSpanId/0,spanId,1
/data/org/services/analysis/Span.java,org.services.analysis.Span,getSpanname/0,spanname,1
/data/org/services/analysis/Span.java,org.services.analysis.Span,"addLog/1[java.util.HashMap<java.lang.String,java.lang.String>]",logs,1
/data/org/services/analysis/Span.java,org.services.analysis.Span,"Span/4[java.lang.String,java.lang.String,java.lang.String,java.lang.String]",traceId,3
/data/org/services/analysis/Span.java,org.services.analysis.Span,"Span/4[java.lang.String,java.lang.String,java.lang.String,java.lang.String]",spanId,3
/data/org/services/analysis/Span.java,org.services.analysis.Span,"Span/4[java.lang.String,java.lang.String,java.lang.String,java.lang.String]",spanname,3
/data/org/services/analysis/Span.java,org.services.analysis.Span,"Span/4[java.lang.String,java.lang.String,java.lang.String,java.lang.String]",logs,1
/data/org/services/analysis/Span.java,org.services.analysis.Span,"Span/4[java.lang.String,java.lang.String,java.lang.String,java.lang.String]",parentId,3
/data/org/services/analysis/Span.java,org.services.analysis.Span,getChilds/0,childs,1
/data/org/services/analysis/CalculateEventAndNode.java,org.services.analysis.CalculateEventAndNode,main/1[java.lang.String[]],fileName,1
/data/org/services/analysis/CalculateEventAndNode.java,org.services.analysis.CalculateEventAndNode,main/1[java.lang.String[]],nodes,3
/data/org/services/analysis/CalculateEventAndNode.java,org.services.analysis.CalculateEventAndNode,main/1[java.lang.String[]],patternEvent,1
/data/org/services/analysis/CalculateEventAndNode.java,org.services.analysis.CalculateEventAndNode,main/1[java.lang.String[]],ROOT_DIR,1
/data/org/services/analysis/CalculateEventAndNode.java,org.services.analysis.CalculateEventAndNode,main/1[java.lang.String[]],caseDirectory,1
/data/org/services/analysis/CalculateEventAndNode.java,org.services.analysis.CalculateEventAndNode,main/1[java.lang.String[]],patternNode,1
/data/org/services/analysis/AggregateAllCases.java,org.services.analysis.AggregateAllCases,main/1[java.lang.String[]],ROOT_DIR,3
/data/org/services/analysis/AggregateAllCases.java,org.services.analysis.AggregateAllCases,main/1[java.lang.String[]],ALLAGGREGATEFILENAME,1
/data/org/services/analysis/AggregateAllCases.java,org.services.analysis.AggregateAllCases,main/1[java.lang.String[]],SINGLEAGGREGATEFILENAME,1
/data/org/services/analysis/AggregateEachCase.java,org.services.analysis.AggregateEachCase,main/1[java.lang.String[]],AGGREGATEFILENAME,1
/data/org/services/analysis/AggregateEachCase.java,org.services.analysis.AggregateEachCase,main/1[java.lang.String[]],ROOT_DIR,2
/data/org/services/analysis/Clock.java,org.services.analysis.Clock,"Clock/7[java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.util.HashMap<java.lang.String,java.lang.Integer>]",traceId,3
/data/org/services/analysis/Clock.java,org.services.analysis.Clock,"Clock/7[java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.util.HashMap<java.lang.String,java.lang.Integer>]",spanId,3
/data/org/services/analysis/Clock.java,org.services.analysis.Clock,"Clock/7[java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.util.HashMap<java.lang.String,java.lang.Integer>]",src,3
/data/org/services/analysis/Clock.java,org.services.analysis.Clock,"Clock/7[java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.util.HashMap<java.lang.String,java.lang.Integer>]",host,3
/data/org/services/analysis/Clock.java,org.services.analysis.Clock,"Clock/7[java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.util.HashMap<java.lang.String,java.lang.Integer>]",clock,3
/data/org/services/analysis/Clock.java,org.services.analysis.Clock,"Clock/7[java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.util.HashMap<java.lang.String,java.lang.Integer>]",type,3
/data/org/services/analysis/Clock.java,org.services.analysis.Clock,"Clock/7[java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.util.HashMap<java.lang.String,java.lang.Integer>]",parentId,3
/data/org/services/analysis/Clock.java,org.services.analysis.Clock,getClock/0,clock,1
/data/org/services/analysis/Clock.java,org.services.analysis.Clock,"isSrc/5[java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",traceId,5
/data/org/services/analysis/Clock.java,org.services.analysis.Clock,"isSrc/5[java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",spanId,4
/data/org/services/analysis/Clock.java,org.services.analysis.Clock,"isSrc/5[java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",type,7
/data/org/services/analysis/Clock.java,org.services.analysis.Clock,"isSrc/5[java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",parentId,2
/data/org/services/analysis/TraceTranslator.java,org.services.analysis.TraceTranslator,main/1[java.lang.String[]],SRC_DIR,2
/data/org/services/analysis/TraceTranslator.java,org.services.analysis.TraceTranslator,main/1[java.lang.String[]],DEST_DIR,1
