file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/data/org/services/analysis/Span.java,org.services.analysis.Span,getTraceId/0,false,34,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/data/org/services/analysis/Span.java,org.services.analysis.Span,getLogs/0,false,30,0,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/data/org/services/analysis/Span.java,org.services.analysis.Span,setSpanname/1[java.lang.String],false,62,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
/data/org/services/analysis/Span.java,org.services.analysis.Span,addChild/1[java.lang.String],false,54,0,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/data/org/services/analysis/Span.java,org.services.analysis.Span,setChilds/1[java.util.List<java.lang.String>],false,50,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
/data/org/services/analysis/Span.java,org.services.analysis.Span,getParentId/0,false,42,0,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/data/org/services/analysis/Span.java,org.services.analysis.Span,getSpanId/0,false,38,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/data/org/services/analysis/Span.java,org.services.analysis.Span,getSpanname/0,false,58,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/data/org/services/analysis/Span.java,org.services.analysis.Span,"addLog/1[java.util.HashMap<java.lang.String,java.lang.String>]",false,26,0,1,1,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/data/org/services/analysis/Span.java,org.services.analysis.Span,"Span/4[java.lang.String,java.lang.String,java.lang.String,java.lang.String]",true,18,0,1,1,0,1,0,7,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,7,1,0,false
/data/org/services/analysis/Span.java,org.services.analysis.Span,getChilds/0,false,46,0,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/data/org/services/analysis/CalculateEventAndNode.java,org.services.analysis.CalculateEventAndNode,main/1[java.lang.String[]],false,20,0,0,0,0,5,11,27,0,7,1,11,0,0,1,1,1,1,3,2,8,0,4,0,0,0,25,9,0,false
/data/org/services/analysis/AggregateAllCases.java,org.services.analysis.AggregateAllCases,getListFiles/1[java.lang.Object],false,53,1,2,1,1,6,9,24,2,5,1,9,1,0,1,0,0,0,1,1,7,0,3,0,0,0,13,10,0,false
/data/org/services/analysis/AggregateAllCases.java,org.services.analysis.AggregateAllCases,getTestCaseDirList/1[java.lang.String],false,40,0,1,1,0,3,3,10,1,5,1,3,0,0,1,0,0,0,0,1,5,0,2,0,0,0,13,10,0,false
/data/org/services/analysis/AggregateAllCases.java,org.services.analysis.AggregateAllCases,main/1[java.lang.String[]],false,12,1,1,0,1,4,14,26,0,10,1,14,1,1,2,1,1,1,3,1,11,0,3,0,0,0,33,9,0,false
/data/org/services/analysis/AggregateEachCase.java,org.services.analysis.AggregateEachCase,getListFiles/1[java.lang.Object],false,65,1,3,2,1,6,9,24,2,5,1,9,1,0,1,0,0,0,1,1,7,0,3,0,0,0,13,10,0,false
/data/org/services/analysis/AggregateEachCase.java,org.services.analysis.AggregateEachCase,main/1[java.lang.String[]],false,11,1,2,0,2,6,16,35,0,16,1,16,2,1,4,1,1,1,3,3,17,0,5,0,0,0,39,9,0,false
