file,class,method,variable,usage
/data/org/services/analysis/Span.java,org.services.analysis.Span,setSpanname/1[java.lang.String],spanname,2
/data/org/services/analysis/Span.java,org.services.analysis.Span,addChild/1[java.lang.String],childId,1
/data/org/services/analysis/Span.java,org.services.analysis.Span,setChilds/1[java.util.List<java.lang.String>],childs,2
/data/org/services/analysis/Span.java,org.services.analysis.Span,"addLog/1[java.util.HashMap<java.lang.String,java.lang.String>]",log,1
/data/org/services/analysis/Span.java,org.services.analysis.Span,"Span/4[java.lang.String,java.lang.String,java.lang.String,java.lang.String]",traceId,2
/data/org/services/analysis/Span.java,org.services.analysis.Span,"Span/4[java.lang.String,java.lang.String,java.lang.String,java.lang.String]",spanId,2
/data/org/services/analysis/Span.java,org.services.analysis.Span,"Span/4[java.lang.String,java.lang.String,java.lang.String,java.lang.String]",spanname,2
/data/org/services/analysis/Span.java,org.services.analysis.Span,"Span/4[java.lang.String,java.lang.String,java.lang.String,java.lang.String]",parentId,2
/data/org/services/analysis/CalculateEventAndNode.java,org.services.analysis.CalculateEventAndNode,main/1[java.lang.String[]],args,0
/data/org/services/analysis/CalculateEventAndNode.java,org.services.analysis.CalculateEventAndNode,main/1[java.lang.String[]],br,1
/data/org/services/analysis/CalculateEventAndNode.java,org.services.analysis.CalculateEventAndNode,main/1[java.lang.String[]],file,1
/data/org/services/analysis/CalculateEventAndNode.java,org.services.analysis.CalculateEventAndNode,main/1[java.lang.String[]],matcherNode,2
/data/org/services/analysis/CalculateEventAndNode.java,org.services.analysis.CalculateEventAndNode,main/1[java.lang.String[]],e,1
/data/org/services/analysis/CalculateEventAndNode.java,org.services.analysis.CalculateEventAndNode,main/1[java.lang.String[]],reader,2
/data/org/services/analysis/CalculateEventAndNode.java,org.services.analysis.CalculateEventAndNode,main/1[java.lang.String[]],line,4
/data/org/services/analysis/CalculateEventAndNode.java,org.services.analysis.CalculateEventAndNode,main/1[java.lang.String[]],count,2
/data/org/services/analysis/CalculateEventAndNode.java,org.services.analysis.CalculateEventAndNode,main/1[java.lang.String[]],matcherEvent,1
/data/org/services/analysis/AggregateAllCases.java,org.services.analysis.AggregateAllCases,getListFiles/1[java.lang.Object],fileOne,2
/data/org/services/analysis/AggregateAllCases.java,org.services.analysis.AggregateAllCases,getListFiles/1[java.lang.Object],obj,3
/data/org/services/analysis/AggregateAllCases.java,org.services.analysis.AggregateAllCases,getListFiles/1[java.lang.Object],files,4
/data/org/services/analysis/AggregateAllCases.java,org.services.analysis.AggregateAllCases,getListFiles/1[java.lang.Object],i,3
/data/org/services/analysis/AggregateAllCases.java,org.services.analysis.AggregateAllCases,getListFiles/1[java.lang.Object],fileArr,2
/data/org/services/analysis/AggregateAllCases.java,org.services.analysis.AggregateAllCases,getListFiles/1[java.lang.Object],directory,6
/data/org/services/analysis/AggregateAllCases.java,org.services.analysis.AggregateAllCases,getTestCaseDirList/1[java.lang.String],path,1
/data/org/services/analysis/AggregateAllCases.java,org.services.analysis.AggregateAllCases,getTestCaseDirList/1[java.lang.String],file,2
/data/org/services/analysis/AggregateAllCases.java,org.services.analysis.AggregateAllCases,getTestCaseDirList/1[java.lang.String],testDirs,2
/data/org/services/analysis/AggregateAllCases.java,org.services.analysis.AggregateAllCases,getTestCaseDirList/1[java.lang.String],rootDir,1
/data/org/services/analysis/AggregateAllCases.java,org.services.analysis.AggregateAllCases,getTestCaseDirList/1[java.lang.String],i,3
/data/org/services/analysis/AggregateAllCases.java,org.services.analysis.AggregateAllCases,getTestCaseDirList/1[java.lang.String],dirList,2
/data/org/services/analysis/AggregateAllCases.java,org.services.analysis.AggregateAllCases,main/1[java.lang.String[]],args,0
/data/org/services/analysis/AggregateAllCases.java,org.services.analysis.AggregateAllCases,main/1[java.lang.String[]],br,1
/data/org/services/analysis/AggregateAllCases.java,org.services.analysis.AggregateAllCases,main/1[java.lang.String[]],destFile,2
