service,loc,methods,classes,no,yes
ts-contacts-service,243,41,10,10,0
ts-admin-user-service,142,20,9,9,0
ts-notification-service,324,38,15,15,0
ts-cancel-service,316,26,12,12,0
ts-config-service,160,28,9,9,0
ts-assurance-service,285,48,12,12,0
ts-order-other-service,651,79,12,12,0
ts-route-service,274,34,10,10,0
ts-price-service,274,33,9,9,0
ts-preserve-service,356,24,15,14,1
ts-security-service,198,31,11,11,0
ts-consign-service,214,30,14,14,0
ts-train-service,262,37,9,9,0
ts-order-service,704,85,12,12,0
ts-verification-code-service,182,17,7,5,2
ts-food-service,362,40,15,15,0
ts-station-food-service,189,29,9,9,0
ts-rebook-service,424,29,10,9,1
ts-train-food-service,145,22,9,9,0
ts-ui-test,1302,115,25,24,1
ts-admin-basic-info-service,308,68,7,7,0
ts-food-delivery-service,254,35,14,14,0
ts-consign-price-service,147,22,9,9,0
ts-wait-order-service,328,47,12,12,0
ts-basic-service,425,25,7,7,0
ts-preserve-other-service,360,24,16,15,1
ts-common,978,117,53,52,1
ts-station-service,277,42,9,9,0
ts-auth-service,292,43,21,21,0
ts-user-service,251,38,13,13,0
ts-route-plan-service,319,21,14,14,0
ts-gateway-service,39,7,2,2,0
ts-payment-service,139,24,11,11,0
ts-inside-payment-service,560,68,21,21,0
ts-delivery-service,53,10,5,5,0
ts-seat-service,195,16,11,11,0
ts-execute-service,182,18,8,8,0
ts-travel-plan-service,331,33,15,14,1
ts-travel2-service,598,60,16,14,2
ts-travel-service,699,67,16,14,2
ts-admin-order-service,160,20,8,8,0
ts-admin-travel-service,257,24,8,8,0
ts-admin-route-service,125,18,7,7,0
