file,class,method,variable,usage
/data/org/myproject/ms/monitoring/ChainKeys.java,org.myproject.ms.monitoring.ChainKeys$Message,getHeaders/0,headers,1
/data/org/myproject/ms/monitoring/ChainKeys.java,org.myproject.ms.monitoring.ChainKeys$Message,setPayload/1[org.myproject.ms.monitoring.ChainKeys.Message.Payload],payload,3
/data/org/myproject/ms/monitoring/ChainKeys.java,org.myproject.ms.monitoring.ChainKeys$Message,getPayload/0,payload,1
/data/org/myproject/ms/monitoring/ChainKeys.java,org.myproject.ms.monitoring.ChainKeys$Message,getPrefix/0,prefix,1
/data/org/myproject/ms/monitoring/ChainKeys.java,org.myproject.ms.monitoring.ChainKeys$Message,setHeaders/1[java.util.Collection<java.lang.String>],headers,3
/data/org/myproject/ms/monitoring/ChainKeys.java,org.myproject.ms.monitoring.ChainKeys$Message,setPrefix/1[java.lang.String],prefix,3
/data/org/myproject/ms/monitoring/antn/DefaultSpanCreator.java,org.myproject.ms.monitoring.antn.DefaultSpanCreator,"createSpan/2[org.myproject.ms.monitoring.antn.MethodInvocation,org.myproject.ms.monitoring.antn.NewSpan]",log,2
/data/org/myproject/ms/monitoring/antn/DefaultSpanCreator.java,org.myproject.ms.monitoring.antn.DefaultSpanCreator,DefaultSpanCreator/1[org.myproject.ms.monitoring.Chainer],tracer,3
/data/org/myproject/ms/monitoring/antn/DefaultSpanCreator.java,org.myproject.ms.monitoring.antn.DefaultSpanCreator,createSpan/1[java.lang.String],tracer,4
/data/org/myproject/ms/monitoring/antn/SleuthAdvisorConfig.java,org.myproject.ms.monitoring.antn.SleuthInterceptor,spanCreator/0,beanFactory,1
/data/org/myproject/ms/monitoring/antn/SleuthAdvisorConfig.java,org.myproject.ms.monitoring.antn.SleuthInterceptor,spanCreator/0,spanCreator,4
/data/org/myproject/ms/monitoring/antn/SleuthAdvisorConfig.java,org.myproject.ms.monitoring.antn.SleuthInterceptor,setBeanFactory/1[org.myproject.ms.monitoring.antn.BeanFactory],beanFactory,3
/data/org/myproject/ms/monitoring/antn/SleuthAdvisorConfig.java,org.myproject.ms.monitoring.antn.SleuthInterceptor,tracer/0,beanFactory,1
/data/org/myproject/ms/monitoring/antn/SleuthAdvisorConfig.java,org.myproject.ms.monitoring.antn.SleuthInterceptor,tracer/0,tracer,4
/data/org/myproject/ms/monitoring/antn/SleuthAdvisorConfig.java,org.myproject.ms.monitoring.antn.SleuthInterceptor,invoke/1[org.myproject.ms.monitoring.antn.MethodInvocation],spanCreator,1
/data/org/myproject/ms/monitoring/antn/SleuthAdvisorConfig.java,org.myproject.ms.monitoring.antn.SleuthInterceptor,invoke/1[org.myproject.ms.monitoring.antn.MethodInvocation],logger,2
/data/org/myproject/ms/monitoring/antn/SleuthAdvisorConfig.java,org.myproject.ms.monitoring.antn.SleuthInterceptor,invoke/1[org.myproject.ms.monitoring.antn.MethodInvocation],tracer,3
/data/org/myproject/ms/monitoring/antn/SleuthAdvisorConfig.java,org.myproject.ms.monitoring.antn.SleuthInterceptor,invoke/1[org.myproject.ms.monitoring.antn.MethodInvocation],spanTagAnnotationHandler,1
/data/org/myproject/ms/monitoring/antn/SleuthAdvisorConfig.java,org.myproject.ms.monitoring.antn.SleuthInterceptor,"logEvent/2[org.myproject.ms.monitoring.Item,java.lang.String]",logger,1
/data/org/myproject/ms/monitoring/antn/SleuthAdvisorConfig.java,org.myproject.ms.monitoring.antn.SleuthInterceptor,spanTagAnnotationHandler/0,beanFactory,1
/data/org/myproject/ms/monitoring/antn/SleuthAdvisorConfig.java,org.myproject.ms.monitoring.antn.SleuthInterceptor,spanTagAnnotationHandler/0,spanTagAnnotationHandler,4
/data/org/myproject/ms/monitoring/ChainKeys.java,org.myproject.ms.monitoring.ChainKeys$Hystrix,getCommandKey/0,commandKey,1
/data/org/myproject/ms/monitoring/ChainKeys.java,org.myproject.ms.monitoring.ChainKeys$Hystrix,getCommandGroup/0,commandGroup,1
/data/org/myproject/ms/monitoring/ChainKeys.java,org.myproject.ms.monitoring.ChainKeys$Hystrix,setCommandGroup/1[java.lang.String],commandGroup,3
/data/org/myproject/ms/monitoring/ChainKeys.java,org.myproject.ms.monitoring.ChainKeys$Hystrix,setPrefix/1[java.lang.String],prefix,3
/data/org/myproject/ms/monitoring/ChainKeys.java,org.myproject.ms.monitoring.ChainKeys$Hystrix,setCommandKey/1[java.lang.String],commandKey,3
/data/org/myproject/ms/monitoring/ChainKeys.java,org.myproject.ms.monitoring.ChainKeys$Hystrix,setThreadPoolKey/1[java.lang.String],threadPoolKey,3
/data/org/myproject/ms/monitoring/ChainKeys.java,org.myproject.ms.monitoring.ChainKeys$Hystrix,getThreadPoolKey/0,threadPoolKey,1
/data/org/myproject/ms/monitoring/ChainKeys.java,org.myproject.ms.monitoring.ChainKeys$Hystrix,getPrefix/0,prefix,1
/data/org/myproject/ms/monitoring/instrument/async/LCTRun.java,org.myproject.ms.monitoring.instrument.async.LCTRun,"LCTRun/4[org.myproject.ms.monitoring.Chainer,org.myproject.ms.monitoring.ChainKeys,org.myproject.ms.monitoring.ItemNamer,java.lang.Runnable]",traceKeys,3
/data/org/myproject/ms/monitoring/instrument/async/LCTRun.java,org.myproject.ms.monitoring.instrument.async.LCTRun,"LCTRun/5[org.myproject.ms.monitoring.Chainer,org.myproject.ms.monitoring.ChainKeys,org.myproject.ms.monitoring.ItemNamer,java.lang.Runnable,java.lang.String]",traceKeys,3
/data/org/myproject/ms/monitoring/instrument/async/LCTRun.java,org.myproject.ms.monitoring.instrument.async.LCTRun,startSpan/0,ASYNC_COMPONENT,1
/data/org/myproject/ms/monitoring/instrument/async/LCTRun.java,org.myproject.ms.monitoring.instrument.async.LCTRun,startSpan/0,traceKeys,2
/data/org/myproject/ms/monitoring/instrument/web/TSDBPProcess.java,org.myproject.ms.monitoring.instrument.web.TSDBPProcess,"postProcessBeforeInitialization/2[java.lang.Object,java.lang.String]",beanFactory,1
/data/org/myproject/ms/monitoring/instrument/web/TSDBPProcess.java,org.myproject.ms.monitoring.instrument.web.TSDBPProcess,"postProcessBeforeInitialization/2[java.lang.Object,java.lang.String]",log,2
/data/org/myproject/ms/monitoring/instrument/web/TSDBPProcess.java,org.myproject.ms.monitoring.instrument.web.TSDBPProcess,TSDBPProcess/1[org.myproject.ms.monitoring.instrument.web.BeanFactory],beanFactory,3
/data/org/myproject/ms/monitoring/spl/IsChainingSampler.java,org.myproject.ms.monitoring.spl.IsChainingSampler,isSampled/1[org.myproject.ms.monitoring.Item],accessor,1
/data/org/myproject/ms/monitoring/spl/IsChainingSampler.java,org.myproject.ms.monitoring.spl.IsChainingSampler,IsChainingSampler/1[org.myproject.ms.monitoring.ItemAccessor],accessor,3
/data/org/myproject/ms/monitoring/ChainRunnable.java,org.myproject.ms.monitoring.ChainRunnable,getParent/0,parent,1
/data/org/myproject/ms/monitoring/ChainRunnable.java,org.myproject.ms.monitoring.ChainRunnable,getName/0,name,1
/data/org/myproject/ms/monitoring/ChainRunnable.java,org.myproject.ms.monitoring.ChainRunnable,"ChainRunnable/3[org.myproject.ms.monitoring.Chainer,org.myproject.ms.monitoring.ItemNamer,java.lang.Runnable]",delegate,2
/data/org/myproject/ms/monitoring/ChainRunnable.java,org.myproject.ms.monitoring.ChainRunnable,"ChainRunnable/3[org.myproject.ms.monitoring.Chainer,org.myproject.ms.monitoring.ItemNamer,java.lang.Runnable]",spanNamer,2
/data/org/myproject/ms/monitoring/ChainRunnable.java,org.myproject.ms.monitoring.ChainRunnable,"ChainRunnable/3[org.myproject.ms.monitoring.Chainer,org.myproject.ms.monitoring.ItemNamer,java.lang.Runnable]",tracer,2
/data/org/myproject/ms/monitoring/ChainRunnable.java,org.myproject.ms.monitoring.ChainRunnable,continueSpan/1[org.myproject.ms.monitoring.Item],tracer,1
/data/org/myproject/ms/monitoring/ChainRunnable.java,org.myproject.ms.monitoring.ChainRunnable,getTracer/0,tracer,1
/data/org/myproject/ms/monitoring/ChainRunnable.java,org.myproject.ms.monitoring.ChainRunnable,"ChainRunnable/4[org.myproject.ms.monitoring.Chainer,org.myproject.ms.monitoring.ItemNamer,java.lang.Runnable,java.lang.String]",delegate,3
/data/org/myproject/ms/monitoring/ChainRunnable.java,org.myproject.ms.monitoring.ChainRunnable,"ChainRunnable/4[org.myproject.ms.monitoring.Chainer,org.myproject.ms.monitoring.ItemNamer,java.lang.Runnable,java.lang.String]",parent,1
/data/org/myproject/ms/monitoring/ChainRunnable.java,org.myproject.ms.monitoring.ChainRunnable,"ChainRunnable/4[org.myproject.ms.monitoring.Chainer,org.myproject.ms.monitoring.ItemNamer,java.lang.Runnable,java.lang.String]",spanNamer,3
/data/org/myproject/ms/monitoring/ChainRunnable.java,org.myproject.ms.monitoring.ChainRunnable,"ChainRunnable/4[org.myproject.ms.monitoring.Chainer,org.myproject.ms.monitoring.ItemNamer,java.lang.Runnable,java.lang.String]",name,3
/data/org/myproject/ms/monitoring/ChainRunnable.java,org.myproject.ms.monitoring.ChainRunnable,"ChainRunnable/4[org.myproject.ms.monitoring.Chainer,org.myproject.ms.monitoring.ItemNamer,java.lang.Runnable,java.lang.String]",tracer,4
/data/org/myproject/ms/monitoring/ChainRunnable.java,org.myproject.ms.monitoring.ChainRunnable,detachSpan/1[org.myproject.ms.monitoring.Item],tracer,2
/data/org/myproject/ms/monitoring/ChainRunnable.java,org.myproject.ms.monitoring.ChainRunnable,close/1[org.myproject.ms.monitoring.Item],tracer,3
/data/org/myproject/ms/monitoring/ChainRunnable.java,org.myproject.ms.monitoring.ChainRunnable,getDelegate/0,delegate,1
/data/org/myproject/ms/monitoring/ChainRunnable.java,org.myproject.ms.monitoring.ChainRunnable,startSpan/0,parent,1
/data/org/myproject/ms/monitoring/ChainRunnable.java,org.myproject.ms.monitoring.ChainRunnable,startSpan/0,tracer,1
/data/org/myproject/ms/monitoring/ChainRunnable.java,org.myproject.ms.monitoring.ChainRunnable,getSpanName/0,delegate,1
/data/org/myproject/ms/monitoring/ChainRunnable.java,org.myproject.ms.monitoring.ChainRunnable,getSpanName/0,spanNamer,1
/data/org/myproject/ms/monitoring/ChainRunnable.java,org.myproject.ms.monitoring.ChainRunnable,getSpanName/0,DEFAULT_SPAN_NAME,1
/data/org/myproject/ms/monitoring/ChainRunnable.java,org.myproject.ms.monitoring.ChainRunnable,getSpanName/0,name,3
/data/org/myproject/ms/monitoring/instrument/msg/HBMInject.java,org.myproject.ms.monitoring.instrument.msg.HBMInject,"addHeaders/2[org.myproject.ms.monitoring.Item,org.myproject.ms.monitoring.ItemTextMap]",traceKeys,1
/data/org/myproject/ms/monitoring/instrument/msg/HBMInject.java,org.myproject.ms.monitoring.instrument.msg.HBMInject,"addPayloadAnnotations/3[org.myproject.ms.monitoring.ChainKeys,java.util.Map<java.lang.String,java.lang.String>,org.myproject.ms.monitoring.Item]",traceKeys,6
/data/org/myproject/ms/monitoring/instrument/msg/HBMInject.java,org.myproject.ms.monitoring.instrument.msg.HBMInject,"addAnnotations/3[org.myproject.ms.monitoring.ChainKeys,org.myproject.ms.monitoring.ItemTextMap,org.myproject.ms.monitoring.Item]",traceKeys,4
/data/org/myproject/ms/monitoring/instrument/msg/HBMInject.java,org.myproject.ms.monitoring.instrument.msg.HBMInject,HBMInject/1[org.myproject.ms.monitoring.ChainKeys],traceKeys,3
