@RELATION code_smells_extended

@ATTRIBUTE loc NUMERIC
@ATTRIBUTE wmc NUMERIC
@ATTRIBUTE cbo NUMERIC
@ATTRIBUTE lcom NUMERIC
@ATTRIBUTE rfc NUMERIC
@ATTRIBUTE noc NUMERIC
@ATTRIBUTE totalmethodsqty NUMERIC
@ATTRIBUTE totalfieldsqty NUMERIC
@ATTRIBUTE is_functional_decomposition {yes,no}
@ATTRIBUTE is_data_class {yes,no}
@ATTRIBUTE is_lazy_class {yes,no}
@ATTRIBUTE is_spaghetti {yes,no}
@ATTRIBUTE is_swiss_army_knife {yes,no}
@ATTRIBUTE is_blob {yes,no}
@ATTRIBUTE has_long_method {yes,no}
@ATTRIBUTE has_long_parameter_list {yes,no}

@DATA
39,6,1,13,0,0,6,3,no,no,no,no,no,no,no,no
21,6,9,1,17,0,3,2,no,no,no,no,no,no,no,no
89,24,15,8,28,0,8,5,no,no,no,no,no,no,no,no
76,21,18,28,32,1,8,0,no,no,no,no,no,no,no,no
2,0,2,0,0,0,0,0,no,no,yes,no,no,no,no,no
22,5,12,3,9,0,3,0,no,no,no,no,no,no,no,no
30,8,0,20,0,0,8,4,no,no,no,no,no,no,no,no
27,4,7,0,14,0,4,2,no,no,no,no,no,no,no,no
39,6,5,1,7,0,3,2,no,no,no,no,no,no,no,no
9,2,3,0,1,0,2,1,no,no,yes,no,no,no,no,no
5,3,1,3,0,0,3,0,no,no,no,no,no,no,no,no
63,15,5,6,12,2,12,6,no,no,no,no,no,no,no,no
5,1,1,0,0,0,1,0,no,no,yes,no,no,no,no,no
79,23,8,33,37,0,10,1,no,no,no,no,no,no,no,no
3,1,2,0,0,0,1,0,no,no,yes,no,no,no,no,no
16,3,0,1,3,0,2,0,no,no,yes,no,no,no,no,no
8,2,12,1,0,0,2,0,no,no,yes,no,no,no,no,no
67,6,2,9,0,0,6,4,no,no,no,no,no,no,no,no
83,25,6,0,13,0,23,3,no,no,no,no,no,no,no,no
28,6,7,0,12,0,5,4,no,no,no,no,no,no,no,no
3,1,0,0,0,0,1,0,no,no,yes,no,no,no,no,no
16,4,2,2,0,0,4,2,no,no,no,no,no,no,no,no
13,1,0,0,0,0,1,9,no,yes,no,no,no,no,no,no
18,1,13,0,0,0,1,0,no,no,yes,no,no,no,no,no
10,2,2,0,2,0,2,1,no,no,yes,no,no,no,no,no
44,11,11,6,27,2,8,4,no,no,no,no,no,no,no,no
44,10,5,1,8,0,3,3,no,no,no,no,no,no,no,no
22,5,3,0,9,0,3,2,no,no,no,no,no,no,no,no
30,8,0,20,0,0,8,4,no,no,no,no,no,no,no,no
93,28,9,0,19,1,20,6,no,no,no,no,no,no,no,no
27,3,8,0,16,0,2,4,no,no,no,no,no,no,no,no
16,4,0,2,0,0,4,2,no,no,no,no,no,no,no,no
65,18,7,0,12,0,8,2,no,no,no,no,no,no,no,no
42,7,9,0,18,0,5,4,no,no,no,no,no,no,no,no
24,5,5,1,9,0,3,1,no,no,no,no,no,no,no,no
6,2,1,1,0,0,2,0,no,no,yes,no,no,no,no,no
36,5,13,2,22,0,4,4,no,no,no,no,no,no,no,no
10,1,2,0,1,0,1,3,no,no,no,no,no,no,no,no
20,5,2,0,1,0,3,3,no,no,no,no,no,no,no,no
11,3,0,0,3,0,1,0,no,no,yes,no,no,no,no,no
23,5,6,1,10,0,2,3,no,no,no,no,no,no,no,no
5,1,13,0,2,0,1,0,no,no,yes,no,no,no,no,no
22,2,1,1,2,0,2,1,no,no,yes,no,no,no,no,no
20,4,5,0,4,0,3,2,no,no,no,no,no,no,no,no
3,1,0,0,0,0,1,0,no,no,yes,no,no,no,no,no
32,4,2,2,0,0,4,2,no,no,no,no,no,no,no,no
10,3,0,1,6,0,2,0,no,no,yes,no,no,no,no,no
20,4,5,1,9,0,3,2,no,no,no,no,no,no,no,no
16,4,1,2,0,0,4,2,no,no,no,no,no,no,no,no
14,4,17,6,0,0,4,0,no,no,no,no,no,no,no,no
392,69,8,651,51,0,43,37,no,no,no,no,no,no,no,yes
44,13,5,8,25,0,8,2,no,no,no,no,no,no,no,no
21,5,8,0,9,0,4,2,no,no,no,no,no,no,no,no
23,6,11,3,6,0,3,0,no,no,no,no,no,no,no,no
5,1,2,0,0,0,1,0,no,no,yes,no,no,no,no,no
3,1,1,0,0,0,1,0,no,no,yes,no,no,no,no,no
16,4,1,2,0,0,4,2,no,no,no,no,no,no,no,no
14,2,5,0,7,0,1,1,no,no,yes,no,no,no,no,no
82,20,7,9,40,0,6,5,no,no,no,no,no,no,no,no
71,18,12,0,14,0,13,6,no,no,no,no,no,no,no,no
