file,class,method,variable,usage
/data/org/myproject/ms/monitoring/ChainKeys.java,org.myproject.ms.monitoring.ChainKeys$Message,setPayload/1[org.myproject.ms.monitoring.ChainKeys.Message.Payload],payload,2
/data/org/myproject/ms/monitoring/ChainKeys.java,org.myproject.ms.monitoring.ChainKeys$Message,setHeaders/1[java.util.Collection<java.lang.String>],headers,2
/data/org/myproject/ms/monitoring/ChainKeys.java,org.myproject.ms.monitoring.ChainKeys$Message,setPrefix/1[java.lang.String],prefix,2
/data/org/myproject/ms/monitoring/antn/DefaultSpanCreator.java,org.myproject.ms.monitoring.antn.DefaultSpanCreator,"createSpan/2[org.myproject.ms.monitoring.antn.MethodInvocation,org.myproject.ms.monitoring.antn.NewSpan]",newSpanAnnotation,2
/data/org/myproject/ms/monitoring/antn/DefaultSpanCreator.java,org.myproject.ms.monitoring.antn.DefaultSpanCreator,"createSpan/2[org.myproject.ms.monitoring.antn.MethodInvocation,org.myproject.ms.monitoring.antn.NewSpan]",pjp,3
/data/org/myproject/ms/monitoring/antn/DefaultSpanCreator.java,org.myproject.ms.monitoring.antn.DefaultSpanCreator,"createSpan/2[org.myproject.ms.monitoring.antn.MethodInvocation,org.myproject.ms.monitoring.antn.NewSpan]",name,3
/data/org/myproject/ms/monitoring/antn/DefaultSpanCreator.java,org.myproject.ms.monitoring.antn.DefaultSpanCreator,"createSpan/2[org.myproject.ms.monitoring.antn.MethodInvocation,org.myproject.ms.monitoring.antn.NewSpan]",changedName,2
/data/org/myproject/ms/monitoring/antn/DefaultSpanCreator.java,org.myproject.ms.monitoring.antn.DefaultSpanCreator,DefaultSpanCreator/1[org.myproject.ms.monitoring.Chainer],tracer,2
/data/org/myproject/ms/monitoring/antn/DefaultSpanCreator.java,org.myproject.ms.monitoring.antn.DefaultSpanCreator,createSpan/1[java.lang.String],name,2
/data/org/myproject/ms/monitoring/antn/SleuthAdvisorConfig.java,org.myproject.ms.monitoring.antn.SleuthInterceptor,setBeanFactory/1[org.myproject.ms.monitoring.antn.BeanFactory],beanFactory,2
