file,class,method,variable,usage
/data/adminbasic/controller/AdminBasicInfoController.java,adminbasic.controller.AdminBasicInfoController,"deleteStation/2[java.lang.String,adminbasic.controller.HttpHeaders]",adminBasicInfoService,1
/data/adminbasic/controller/AdminBasicInfoController.java,adminbasic.controller.AdminBasicInfoController,"modifyPrice/2[adminbasic.entity.PriceInfo,adminbasic.controller.HttpHeaders]",adminBasicInfoService,1
/data/adminbasic/controller/AdminBasicInfoController.java,adminbasic.controller.AdminBasicInfoController,getAllPrices/1[adminbasic.controller.HttpHeaders],adminBasicInfoService,1
/data/adminbasic/controller/AdminBasicInfoController.java,adminbasic.controller.AdminBasicInfoController,"addPrice/2[adminbasic.entity.PriceInfo,adminbasic.controller.HttpHeaders]",adminBasicInfoService,1
/data/adminbasic/controller/AdminBasicInfoController.java,adminbasic.controller.AdminBasicInfoController,"modifyContacts/2[adminbasic.controller.Contacts,adminbasic.controller.HttpHeaders]",adminBasicInfoService,1
/data/adminbasic/controller/AdminBasicInfoController.java,adminbasic.controller.AdminBasicInfoController,"modifyTrain/2[adminbasic.controller.TrainType,adminbasic.controller.HttpHeaders]",adminBasicInfoService,1
/data/adminbasic/controller/AdminBasicInfoController.java,adminbasic.controller.AdminBasicInfoController,getAllConfigs/1[adminbasic.controller.HttpHeaders],adminBasicInfoService,1
/data/adminbasic/controller/AdminBasicInfoController.java,adminbasic.controller.AdminBasicInfoController,"deletePrice/2[java.lang.String,adminbasic.controller.HttpHeaders]",adminBasicInfoService,1
/data/adminbasic/controller/AdminBasicInfoController.java,adminbasic.controller.AdminBasicInfoController,"addTrain/2[adminbasic.controller.TrainType,adminbasic.controller.HttpHeaders]",adminBasicInfoService,1
/data/adminbasic/controller/AdminBasicInfoController.java,adminbasic.controller.AdminBasicInfoController,"addConfig/2[adminbasic.controller.Config,adminbasic.controller.HttpHeaders]",adminBasicInfoService,1
/data/adminbasic/controller/AdminBasicInfoController.java,adminbasic.controller.AdminBasicInfoController,"deleteContacts/2[java.lang.String,adminbasic.controller.HttpHeaders]",adminBasicInfoService,1
/data/adminbasic/controller/AdminBasicInfoController.java,adminbasic.controller.AdminBasicInfoController,"addContacts/2[adminbasic.controller.Contacts,adminbasic.controller.HttpHeaders]",adminBasicInfoService,1
/data/adminbasic/controller/AdminBasicInfoController.java,adminbasic.controller.AdminBasicInfoController,"modifyConfig/2[adminbasic.controller.Config,adminbasic.controller.HttpHeaders]",adminBasicInfoService,1
/data/adminbasic/controller/AdminBasicInfoController.java,adminbasic.controller.AdminBasicInfoController,getAllStations/1[adminbasic.controller.HttpHeaders],adminBasicInfoService,1
/data/adminbasic/controller/AdminBasicInfoController.java,adminbasic.controller.AdminBasicInfoController,"modifyStation/2[adminbasic.controller.Station,adminbasic.controller.HttpHeaders]",adminBasicInfoService,1
/data/adminbasic/controller/AdminBasicInfoController.java,adminbasic.controller.AdminBasicInfoController,"deleteConfig/2[java.lang.String,adminbasic.controller.HttpHeaders]",adminBasicInfoService,1
/data/adminbasic/controller/AdminBasicInfoController.java,adminbasic.controller.AdminBasicInfoController,getAllContacts/1[adminbasic.controller.HttpHeaders],adminBasicInfoService,1
/data/adminbasic/controller/AdminBasicInfoController.java,adminbasic.controller.AdminBasicInfoController,getAllTrains/1[adminbasic.controller.HttpHeaders],adminBasicInfoService,1
/data/adminbasic/controller/AdminBasicInfoController.java,adminbasic.controller.AdminBasicInfoController,"addStation/2[adminbasic.controller.Station,adminbasic.controller.HttpHeaders]",adminBasicInfoService,1
/data/adminbasic/controller/AdminBasicInfoController.java,adminbasic.controller.AdminBasicInfoController,"deleteTrain/2[java.lang.String,adminbasic.controller.HttpHeaders]",adminBasicInfoService,1
/data/adminbasic/service/AdminBasicInfoServiceImpl.java,adminbasic.service.AdminBasicInfoServiceImpl,"modifyTrain/2[adminbasic.service.TrainType,adminbasic.service.HttpHeaders]",restTemplate,1
/data/adminbasic/service/AdminBasicInfoServiceImpl.java,adminbasic.service.AdminBasicInfoServiceImpl,"modifyPrice/2[adminbasic.entity.PriceInfo,adminbasic.service.HttpHeaders]",restTemplate,1
/data/adminbasic/service/AdminBasicInfoServiceImpl.java,adminbasic.service.AdminBasicInfoServiceImpl,"deleteContact/2[java.lang.String,adminbasic.service.HttpHeaders]",restTemplate,1
/data/adminbasic/service/AdminBasicInfoServiceImpl.java,adminbasic.service.AdminBasicInfoServiceImpl,"modifyStation/2[adminbasic.service.Station,adminbasic.service.HttpHeaders]",restTemplate,1
/data/adminbasic/service/AdminBasicInfoServiceImpl.java,adminbasic.service.AdminBasicInfoServiceImpl,"addStation/2[adminbasic.service.Station,adminbasic.service.HttpHeaders]",restTemplate,1
/data/adminbasic/service/AdminBasicInfoServiceImpl.java,adminbasic.service.AdminBasicInfoServiceImpl,"deleteStation/2[java.lang.String,adminbasic.service.HttpHeaders]",restTemplate,1
/data/adminbasic/service/AdminBasicInfoServiceImpl.java,adminbasic.service.AdminBasicInfoServiceImpl,"addConfig/2[adminbasic.service.Config,adminbasic.service.HttpHeaders]",restTemplate,1
/data/adminbasic/service/AdminBasicInfoServiceImpl.java,adminbasic.service.AdminBasicInfoServiceImpl,"addPrice/2[adminbasic.entity.PriceInfo,adminbasic.service.HttpHeaders]",restTemplate,1
/data/adminbasic/service/AdminBasicInfoServiceImpl.java,adminbasic.service.AdminBasicInfoServiceImpl,"addContact/2[adminbasic.service.Contacts,adminbasic.service.HttpHeaders]",restTemplate,1
/data/adminbasic/service/AdminBasicInfoServiceImpl.java,adminbasic.service.AdminBasicInfoServiceImpl,getAllConfigs/1[adminbasic.service.HttpHeaders],restTemplate,1
/data/adminbasic/service/AdminBasicInfoServiceImpl.java,adminbasic.service.AdminBasicInfoServiceImpl,getAllContacts/1[adminbasic.service.HttpHeaders],restTemplate,1
/data/adminbasic/service/AdminBasicInfoServiceImpl.java,adminbasic.service.AdminBasicInfoServiceImpl,getAllTrains/1[adminbasic.service.HttpHeaders],restTemplate,1
/data/adminbasic/service/AdminBasicInfoServiceImpl.java,adminbasic.service.AdminBasicInfoServiceImpl,getAllPrices/1[adminbasic.service.HttpHeaders],restTemplate,1
/data/adminbasic/service/AdminBasicInfoServiceImpl.java,adminbasic.service.AdminBasicInfoServiceImpl,"deleteConfig/2[java.lang.String,adminbasic.service.HttpHeaders]",restTemplate,1
/data/adminbasic/service/AdminBasicInfoServiceImpl.java,adminbasic.service.AdminBasicInfoServiceImpl,"deleteTrain/2[java.lang.String,adminbasic.service.HttpHeaders]",restTemplate,1
/data/adminbasic/service/AdminBasicInfoServiceImpl.java,adminbasic.service.AdminBasicInfoServiceImpl,"deletePrice/2[java.lang.String,adminbasic.service.HttpHeaders]",restTemplate,1
/data/adminbasic/service/AdminBasicInfoServiceImpl.java,adminbasic.service.AdminBasicInfoServiceImpl,"modifyContact/2[adminbasic.service.Contacts,adminbasic.service.HttpHeaders]",restTemplate,1
/data/adminbasic/service/AdminBasicInfoServiceImpl.java,adminbasic.service.AdminBasicInfoServiceImpl,"modifyConfig/2[adminbasic.service.Config,adminbasic.service.HttpHeaders]",restTemplate,1
/data/adminbasic/service/AdminBasicInfoServiceImpl.java,adminbasic.service.AdminBasicInfoServiceImpl,getAllStations/1[adminbasic.service.HttpHeaders],restTemplate,1
/data/adminbasic/service/AdminBasicInfoServiceImpl.java,adminbasic.service.AdminBasicInfoServiceImpl,"addTrain/2[adminbasic.service.TrainType,adminbasic.service.HttpHeaders]",restTemplate,1
