file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/data/adminorder/config/SecurityConfig.java,adminorder.config.SecurityConfig$Anonymous1,addCorsMappings/1[adminorder.config.CorsRegistry],false,50,1,0,0,0,1,6,3,0,0,1,6,0,0,0,0,0,0,1,1,0,0,0,0,0,0,8,1,0,false
/data/adminorder/service/AdminOrderService.java,adminorder.service.AdminOrderService,"deleteOrder/3[java.lang.String,java.lang.String,adminorder.service.HttpHeaders]",false,21,2,1,1,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,true
/data/adminorder/service/AdminOrderService.java,adminorder.service.AdminOrderService,getAllOrders/1[adminorder.service.HttpHeaders],false,13,2,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,true
/data/adminorder/service/AdminOrderService.java,adminorder.service.AdminOrderService,"updateOrder/2[adminorder.service.Order,adminorder.service.HttpHeaders]",false,31,3,1,1,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,true
/data/adminorder/service/AdminOrderService.java,adminorder.service.AdminOrderService,"addOrder/2[adminorder.service.Order,adminorder.service.HttpHeaders]",false,40,3,1,1,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,true
/data/adminorder/AdminOrderApplication.java,adminorder.AdminOrderApplication,restTemplate/1[adminorder.RestTemplateBuilder],false,31,4,0,0,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/data/adminorder/AdminOrderApplication.java,adminorder.AdminOrderApplication,main/1[java.lang.String[]],false,25,1,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,false
/data/adminorder/controller/AdminOrderController.java,adminorder.controller.AdminOrderController,getAllOrders/1[adminorder.controller.HttpHeaders],false,33,6,1,0,1,1,3,4,1,0,1,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,11,1,1,false
/data/adminorder/controller/AdminOrderController.java,adminorder.controller.AdminOrderController,"updateOrder/2[adminorder.controller.Order,adminorder.controller.HttpHeaders]",false,45,7,1,0,1,1,5,4,1,0,2,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,8,1,1,false
/data/adminorder/controller/AdminOrderController.java,adminorder.controller.AdminOrderController,"deleteOrder/3[java.lang.String,java.lang.String,adminorder.controller.HttpHeaders]",false,51,6,1,0,1,1,3,4,1,0,3,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,13,1,1,false
/data/adminorder/controller/AdminOrderController.java,adminorder.controller.AdminOrderController,home/1[adminorder.controller.HttpHeaders],false,27,3,0,0,0,1,0,3,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,7,1,0,false
/data/adminorder/controller/AdminOrderController.java,adminorder.controller.AdminOrderController,"addOrder/2[adminorder.controller.Order,adminorder.controller.HttpHeaders]",false,39,7,1,0,1,1,4,4,1,0,2,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,8,1,1,false
/data/adminorder/service/AdminOrderServiceImpl.java,adminorder.service.AdminOrderServiceImpl,"deleteOrder/3[java.lang.String,java.lang.String,adminorder.service.HttpHeaders]",false,87,5,1,0,1,3,5,18,1,7,3,5,1,1,0,0,0,0,8,0,8,2,1,0,0,0,25,1,2,false
/data/adminorder/service/AdminOrderServiceImpl.java,adminorder.service.AdminOrderServiceImpl,getServiceUrl/1[java.lang.String],false,34,0,4,4,0,1,0,3,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,5,2,0,false
/data/adminorder/service/AdminOrderServiceImpl.java,adminorder.service.AdminOrderServiceImpl,"updateOrder/2[adminorder.service.Order,adminorder.service.HttpHeaders]",false,117,6,1,0,1,3,7,19,1,7,2,7,1,1,0,0,0,0,9,0,8,2,1,0,0,0,29,1,3,false
/data/adminorder/service/AdminOrderServiceImpl.java,adminorder.service.AdminOrderServiceImpl,getAllOrders/1[adminorder.service.HttpHeaders],false,39,7,1,0,1,3,8,33,1,10,1,8,1,1,0,2,0,0,10,3,11,2,1,2,0,0,33,1,5,false
/data/adminorder/service/AdminOrderServiceImpl.java,adminorder.service.AdminOrderServiceImpl,"addOrder/2[adminorder.service.Order,adminorder.service.HttpHeaders]",false,149,6,1,0,1,3,7,19,1,7,2,7,1,1,0,0,0,0,9,0,8,2,1,0,0,0,25,1,3,false
/data/adminorder/config/SecurityConfig.java,adminorder.config.SecurityConfig,passwordEncoder/0,false,34,3,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,true
/data/adminorder/config/SecurityConfig.java,adminorder.config.SecurityConfig,configure/1[adminorder.config.HttpSecurity],false,63,3,0,0,0,1,15,4,0,0,1,15,0,0,0,0,0,0,8,0,0,0,0,0,0,0,18,4,0,false
/data/adminorder/config/SecurityConfig.java,adminorder.config.SecurityConfig,corsConfigurer/0,false,47,4,0,0,0,1,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,43,1,0,true
