file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/data/adminroute/controller/AdminRouteController.java,adminroute.controller.AdminRouteController,"addRoute/2[adminroute.controller.RouteInfo,adminroute.controller.HttpHeaders]",false,39,7,1,0,1,1,6,4,1,0,2,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,14,1,1,false
/data/adminroute/controller/AdminRouteController.java,adminroute.controller.AdminRouteController,"deleteRoute/2[java.lang.String,adminroute.controller.HttpHeaders]",false,46,6,1,0,1,1,3,4,1,0,2,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,11,1,1,false
/data/adminroute/controller/AdminRouteController.java,adminroute.controller.AdminRouteController,home/1[adminroute.controller.HttpHeaders],false,27,3,0,0,0,1,0,3,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,9,1,0,false
/data/adminroute/controller/AdminRouteController.java,adminroute.controller.AdminRouteController,getAllRoutes/1[adminroute.controller.HttpHeaders],false,33,6,1,0,1,1,3,4,1,0,1,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,12,1,1,false
/data/adminroute/service/AdminRouteServiceImpl.java,adminroute.service.AdminRouteServiceImpl,getAllRoutes/1[adminroute.service.HttpHeaders],false,36,5,1,0,1,2,6,9,1,3,1,6,1,1,0,1,0,0,3,0,3,1,1,0,0,0,20,1,1,false
/data/adminroute/service/AdminRouteServiceImpl.java,adminroute.service.AdminRouteServiceImpl,getServiceUrl/1[java.lang.String],false,31,0,4,4,0,1,0,3,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,5,2,0,false
/data/adminroute/service/AdminRouteServiceImpl.java,adminroute.service.AdminRouteServiceImpl,"deleteRoute/2[java.lang.String,adminroute.service.HttpHeaders]",false,83,5,1,0,1,2,6,9,1,3,2,6,1,1,0,1,0,0,3,0,3,1,1,0,0,0,19,1,1,false
/data/adminroute/service/AdminRouteServiceImpl.java,adminroute.service.AdminRouteServiceImpl,"checkStationsExists/2[java.util.List<java.lang.String>,adminroute.service.HttpHeaders]",false,99,5,2,1,1,5,11,21,3,6,2,11,1,1,1,2,0,0,5,4,6,1,2,0,0,0,25,1,1,false
/data/adminroute/service/AdminRouteServiceImpl.java,adminroute.service.AdminRouteServiceImpl,"createAndModifyRoute/2[adminroute.service.RouteInfo,adminroute.service.HttpHeaders]",false,53,7,2,0,2,5,12,22,3,7,2,12,2,2,0,2,0,0,5,2,7,1,1,1,0,0,34,1,2,false
/data/adminroute/service/AdminRouteService.java,adminroute.service.AdminRouteService,"createAndModifyRoute/2[adminroute.service.RouteInfo,adminroute.service.HttpHeaders]",false,20,3,1,1,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,true
/data/adminroute/service/AdminRouteService.java,adminroute.service.AdminRouteService,getAllRoutes/1[adminroute.service.HttpHeaders],false,12,2,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,true
/data/adminroute/service/AdminRouteService.java,adminroute.service.AdminRouteService,"deleteRoute/2[java.lang.String,adminroute.service.HttpHeaders]",false,29,2,1,1,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,true
/data/adminroute/config/SecurityConfig.java,adminroute.config.SecurityConfig,passwordEncoder/0,false,34,3,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,true
/data/adminroute/config/SecurityConfig.java,adminroute.config.SecurityConfig,corsConfigurer/0,false,47,4,0,0,0,1,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,43,1,0,true
/data/adminroute/config/SecurityConfig.java,adminroute.config.SecurityConfig,configure/1[adminroute.config.HttpSecurity],false,63,3,0,0,0,1,15,4,0,0,1,15,0,0,0,0,0,0,8,0,0,0,0,0,0,0,18,4,0,false
/data/adminroute/config/SecurityConfig.java,adminroute.config.SecurityConfig$Anonymous1,addCorsMappings/1[adminroute.config.CorsRegistry],false,50,1,0,0,0,1,6,3,0,0,1,6,0,0,0,0,0,0,1,1,0,0,0,0,0,0,8,1,0,false
/data/adminroute/AdminRouteApplication.java,adminroute.AdminRouteApplication,restTemplate/1[adminroute.RestTemplateBuilder],false,31,4,0,0,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/data/adminroute/AdminRouteApplication.java,adminroute.AdminRouteApplication,main/1[java.lang.String[]],false,25,1,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,false
