file,class,method,variable,usage
/data/adminroute/controller/AdminRouteController.java,adminroute.controller.AdminRouteController,"addRoute/2[adminroute.controller.RouteInfo,adminroute.controller.HttpHeaders]",request,4
/data/adminroute/controller/AdminRouteController.java,adminroute.controller.AdminRouteController,"addRoute/2[adminroute.controller.RouteInfo,adminroute.controller.HttpHeaders]",headers,1
/data/adminroute/controller/AdminRouteController.java,adminroute.controller.AdminRouteController,"deleteRoute/2[java.lang.String,adminroute.controller.HttpHeaders]",headers,1
/data/adminroute/controller/AdminRouteController.java,adminroute.controller.AdminRouteController,"deleteRoute/2[java.lang.String,adminroute.controller.HttpHeaders]",routeId,2
/data/adminroute/controller/AdminRouteController.java,adminroute.controller.AdminRouteController,home/1[adminroute.controller.HttpHeaders],headers,0
/data/adminroute/controller/AdminRouteController.java,adminroute.controller.AdminRouteController,getAllRoutes/1[adminroute.controller.HttpHeaders],headers,1
/data/adminroute/service/AdminRouteServiceImpl.java,adminroute.service.AdminRouteServiceImpl,getAllRoutes/1[adminroute.service.HttpHeaders],headers,0
/data/adminroute/service/AdminRouteServiceImpl.java,adminroute.service.AdminRouteServiceImpl,getAllRoutes/1[adminroute.service.HttpHeaders],route_service_url,1
/data/adminroute/service/AdminRouteServiceImpl.java,adminroute.service.AdminRouteServiceImpl,getAllRoutes/1[adminroute.service.HttpHeaders],re,3
/data/adminroute/service/AdminRouteServiceImpl.java,adminroute.service.AdminRouteServiceImpl,getAllRoutes/1[adminroute.service.HttpHeaders],requestEntity,1
/data/adminroute/service/AdminRouteServiceImpl.java,adminroute.service.AdminRouteServiceImpl,getServiceUrl/1[java.lang.String],serviceName,1
/data/adminroute/service/AdminRouteServiceImpl.java,adminroute.service.AdminRouteServiceImpl,"deleteRoute/2[java.lang.String,adminroute.service.HttpHeaders]",headers,0
/data/adminroute/service/AdminRouteServiceImpl.java,adminroute.service.AdminRouteServiceImpl,"deleteRoute/2[java.lang.String,adminroute.service.HttpHeaders]",route_service_url,1
/data/adminroute/service/AdminRouteServiceImpl.java,adminroute.service.AdminRouteServiceImpl,"deleteRoute/2[java.lang.String,adminroute.service.HttpHeaders]",routeId,1
/data/adminroute/service/AdminRouteServiceImpl.java,adminroute.service.AdminRouteServiceImpl,"deleteRoute/2[java.lang.String,adminroute.service.HttpHeaders]",re,3
/data/adminroute/service/AdminRouteServiceImpl.java,adminroute.service.AdminRouteServiceImpl,"deleteRoute/2[java.lang.String,adminroute.service.HttpHeaders]",requestEntity,1
/data/adminroute/service/AdminRouteServiceImpl.java,adminroute.service.AdminRouteServiceImpl,"checkStationsExists/2[java.util.List<java.lang.String>,adminroute.service.HttpHeaders]",headers,0
/data/adminroute/service/AdminRouteServiceImpl.java,adminroute.service.AdminRouteServiceImpl,"checkStationsExists/2[java.util.List<java.lang.String>,adminroute.service.HttpHeaders]",r,3
/data/adminroute/service/AdminRouteServiceImpl.java,adminroute.service.AdminRouteServiceImpl,"checkStationsExists/2[java.util.List<java.lang.String>,adminroute.service.HttpHeaders]",re,1
/data/adminroute/service/AdminRouteServiceImpl.java,adminroute.service.AdminRouteServiceImpl,"checkStationsExists/2[java.util.List<java.lang.String>,adminroute.service.HttpHeaders]",s,2
/data/adminroute/service/AdminRouteServiceImpl.java,adminroute.service.AdminRouteServiceImpl,"checkStationsExists/2[java.util.List<java.lang.String>,adminroute.service.HttpHeaders]",stationNames,2
/data/adminroute/service/AdminRouteServiceImpl.java,adminroute.service.AdminRouteServiceImpl,"checkStationsExists/2[java.util.List<java.lang.String>,adminroute.service.HttpHeaders]",notExists,3
/data/adminroute/service/AdminRouteServiceImpl.java,adminroute.service.AdminRouteServiceImpl,"checkStationsExists/2[java.util.List<java.lang.String>,adminroute.service.HttpHeaders]",stationMap,1
/data/adminroute/service/AdminRouteServiceImpl.java,adminroute.service.AdminRouteServiceImpl,"checkStationsExists/2[java.util.List<java.lang.String>,adminroute.service.HttpHeaders]",station_service_url,1
/data/adminroute/service/AdminRouteServiceImpl.java,adminroute.service.AdminRouteServiceImpl,"checkStationsExists/2[java.util.List<java.lang.String>,adminroute.service.HttpHeaders]",requestEntity,1
/data/adminroute/service/AdminRouteServiceImpl.java,adminroute.service.AdminRouteServiceImpl,"createAndModifyRoute/2[adminroute.service.RouteInfo,adminroute.service.HttpHeaders]",request,4
/data/adminroute/service/AdminRouteServiceImpl.java,adminroute.service.AdminRouteServiceImpl,"createAndModifyRoute/2[adminroute.service.RouteInfo,adminroute.service.HttpHeaders]",headers,1
/data/adminroute/service/AdminRouteServiceImpl.java,adminroute.service.AdminRouteServiceImpl,"createAndModifyRoute/2[adminroute.service.RouteInfo,adminroute.service.HttpHeaders]",route_service_url,1
/data/adminroute/service/AdminRouteServiceImpl.java,adminroute.service.AdminRouteServiceImpl,"createAndModifyRoute/2[adminroute.service.RouteInfo,adminroute.service.HttpHeaders]",re,3
/data/adminroute/service/AdminRouteServiceImpl.java,adminroute.service.AdminRouteServiceImpl,"createAndModifyRoute/2[adminroute.service.RouteInfo,adminroute.service.HttpHeaders]",response,2
/data/adminroute/service/AdminRouteServiceImpl.java,adminroute.service.AdminRouteServiceImpl,"createAndModifyRoute/2[adminroute.service.RouteInfo,adminroute.service.HttpHeaders]",start,2
/data/adminroute/service/AdminRouteServiceImpl.java,adminroute.service.AdminRouteServiceImpl,"createAndModifyRoute/2[adminroute.service.RouteInfo,adminroute.service.HttpHeaders]",end,2
/data/adminroute/service/AdminRouteServiceImpl.java,adminroute.service.AdminRouteServiceImpl,"createAndModifyRoute/2[adminroute.service.RouteInfo,adminroute.service.HttpHeaders]",stations,3
/data/adminroute/service/AdminRouteServiceImpl.java,adminroute.service.AdminRouteServiceImpl,"createAndModifyRoute/2[adminroute.service.RouteInfo,adminroute.service.HttpHeaders]",requestEntity,1
