file,class,method,variable,usage
/data/admintravel/service/AdminTravelService.java,admintravel.service.AdminTravelService,"deleteTravel/2[java.lang.String,admintravel.service.HttpHeaders]",headers,0
/data/admintravel/service/AdminTravelService.java,admintravel.service.AdminTravelService,"deleteTravel/2[java.lang.String,admintravel.service.HttpHeaders]",tripId,0
/data/admintravel/service/AdminTravelService.java,admintravel.service.AdminTravelService,"addTravel/2[admintravel.service.TravelInfo,admintravel.service.HttpHeaders]",request,0
/data/admintravel/service/AdminTravelService.java,admintravel.service.AdminTravelService,"addTravel/2[admintravel.service.TravelInfo,admintravel.service.HttpHeaders]",headers,0
/data/admintravel/service/AdminTravelService.java,admintravel.service.AdminTravelService,"updateTravel/2[admintravel.service.TravelInfo,admintravel.service.HttpHeaders]",request,0
/data/admintravel/service/AdminTravelService.java,admintravel.service.AdminTravelService,"updateTravel/2[admintravel.service.TravelInfo,admintravel.service.HttpHeaders]",headers,0
/data/admintravel/service/AdminTravelService.java,admintravel.service.AdminTravelService,getAllTravels/1[admintravel.service.HttpHeaders],headers,0
/data/admintravel/service/AdminTravelServiceImpl.java,admintravel.service.AdminTravelServiceImpl,"checkTravelInfo/2[admintravel.service.TravelInfo,admintravel.service.HttpHeaders]",headers,3
/data/admintravel/service/AdminTravelServiceImpl.java,admintravel.service.AdminTravelServiceImpl,"checkTravelInfo/2[admintravel.service.TravelInfo,admintravel.service.HttpHeaders]",routeId,1
/data/admintravel/service/AdminTravelServiceImpl.java,admintravel.service.AdminTravelServiceImpl,"checkTravelInfo/2[admintravel.service.TravelInfo,admintravel.service.HttpHeaders]",route,5
/data/admintravel/service/AdminTravelServiceImpl.java,admintravel.service.AdminTravelServiceImpl,"checkTravelInfo/2[admintravel.service.TravelInfo,admintravel.service.HttpHeaders]",trainType,1
/data/admintravel/service/AdminTravelServiceImpl.java,admintravel.service.AdminTravelServiceImpl,"checkTravelInfo/2[admintravel.service.TravelInfo,admintravel.service.HttpHeaders]",response,13
/data/admintravel/service/AdminTravelServiceImpl.java,admintravel.service.AdminTravelServiceImpl,"checkTravelInfo/2[admintravel.service.TravelInfo,admintravel.service.HttpHeaders]",start,3
/data/admintravel/service/AdminTravelServiceImpl.java,admintravel.service.AdminTravelServiceImpl,"checkTravelInfo/2[admintravel.service.TravelInfo,admintravel.service.HttpHeaders]",end,3
/data/admintravel/service/AdminTravelServiceImpl.java,admintravel.service.AdminTravelServiceImpl,"checkTravelInfo/2[admintravel.service.TravelInfo,admintravel.service.HttpHeaders]",stations,3
/data/admintravel/service/AdminTravelServiceImpl.java,admintravel.service.AdminTravelServiceImpl,"checkTravelInfo/2[admintravel.service.TravelInfo,admintravel.service.HttpHeaders]",info,5
/data/admintravel/service/AdminTravelServiceImpl.java,admintravel.service.AdminTravelServiceImpl,"updateTravel/2[admintravel.service.TravelInfo,admintravel.service.HttpHeaders]",result,3
/data/admintravel/service/AdminTravelServiceImpl.java,admintravel.service.AdminTravelServiceImpl,"updateTravel/2[admintravel.service.TravelInfo,admintravel.service.HttpHeaders]",travel2_service_url,1
/data/admintravel/service/AdminTravelServiceImpl.java,admintravel.service.AdminTravelServiceImpl,"updateTravel/2[admintravel.service.TravelInfo,admintravel.service.HttpHeaders]",request,3
