file,class,method,variable,usage
/data/adminuser/AdminUserApplication.java,adminuser.AdminUserApplication,restTemplate/1[adminuser.RestTemplateBuilder],builder,1
/data/adminuser/AdminUserApplication.java,adminuser.AdminUserApplication,main/1[java.lang.String[]],args,1
/data/adminuser/service/AdminUserService.java,adminuser.service.AdminUserService,getAllUsers/1[adminuser.service.HttpHeaders],headers,0
/data/adminuser/service/AdminUserService.java,adminuser.service.AdminUserService,"deleteUser/2[java.lang.String,adminuser.service.HttpHeaders]",headers,0
/data/adminuser/service/AdminUserService.java,adminuser.service.AdminUserService,"deleteUser/2[java.lang.String,adminuser.service.HttpHeaders]",userId,0
/data/adminuser/service/AdminUserService.java,adminuser.service.AdminUserService,"addUser/2[adminuser.dto.UserDto,adminuser.service.HttpHeaders]",headers,0
/data/adminuser/service/AdminUserService.java,adminuser.service.AdminUserService,"addUser/2[adminuser.dto.UserDto,adminuser.service.HttpHeaders]",userDto,0
/data/adminuser/service/AdminUserService.java,adminuser.service.AdminUserService,"updateUser/2[adminuser.dto.UserDto,adminuser.service.HttpHeaders]",headers,0
/data/adminuser/service/AdminUserService.java,adminuser.service.AdminUserService,"updateUser/2[adminuser.dto.UserDto,adminuser.service.HttpHeaders]",userDto,0
/data/adminuser/controller/AdminUserController.java,adminuser.controller.AdminUserController,home/1[adminuser.controller.HttpHeaders],headers,0
/data/adminuser/controller/AdminUserController.java,adminuser.controller.AdminUserController,getAllUsers/1[adminuser.controller.HttpHeaders],headers,1
/data/adminuser/controller/AdminUserController.java,adminuser.controller.AdminUserController,"addUser/2[adminuser.dto.UserDto,adminuser.controller.HttpHeaders]",headers,1
/data/adminuser/controller/AdminUserController.java,adminuser.controller.AdminUserController,"addUser/2[adminuser.dto.UserDto,adminuser.controller.HttpHeaders]",userDto,2
/data/adminuser/controller/AdminUserController.java,adminuser.controller.AdminUserController,"updateUser/2[adminuser.dto.UserDto,adminuser.controller.HttpHeaders]",headers,1
/data/adminuser/controller/AdminUserController.java,adminuser.controller.AdminUserController,"updateUser/2[adminuser.dto.UserDto,adminuser.controller.HttpHeaders]",userDto,2
/data/adminuser/controller/AdminUserController.java,adminuser.controller.AdminUserController,"deleteUser/2[java.lang.String,adminuser.controller.HttpHeaders]",headers,1
/data/adminuser/controller/AdminUserController.java,adminuser.controller.AdminUserController,"deleteUser/2[java.lang.String,adminuser.controller.HttpHeaders]",userId,2
/data/adminuser/config/SecurityConfig.java,adminuser.config.SecurityConfig$Anonymous1,addCorsMappings/1[adminuser.config.CorsRegistry],registry,1
/data/adminuser/config/SecurityConfig.java,adminuser.config.SecurityConfig,configure/1[adminuser.config.HttpSecurity],httpSecurity,2
/data/adminuser/service/AdminUserServiceImpl.java,adminuser.service.AdminUserServiceImpl,getAllUsers/1[adminuser.service.HttpHeaders],USER_SERVICE_IP_URI,1
