file,class,method,variable,usage
/data/assurance/entity/AssuranceType.java,assurance.entity.AssuranceType,setName/1[java.lang.String],name,3
/data/assurance/entity/AssuranceType.java,assurance.entity.AssuranceType,getPrice/0,price,1
/data/assurance/entity/AssuranceType.java,assurance.entity.AssuranceType,"AssuranceType/3[int,java.lang.String,double]",price,3
/data/assurance/entity/AssuranceType.java,assurance.entity.AssuranceType,"AssuranceType/3[int,java.lang.String,double]",name,3
/data/assurance/entity/AssuranceType.java,assurance.entity.AssuranceType,"AssuranceType/3[int,java.lang.String,double]",index,3
/data/assurance/entity/AssuranceType.java,assurance.entity.AssuranceType,getName/0,name,1
/data/assurance/entity/AssuranceType.java,assurance.entity.AssuranceType,setPrice/1[double],price,3
/data/assurance/entity/AssuranceType.java,assurance.entity.AssuranceType,getIndex/0,index,1
/data/assurance/entity/AssuranceType.java,assurance.entity.AssuranceType,setIndex/1[int],index,3
/data/assurance/entity/AssuranceType.java,assurance.entity.AssuranceType,getTypeByIndex/1[int],index,2
/data/assurance/entity/Assurance.java,assurance.entity.Assurance,Assurance/0,orderId,1
/data/assurance/entity/Assurance.java,assurance.entity.Assurance,"Assurance/3[java.lang.String,java.lang.String,assurance.entity.AssuranceType]",orderId,3
/data/assurance/entity/Assurance.java,assurance.entity.Assurance,"Assurance/3[java.lang.String,java.lang.String,assurance.entity.AssuranceType]",id,3
/data/assurance/entity/Assurance.java,assurance.entity.Assurance,"Assurance/3[java.lang.String,java.lang.String,assurance.entity.AssuranceType]",type,3
/data/assurance/service/AssuranceServiceImpl.java,assurance.service.AssuranceServiceImpl,"deleteById/2[java.util.UUID,assurance.service.HttpHeaders]",assuranceRepository,2
/data/assurance/service/AssuranceServiceImpl.java,assurance.service.AssuranceServiceImpl,"findAssuranceById/2[java.util.UUID,assurance.service.HttpHeaders]",assuranceRepository,1
/data/assurance/service/AssuranceServiceImpl.java,assurance.service.AssuranceServiceImpl,"deleteByOrderId/2[java.util.UUID,assurance.service.HttpHeaders]",assuranceRepository,2
/data/assurance/service/AssuranceServiceImpl.java,assurance.service.AssuranceServiceImpl,"findAssuranceByOrderId/2[java.util.UUID,assurance.service.HttpHeaders]",assuranceRepository,1
/data/assurance/service/AssuranceServiceImpl.java,assurance.service.AssuranceServiceImpl,getAllAssurances/1[assurance.service.HttpHeaders],assuranceRepository,1
/data/assurance/service/AssuranceServiceImpl.java,assurance.service.AssuranceServiceImpl,"modify/4[java.lang.String,java.lang.String,int,assurance.service.HttpHeaders]",assuranceRepository,1
/data/assurance/service/AssuranceServiceImpl.java,assurance.service.AssuranceServiceImpl,"create/3[int,java.lang.String,assurance.service.HttpHeaders]",assuranceRepository,2
/data/assurance/controller/AssuranceController.java,assurance.controller.AssuranceController,getAllAssurances/1[assurance.controller.HttpHeaders],assuranceService,1
/data/assurance/controller/AssuranceController.java,assurance.controller.AssuranceController,"createNewAssurance/3[int,java.lang.String,assurance.controller.HttpHeaders]",assuranceService,1
/data/assurance/controller/AssuranceController.java,assurance.controller.AssuranceController,"deleteAssurance/2[java.lang.String,assurance.controller.HttpHeaders]",assuranceService,1
/data/assurance/controller/AssuranceController.java,assurance.controller.AssuranceController,"modifyAssurance/4[java.lang.String,java.lang.String,int,assurance.controller.HttpHeaders]",assuranceService,1
/data/assurance/controller/AssuranceController.java,assurance.controller.AssuranceController,"findAssuranceByOrderId/2[java.lang.String,assurance.controller.HttpHeaders]",assuranceService,1
/data/assurance/controller/AssuranceController.java,assurance.controller.AssuranceController,"deleteAssuranceByOrderId/2[java.lang.String,assurance.controller.HttpHeaders]",assuranceService,1
/data/assurance/controller/AssuranceController.java,assurance.controller.AssuranceController,getAllAssuranceType/1[assurance.controller.HttpHeaders],assuranceService,1
/data/assurance/controller/AssuranceController.java,assurance.controller.AssuranceController,"getAssuranceById/2[java.lang.String,assurance.controller.HttpHeaders]",assuranceService,1
