file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/data/assurance/entity/AssuranceType.java,assurance.entity.AssuranceType,setName/1[java.lang.String],false,48,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,false
/data/assurance/entity/AssuranceType.java,assurance.entity.AssuranceType,getPrice/0,false,52,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/data/assurance/entity/AssuranceType.java,assurance.entity.AssuranceType,"AssuranceType/3[int,java.lang.String,double]",true,30,0,0,0,0,1,0,5,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,false
/data/assurance/entity/AssuranceType.java,assurance.entity.AssuranceType,getName/0,false,44,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/data/assurance/entity/AssuranceType.java,assurance.entity.AssuranceType,setPrice/1[double],false,56,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,false
/data/assurance/entity/AssuranceType.java,assurance.entity.AssuranceType,getIndex/0,false,36,0,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/data/assurance/entity/AssuranceType.java,assurance.entity.AssuranceType,setIndex/1[int],false,40,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,false
/data/assurance/entity/AssuranceType.java,assurance.entity.AssuranceType,getTypeByIndex/1[int],false,60,1,4,2,2,3,2,9,2,1,1,2,1,1,1,1,0,0,0,0,1,0,2,0,0,0,9,9,0,false
/data/assurance/entity/PlainAssurance.java,assurance.entity.PlainAssurance,PlainAssurance/0,true,27,0,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
/data/assurance/entity/Assurance.java,assurance.entity.Assurance,Assurance/0,true,36,0,0,0,0,1,2,3,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,false
/data/assurance/entity/Assurance.java,assurance.entity.Assurance,"Assurance/3[java.lang.String,java.lang.String,assurance.entity.AssuranceType]",true,40,1,1,1,0,1,0,5,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,1,0,false
/data/assurance/AssuranceApplication.java,assurance.AssuranceApplication,restTemplate/1[assurance.RestTemplateBuilder],false,32,4,0,0,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/data/assurance/AssuranceApplication.java,assurance.AssuranceApplication,main/1[java.lang.String[]],false,26,1,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,false
/data/assurance/config/SecurityConfig.java,assurance.config.SecurityConfig$Anonymous1,addCorsMappings/1[assurance.config.CorsRegistry],false,50,1,0,0,0,1,6,3,0,0,1,6,0,0,0,0,0,0,1,1,0,0,0,0,0,0,8,1,0,false
/data/assurance/service/AssuranceServiceImpl.java,assurance.service.AssuranceServiceImpl,"deleteById/2[java.util.UUID,assurance.service.HttpHeaders]",false,71,4,2,0,2,2,5,12,2,1,2,5,0,0,0,1,0,0,4,2,1,0,1,0,0,0,14,1,2,false
/data/assurance/service/AssuranceServiceImpl.java,assurance.service.AssuranceServiceImpl,"findAssuranceById/2[java.util.UUID,assurance.service.HttpHeaders]",false,29,4,2,1,1,2,4,11,2,1,2,4,0,0,0,1,0,0,4,2,1,0,1,0,0,0,13,1,2,false
/data/assurance/service/AssuranceServiceImpl.java,assurance.service.AssuranceServiceImpl,"deleteByOrderId/2[java.util.UUID,assurance.service.HttpHeaders]",false,84,4,2,0,2,2,5,12,2,1,2,5,0,0,0,1,0,0,4,2,1,0,1,0,0,0,17,1,2,false
/data/assurance/service/AssuranceServiceImpl.java,assurance.service.AssuranceServiceImpl,"findAssuranceByOrderId/2[java.util.UUID,assurance.service.HttpHeaders]",false,41,4,1,0,1,2,4,11,2,1,2,4,0,0,0,1,0,0,4,2,1,0,1,0,0,0,14,1,2,false
/data/assurance/service/AssuranceServiceImpl.java,assurance.service.AssuranceServiceImpl,getAllAssurances/1[assurance.service.HttpHeaders],false,118,5,2,0,2,4,17,21,2,3,1,17,0,0,1,1,0,0,4,2,3,0,2,0,0,0,17,1,2,false
/data/assurance/service/AssuranceServiceImpl.java,assurance.service.AssuranceServiceImpl,getAllAssuranceTypes/1[assurance.service.HttpHeaders],false,140,4,5,0,5,3,12,18,2,2,1,12,0,0,1,0,0,0,4,2,2,0,1,0,0,0,17,1,2,false
/data/assurance/service/AssuranceServiceImpl.java,assurance.service.AssuranceServiceImpl,"modify/4[java.lang.String,java.lang.String,int,assurance.service.HttpHeaders]",false,97,5,2,0,2,3,9,21,3,3,4,9,1,1,0,2,0,1,6,3,3,0,2,0,0,0,15,1,3,false
/data/assurance/service/AssuranceServiceImpl.java,assurance.service.AssuranceServiceImpl,"create/3[int,java.lang.String,assurance.service.HttpHeaders]",false,53,5,3,0,3,3,9,18,3,3,3,9,0,0,0,2,0,0,6,3,3,0,1,0,0,0,14,1,3,false
/data/assurance/repository/AssuranceRepository.java,assurance.repository.AssuranceRepository,findByOrderId/1[java.lang.String],false,25,1,3,3,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,true
/data/assurance/repository/AssuranceRepository.java,assurance.repository.AssuranceRepository,removeAssuranceByOrderId/1[java.lang.String],false,42,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,true
/data/assurance/repository/AssuranceRepository.java,assurance.repository.AssuranceRepository,findAll/0,false,51,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,true
/data/assurance/repository/AssuranceRepository.java,assurance.repository.AssuranceRepository,deleteById/1[java.lang.String],false,33,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,true
/data/assurance/repository/AssuranceRepository.java,assurance.repository.AssuranceRepository,findById/1[java.lang.String],false,17,1,2,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,true
/data/assurance/service/AssuranceService.java,assurance.service.AssuranceService,"findAssuranceById/2[java.util.UUID,assurance.service.HttpHeaders]",false,14,2,1,1,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,true
/data/assurance/service/AssuranceService.java,assurance.service.AssuranceService,"deleteByOrderId/2[java.util.UUID,assurance.service.HttpHeaders]",false,52,3,1,1,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,true
/data/assurance/service/AssuranceService.java,assurance.service.AssuranceService,"modify/4[java.lang.String,java.lang.String,int,assurance.service.HttpHeaders]",false,62,2,1,1,0,1,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,true
