file,class,method,variable,usage
/data/assurance/entity/AssuranceType.java,assurance.entity.AssuranceType,setName/1[java.lang.String],name,2
/data/assurance/entity/AssuranceType.java,assurance.entity.AssuranceType,"AssuranceType/3[int,java.lang.String,double]",price,2
/data/assurance/entity/AssuranceType.java,assurance.entity.AssuranceType,"AssuranceType/3[int,java.lang.String,double]",name,2
/data/assurance/entity/AssuranceType.java,assurance.entity.AssuranceType,"AssuranceType/3[int,java.lang.String,double]",index,2
/data/assurance/entity/AssuranceType.java,assurance.entity.AssuranceType,setPrice/1[double],price,2
/data/assurance/entity/AssuranceType.java,assurance.entity.AssuranceType,setIndex/1[int],index,2
/data/assurance/entity/AssuranceType.java,assurance.entity.AssuranceType,getTypeByIndex/1[int],ats,1
/data/assurance/entity/AssuranceType.java,assurance.entity.AssuranceType,getTypeByIndex/1[int],at,2
/data/assurance/entity/AssuranceType.java,assurance.entity.AssuranceType,getTypeByIndex/1[int],index,1
/data/assurance/entity/Assurance.java,assurance.entity.Assurance,"Assurance/3[java.lang.String,java.lang.String,assurance.entity.AssuranceType]",orderId,2
/data/assurance/entity/Assurance.java,assurance.entity.Assurance,"Assurance/3[java.lang.String,java.lang.String,assurance.entity.AssuranceType]",id,2
/data/assurance/entity/Assurance.java,assurance.entity.Assurance,"Assurance/3[java.lang.String,java.lang.String,assurance.entity.AssuranceType]",type,2
/data/assurance/AssuranceApplication.java,assurance.AssuranceApplication,restTemplate/1[assurance.RestTemplateBuilder],builder,1
/data/assurance/AssuranceApplication.java,assurance.AssuranceApplication,main/1[java.lang.String[]],args,1
/data/assurance/config/SecurityConfig.java,assurance.config.SecurityConfig$Anonymous1,addCorsMappings/1[assurance.config.CorsRegistry],registry,1
/data/assurance/service/AssuranceServiceImpl.java,assurance.service.AssuranceServiceImpl,"deleteById/2[java.util.UUID,assurance.service.HttpHeaders]",headers,0
/data/assurance/service/AssuranceServiceImpl.java,assurance.service.AssuranceServiceImpl,"deleteById/2[java.util.UUID,assurance.service.HttpHeaders]",a,1
/data/assurance/service/AssuranceServiceImpl.java,assurance.service.AssuranceServiceImpl,"deleteById/2[java.util.UUID,assurance.service.HttpHeaders]",assuranceId,5
/data/assurance/service/AssuranceServiceImpl.java,assurance.service.AssuranceServiceImpl,"findAssuranceById/2[java.util.UUID,assurance.service.HttpHeaders]",assurance,2
/data/assurance/service/AssuranceServiceImpl.java,assurance.service.AssuranceServiceImpl,"findAssuranceById/2[java.util.UUID,assurance.service.HttpHeaders]",headers,0
/data/assurance/service/AssuranceServiceImpl.java,assurance.service.AssuranceServiceImpl,"findAssuranceById/2[java.util.UUID,assurance.service.HttpHeaders]",id,3
/data/assurance/service/AssuranceServiceImpl.java,assurance.service.AssuranceServiceImpl,"deleteByOrderId/2[java.util.UUID,assurance.service.HttpHeaders]",headers,0
/data/assurance/service/AssuranceServiceImpl.java,assurance.service.AssuranceServiceImpl,"deleteByOrderId/2[java.util.UUID,assurance.service.HttpHeaders]",isExistAssurace,1
/data/assurance/service/AssuranceServiceImpl.java,assurance.service.AssuranceServiceImpl,"deleteByOrderId/2[java.util.UUID,assurance.service.HttpHeaders]",orderId,5
/data/assurance/service/AssuranceServiceImpl.java,assurance.service.AssuranceServiceImpl,"findAssuranceByOrderId/2[java.util.UUID,assurance.service.HttpHeaders]",assurance,2
/data/assurance/service/AssuranceServiceImpl.java,assurance.service.AssuranceServiceImpl,"findAssuranceByOrderId/2[java.util.UUID,assurance.service.HttpHeaders]",headers,0
/data/assurance/service/AssuranceServiceImpl.java,assurance.service.AssuranceServiceImpl,"findAssuranceByOrderId/2[java.util.UUID,assurance.service.HttpHeaders]",orderId,3
/data/assurance/service/AssuranceServiceImpl.java,assurance.service.AssuranceServiceImpl,getAllAssurances/1[assurance.service.HttpHeaders],result,2
/data/assurance/service/AssuranceServiceImpl.java,assurance.service.AssuranceServiceImpl,getAllAssurances/1[assurance.service.HttpHeaders],headers,0
/data/assurance/service/AssuranceServiceImpl.java,assurance.service.AssuranceServiceImpl,getAllAssurances/1[assurance.service.HttpHeaders],a,5
/data/assurance/service/AssuranceServiceImpl.java,assurance.service.AssuranceServiceImpl,getAllAssurances/1[assurance.service.HttpHeaders],pa,6
/data/assurance/service/AssuranceServiceImpl.java,assurance.service.AssuranceServiceImpl,getAllAssurances/1[assurance.service.HttpHeaders],as,4
/data/assurance/service/AssuranceServiceImpl.java,assurance.service.AssuranceServiceImpl,getAllAssuranceTypes/1[assurance.service.HttpHeaders],headers,0
/data/assurance/service/AssuranceServiceImpl.java,assurance.service.AssuranceServiceImpl,getAllAssuranceTypes/1[assurance.service.HttpHeaders],at,3
/data/assurance/service/AssuranceServiceImpl.java,assurance.service.AssuranceServiceImpl,getAllAssuranceTypes/1[assurance.service.HttpHeaders],atlist,4
