file,class,method,variable,usage
/data/auth/service/impl/TokenServiceImpl.java,auth.service.impl.TokenServiceImpl,"getToken/2[auth.dto.BasicAuthDto,auth.service.impl.HttpHeaders]",authenticationManager,1
/data/auth/service/impl/TokenServiceImpl.java,auth.service.impl.TokenServiceImpl,"getToken/2[auth.dto.BasicAuthDto,auth.service.impl.HttpHeaders]",restTemplate,1
/data/auth/service/impl/TokenServiceImpl.java,auth.service.impl.TokenServiceImpl,"getToken/2[auth.dto.BasicAuthDto,auth.service.impl.HttpHeaders]",LOGGER,3
/data/auth/service/impl/TokenServiceImpl.java,auth.service.impl.TokenServiceImpl,"getToken/2[auth.dto.BasicAuthDto,auth.service.impl.HttpHeaders]",userRepository,1
/data/auth/service/impl/TokenServiceImpl.java,auth.service.impl.TokenServiceImpl,"getToken/2[auth.dto.BasicAuthDto,auth.service.impl.HttpHeaders]",jwtProvider,1
/data/auth/service/impl/UserServiceImpl.java,auth.service.impl.UserServiceImpl,checkUserCreateInfo/1[auth.entity.User],LOGGER,2
/data/auth/service/impl/UserServiceImpl.java,auth.service.impl.UserServiceImpl,getAllUser/1[auth.service.impl.HttpHeaders],userRepository,1
/data/auth/service/impl/UserServiceImpl.java,auth.service.impl.UserServiceImpl,createDefaultAuthUser/1[auth.dto.AuthDto],passwordEncoder,1
/data/auth/service/impl/UserServiceImpl.java,auth.service.impl.UserServiceImpl,createDefaultAuthUser/1[auth.dto.AuthDto],LOGGER,2
/data/auth/service/impl/UserServiceImpl.java,auth.service.impl.UserServiceImpl,createDefaultAuthUser/1[auth.dto.AuthDto],userRepository,1
/data/auth/service/impl/UserServiceImpl.java,auth.service.impl.UserServiceImpl,"deleteByUserId/2[java.lang.String,auth.service.impl.HttpHeaders]",LOGGER,1
/data/auth/service/impl/UserServiceImpl.java,auth.service.impl.UserServiceImpl,"deleteByUserId/2[java.lang.String,auth.service.impl.HttpHeaders]",userRepository,1
/data/auth/entity/User.java,auth.entity.User,getAuthorities/0,roles,1
/data/auth/entity/User.java,auth.entity.User,getUsername/0,username,1
/data/auth/entity/User.java,auth.entity.User,getPassword/0,password,1
/data/auth/security/UserDetailsServiceImpl.java,auth.security.UserDetailsServiceImpl,loadUserByUsername/1[java.lang.String],LOGGER,1
/data/auth/security/UserDetailsServiceImpl.java,auth.security.UserDetailsServiceImpl,loadUserByUsername/1[java.lang.String],userRepository,1
/data/auth/controller/UserController.java,auth.controller.UserController,getAllUser/1[auth.controller.HttpHeaders],logger,1
/data/auth/controller/UserController.java,auth.controller.UserController,getAllUser/1[auth.controller.HttpHeaders],userService,1
/data/auth/controller/UserController.java,auth.controller.UserController,"deleteUserById/2[java.lang.String,auth.controller.HttpHeaders]",logger,1
/data/auth/controller/UserController.java,auth.controller.UserController,"deleteUserById/2[java.lang.String,auth.controller.HttpHeaders]",userService,1
/data/auth/controller/UserController.java,auth.controller.UserController,"getToken/2[auth.dto.BasicAuthDto,auth.controller.HttpHeaders]",tokenService,1
/data/auth/controller/UserController.java,auth.controller.UserController,"getToken/2[auth.dto.BasicAuthDto,auth.controller.HttpHeaders]",logger,2
/data/auth/config/WebSecurityConfig.java,auth.config.WebSecurityConfig,configureAuthentication/1[auth.config.AuthenticationManagerBuilder],userDetailsService,2
/data/auth/security/jwt/JWTProvider.java,auth.security.jwt.JWTProvider,createToken/1[auth.entity.User],secretKey,1
/data/auth/security/jwt/JWTProvider.java,auth.security.jwt.JWTProvider,createToken/1[auth.entity.User],validityInMilliseconds,1
/data/auth/security/jwt/JWTProvider.java,auth.security.jwt.JWTProvider,init/0,secretKey,2
/data/auth/controller/AuthController.java,auth.controller.AuthController,createDefaultUser/1[auth.dto.AuthDto],logger,1
/data/auth/controller/AuthController.java,auth.controller.AuthController,createDefaultUser/1[auth.dto.AuthDto],userService,1
/data/auth/init/InitUser.java,auth.init.InitUser,run/1[java.lang.String[]],passwordEncoder,2
/data/auth/init/InitUser.java,auth.init.InitUser,run/1[java.lang.String[]],userRepository,4
