file,class,method,variable,usage
/data/auth/service/impl/TokenServiceImpl.java,auth.service.impl.TokenServiceImpl,getServiceUrl/1[java.lang.String],serviceName,1
/data/auth/service/impl/TokenServiceImpl.java,auth.service.impl.TokenServiceImpl,"getToken/2[auth.dto.BasicAuthDto,auth.service.impl.HttpHeaders]",headers,1
/data/auth/service/impl/TokenServiceImpl.java,auth.service.impl.TokenServiceImpl,"getToken/2[auth.dto.BasicAuthDto,auth.service.impl.HttpHeaders]",verifyCode,2
/data/auth/service/impl/TokenServiceImpl.java,auth.service.impl.TokenServiceImpl,"getToken/2[auth.dto.BasicAuthDto,auth.service.impl.HttpHeaders]",e,0
/data/auth/service/impl/TokenServiceImpl.java,auth.service.impl.TokenServiceImpl,"getToken/2[auth.dto.BasicAuthDto,auth.service.impl.HttpHeaders]",token,2
/data/auth/service/impl/TokenServiceImpl.java,auth.service.impl.TokenServiceImpl,"getToken/2[auth.dto.BasicAuthDto,auth.service.impl.HttpHeaders]",password,2
/data/auth/service/impl/TokenServiceImpl.java,auth.service.impl.TokenServiceImpl,"getToken/2[auth.dto.BasicAuthDto,auth.service.impl.HttpHeaders]",re,1
/data/auth/service/impl/TokenServiceImpl.java,auth.service.impl.TokenServiceImpl,"getToken/2[auth.dto.BasicAuthDto,auth.service.impl.HttpHeaders]",upat,1
/data/auth/service/impl/TokenServiceImpl.java,auth.service.impl.TokenServiceImpl,"getToken/2[auth.dto.BasicAuthDto,auth.service.impl.HttpHeaders]",verification_code_service_url,1
/data/auth/service/impl/TokenServiceImpl.java,auth.service.impl.TokenServiceImpl,"getToken/2[auth.dto.BasicAuthDto,auth.service.impl.HttpHeaders]",id,1
/data/auth/service/impl/TokenServiceImpl.java,auth.service.impl.TokenServiceImpl,"getToken/2[auth.dto.BasicAuthDto,auth.service.impl.HttpHeaders]",requestEntity,1
/data/auth/service/impl/TokenServiceImpl.java,auth.service.impl.TokenServiceImpl,"getToken/2[auth.dto.BasicAuthDto,auth.service.impl.HttpHeaders]",user,3
/data/auth/service/impl/TokenServiceImpl.java,auth.service.impl.TokenServiceImpl,"getToken/2[auth.dto.BasicAuthDto,auth.service.impl.HttpHeaders]",dto,3
/data/auth/service/impl/TokenServiceImpl.java,auth.service.impl.TokenServiceImpl,"getToken/2[auth.dto.BasicAuthDto,auth.service.impl.HttpHeaders]",username,6
/data/auth/service/TokenService.java,auth.service.TokenService,"getToken/2[auth.dto.BasicAuthDto,auth.service.HttpHeaders]",headers,0
/data/auth/service/TokenService.java,auth.service.TokenService,"getToken/2[auth.dto.BasicAuthDto,auth.service.HttpHeaders]",dto,0
/data/auth/service/impl/UserServiceImpl.java,auth.service.impl.UserServiceImpl,checkUserCreateInfo/1[auth.entity.User],passwordMaxLength,1
/data/auth/service/impl/UserServiceImpl.java,auth.service.impl.UserServiceImpl,checkUserCreateInfo/1[auth.entity.User],user,8
/data/auth/service/impl/UserServiceImpl.java,auth.service.impl.UserServiceImpl,checkUserCreateInfo/1[auth.entity.User],infos,7
/data/auth/service/impl/UserServiceImpl.java,auth.service.impl.UserServiceImpl,getAllUser/1[auth.service.impl.HttpHeaders],headers,0
/data/auth/service/impl/UserServiceImpl.java,auth.service.impl.UserServiceImpl,saveUser/1[auth.entity.User],user,0
/data/auth/service/impl/UserServiceImpl.java,auth.service.impl.UserServiceImpl,createDefaultAuthUser/1[auth.dto.AuthDto],e,1
/data/auth/service/impl/UserServiceImpl.java,auth.service.impl.UserServiceImpl,createDefaultAuthUser/1[auth.dto.AuthDto],user,2
