file,class,method,variable,usage
/data/fdse/microservice/BasicApplication.java,fdse.microservice.BasicApplication,restTemplate/1[fdse.microservice.RestTemplateBuilder],builder,1
/data/fdse/microservice/BasicApplication.java,fdse.microservice.BasicApplication,main/1[java.lang.String[]],args,1
/data/fdse/microservice/controller/BasicController.java,fdse.microservice.controller.BasicController,"queryForTravel/2[fdse.microservice.controller.Travel,fdse.microservice.controller.HttpHeaders]",headers,1
/data/fdse/microservice/controller/BasicController.java,fdse.microservice.controller.BasicController,"queryForTravel/2[fdse.microservice.controller.Travel,fdse.microservice.controller.HttpHeaders]",info,3
/data/fdse/microservice/controller/BasicController.java,fdse.microservice.controller.BasicController,"queryForTravels/2[java.util.List<fdse.microservice.controller.Travel>,fdse.microservice.controller.HttpHeaders]",headers,1
/data/fdse/microservice/controller/BasicController.java,fdse.microservice.controller.BasicController,"queryForTravels/2[java.util.List<fdse.microservice.controller.Travel>,fdse.microservice.controller.HttpHeaders]",infos,2
/data/fdse/microservice/controller/BasicController.java,fdse.microservice.controller.BasicController,"queryForStationId/2[java.lang.String,fdse.microservice.controller.HttpHeaders]",headers,1
/data/fdse/microservice/controller/BasicController.java,fdse.microservice.controller.BasicController,"queryForStationId/2[java.lang.String,fdse.microservice.controller.HttpHeaders]",stationName,2
/data/fdse/microservice/controller/BasicController.java,fdse.microservice.controller.BasicController,home/1[fdse.microservice.controller.HttpHeaders],headers,0
/data/fdse/microservice/config/SecurityConfig.java,fdse.microservice.config.SecurityConfig$Anonymous1,addCorsMappings/1[fdse.microservice.config.CorsRegistry],registry,1
/data/fdse/microservice/service/BasicService.java,fdse.microservice.service.BasicService,"queryForStationId/2[java.lang.String,fdse.microservice.service.HttpHeaders]",headers,0
/data/fdse/microservice/service/BasicService.java,fdse.microservice.service.BasicService,"queryForStationId/2[java.lang.String,fdse.microservice.service.HttpHeaders]",stationName,0
/data/fdse/microservice/service/BasicService.java,fdse.microservice.service.BasicService,"queryForTravel/2[fdse.microservice.service.Travel,fdse.microservice.service.HttpHeaders]",headers,0
/data/fdse/microservice/service/BasicService.java,fdse.microservice.service.BasicService,"queryForTravel/2[fdse.microservice.service.Travel,fdse.microservice.service.HttpHeaders]",info,0
/data/fdse/microservice/service/BasicService.java,fdse.microservice.service.BasicService,"queryForTravels/2[java.util.List<fdse.microservice.service.Travel>,fdse.microservice.service.HttpHeaders]",headers,0
/data/fdse/microservice/service/BasicService.java,fdse.microservice.service.BasicService,"queryForTravels/2[java.util.List<fdse.microservice.service.Travel>,fdse.microservice.service.HttpHeaders]",infos,0
