file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/data/cancel/config/SecurityConfig.java,cancel.config.SecurityConfig$Anonymous1,addCorsMappings/1[cancel.config.CorsRegistry],false,50,1,0,0,0,1,6,3,0,0,1,6,0,0,0,0,0,0,1,1,0,0,0,0,0,0,8,1,0,false
/data/cancel/entity/GetAccountByIdInfo.java,cancel.entity.GetAccountByIdInfo,GetAccountByIdInfo/0,true,13,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/data/cancel/controller/CancelController.java,cancel.controller.CancelController,"calculate/2[java.lang.String,cancel.controller.HttpHeaders]",false,34,7,1,0,1,1,3,4,1,0,2,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,13,1,1,false
/data/cancel/controller/CancelController.java,cancel.controller.CancelController,home/1[cancel.controller.HttpHeaders],false,28,3,0,0,0,1,0,3,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,8,1,0,false
/data/cancel/controller/CancelController.java,cancel.controller.CancelController,"cancelTicket/3[java.lang.String,java.lang.String,cancel.controller.HttpHeaders]",false,42,8,1,0,1,2,5,11,2,0,3,5,0,0,0,0,1,0,5,1,0,0,1,0,0,0,15,1,3,false
/data/cancel/service/CancelService.java,cancel.service.CancelService,"cancelOrder/3[java.lang.String,java.lang.String,cancel.service.HttpHeaders]",false,11,2,1,1,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,true
/data/cancel/service/CancelService.java,cancel.service.CancelService,"calculateRefund/2[java.lang.String,cancel.service.HttpHeaders]",false,22,2,1,1,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,true
/data/cancel/entity/GetAccountByIdResult.java,cancel.entity.GetAccountByIdResult,GetAccountByIdResult/0,true,19,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/data/cancel/CancelApplication.java,cancel.CancelApplication,restTemplate/1[cancel.RestTemplateBuilder],false,32,4,0,0,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/data/cancel/CancelApplication.java,cancel.CancelApplication,main/1[java.lang.String[]],false,26,1,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,false
/data/cancel/service/CancelServiceImpl.java,cancel.service.CancelServiceImpl,"cancelFromOrder/2[cancel.service.Order,cancel.service.HttpHeaders]",false,238,6,3,1,2,1,7,9,1,4,2,7,2,1,0,0,0,0,3,0,4,1,0,0,0,0,21,2,1,false
/data/cancel/service/CancelServiceImpl.java,cancel.service.CancelServiceImpl,"getOrderByIdFromOrderOther/2[java.lang.String,cancel.service.HttpHeaders]",false,322,7,4,2,2,1,5,10,1,4,2,5,2,1,0,0,0,0,3,0,4,1,0,1,0,0,22,2,1,false
/data/cancel/service/CancelServiceImpl.java,cancel.service.CancelServiceImpl,"sendEmail/2[cancel.service.NotifyInfo,cancel.service.HttpHeaders]",false,143,5,2,0,2,1,5,8,1,4,2,5,2,1,0,0,0,0,3,0,4,1,0,0,0,0,22,1,1,false
