file,class,method,variable,usage
/data/edu/fudan/common/entity/Ticket.java,edu.fudan.common.entity.Ticket,"Ticket/3[int,java.lang.String,java.lang.String]",destStation,3
/data/edu/fudan/common/entity/Ticket.java,edu.fudan.common.entity.Ticket,"Ticket/3[int,java.lang.String,java.lang.String]",startStation,3
/data/edu/fudan/common/entity/Ticket.java,edu.fudan.common.entity.Ticket,"Ticket/3[int,java.lang.String,java.lang.String]",seatNo,3
/data/edu/fudan/common/entity/TripAllDetailInfo.java,edu.fudan.common.entity.TripAllDetailInfo,getFrom/0,from,1
/data/edu/fudan/common/entity/TripAllDetailInfo.java,edu.fudan.common.entity.TripAllDetailInfo,getTo/0,to,1
/data/edu/fudan/common/entity/OrderAlterInfo.java,edu.fudan.common.entity.OrderAlterInfo,OrderAlterInfo/0,newOrderInfo,1
/data/edu/fudan/common/entity/TrainType.java,edu.fudan.common.entity.TrainType,"TrainType/3[java.lang.String,int,int]",confortClass,3
/data/edu/fudan/common/entity/TrainType.java,edu.fudan.common.entity.TrainType,"TrainType/3[java.lang.String,int,int]",economyClass,3
/data/edu/fudan/common/entity/TrainType.java,edu.fudan.common.entity.TrainType,"TrainType/3[java.lang.String,int,int]",name,3
/data/edu/fudan/common/entity/TrainType.java,edu.fudan.common.entity.TrainType,"TrainType/4[java.lang.String,int,int,int]",confortClass,3
/data/edu/fudan/common/entity/TrainType.java,edu.fudan.common.entity.TrainType,"TrainType/4[java.lang.String,int,int,int]",economyClass,3
/data/edu/fudan/common/entity/TrainType.java,edu.fudan.common.entity.TrainType,"TrainType/4[java.lang.String,int,int,int]",name,3
/data/edu/fudan/common/entity/TrainType.java,edu.fudan.common.entity.TrainType,"TrainType/4[java.lang.String,int,int,int]",averageSpeed,3
/data/edu/fudan/common/entity/TripInfo.java,edu.fudan.common.entity.TripInfo,getStartPlace/0,startPlace,1
/data/edu/fudan/common/entity/TripInfo.java,edu.fudan.common.entity.TripInfo,getEndPlace/0,endPlace,1
/data/edu/fudan/common/entity/TripInfo.java,edu.fudan.common.entity.TripInfo,TripInfo/0,departureTime,1
/data/edu/fudan/common/entity/TripInfo.java,edu.fudan.common.entity.TripInfo,TripInfo/0,startPlace,1
/data/edu/fudan/common/entity/TripInfo.java,edu.fudan.common.entity.TripInfo,TripInfo/0,endPlace,1
/data/edu/fudan/common/entity/AssuranceType.java,edu.fudan.common.entity.AssuranceType,"AssuranceType/3[int,java.lang.String,double]",price,3
