file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/data/edu/fudan/common/entity/Ticket.java,edu.fudan.common.entity.Ticket,Ticket/0,true,17,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
/data/edu/fudan/common/entity/Ticket.java,edu.fudan.common.entity.Ticket,"Ticket/3[int,java.lang.String,java.lang.String]",true,21,0,0,0,0,1,0,5,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,1,0,false
/data/edu/fudan/common/exception/BaseException.java,edu.fudan.common.exception.BaseException,BaseException/1[java.lang.String],true,7,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/data/edu/fudan/common/exception/BaseException.java,edu.fudan.common.exception.BaseException,"BaseException/2[java.lang.String,java.lang.Throwable]",true,11,0,0,0,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/data/edu/fudan/common/entity/TripAllDetailInfo.java,edu.fudan.common.entity.TripAllDetailInfo,getFrom/0,false,28,1,1,0,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
/data/edu/fudan/common/entity/TripAllDetailInfo.java,edu.fudan.common.entity.TripAllDetailInfo,TripAllDetailInfo/0,true,24,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/data/edu/fudan/common/entity/TripAllDetailInfo.java,edu.fudan.common.entity.TripAllDetailInfo,getTo/0,false,32,1,1,0,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
/data/edu/fudan/common/entity/OrderAlterInfo.java,edu.fudan.common.entity.OrderAlterInfo,OrderAlterInfo/0,true,21,1,1,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
/data/edu/fudan/common/entity/Food.java,edu.fudan.common.entity.Food,Food/0,true,15,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
/data/edu/fudan/common/entity/PriceConfig.java,edu.fudan.common.entity.PriceConfig,PriceConfig/0,true,26,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
