file,class,method,variable,usage
/data/edu/fudan/common/entity/Ticket.java,edu.fudan.common.entity.Ticket,"Ticket/3[int,java.lang.String,java.lang.String]",destStation,2
/data/edu/fudan/common/entity/Ticket.java,edu.fudan.common.entity.Ticket,"Ticket/3[int,java.lang.String,java.lang.String]",startStation,2
/data/edu/fudan/common/entity/Ticket.java,edu.fudan.common.entity.Ticket,"Ticket/3[int,java.lang.String,java.lang.String]",seatNo,2
/data/edu/fudan/common/exception/BaseException.java,edu.fudan.common.exception.BaseException,BaseException/1[java.lang.String],message,1
/data/edu/fudan/common/exception/BaseException.java,edu.fudan.common.exception.BaseException,"BaseException/2[java.lang.String,java.lang.Throwable]",cause,1
/data/edu/fudan/common/exception/BaseException.java,edu.fudan.common.exception.BaseException,"BaseException/2[java.lang.String,java.lang.Throwable]",message,1
/data/edu/fudan/common/entity/TrainType.java,edu.fudan.common.entity.TrainType,"TrainType/3[java.lang.String,int,int]",confortClass,2
/data/edu/fudan/common/entity/TrainType.java,edu.fudan.common.entity.TrainType,"TrainType/3[java.lang.String,int,int]",economyClass,2
/data/edu/fudan/common/entity/TrainType.java,edu.fudan.common.entity.TrainType,"TrainType/3[java.lang.String,int,int]",name,2
/data/edu/fudan/common/entity/TrainType.java,edu.fudan.common.entity.TrainType,"TrainType/4[java.lang.String,int,int,int]",confortClass,2
/data/edu/fudan/common/entity/TrainType.java,edu.fudan.common.entity.TrainType,"TrainType/4[java.lang.String,int,int,int]",economyClass,2
/data/edu/fudan/common/entity/TrainType.java,edu.fudan.common.entity.TrainType,"TrainType/4[java.lang.String,int,int,int]",name,2
/data/edu/fudan/common/entity/TrainType.java,edu.fudan.common.entity.TrainType,"TrainType/4[java.lang.String,int,int,int]",averageSpeed,2
/data/edu/fudan/common/util/JsonUtils.java,edu.fudan.common.util.JsonUtils,object2Map/1[java.lang.Object],result,1
/data/edu/fudan/common/util/JsonUtils.java,edu.fudan.common.util.JsonUtils,object2Map/1[java.lang.Object],obj,1
/data/edu/fudan/common/util/JsonUtils.java,edu.fudan.common.util.JsonUtils,object2Map/1[java.lang.Object],object2Json,2
/data/edu/fudan/common/util/JsonUtils.java,edu.fudan.common.util.JsonUtils,jsonToMap/1[java.lang.String],json,1
/data/edu/fudan/common/util/JsonUtils.java,edu.fudan.common.util.JsonUtils,"json2Object/2[java.lang.String,java.lang.Class<T>]",result,2
/data/edu/fudan/common/util/JsonUtils.java,edu.fudan.common.util.JsonUtils,"json2Object/2[java.lang.String,java.lang.Class<T>]",objectMapper,1
/data/edu/fudan/common/util/JsonUtils.java,edu.fudan.common.util.JsonUtils,"json2Object/2[java.lang.String,java.lang.Class<T>]",e,3
/data/edu/fudan/common/util/JsonUtils.java,edu.fudan.common.util.JsonUtils,"json2Object/2[java.lang.String,java.lang.Class<T>]",json,1
