file,class,method,variable,usage
/data/config/controller/ConfigController.java,config.controller.ConfigController,"createConfig/2[config.entity.Config,config.controller.HttpHeaders]",configService,1
/data/config/controller/ConfigController.java,config.controller.ConfigController,"createConfig/2[config.entity.Config,config.controller.HttpHeaders]",logger,1
/data/config/controller/ConfigController.java,config.controller.ConfigController,queryAll/1[config.controller.HttpHeaders],configService,1
/data/config/controller/ConfigController.java,config.controller.ConfigController,queryAll/1[config.controller.HttpHeaders],logger,1
/data/config/controller/ConfigController.java,config.controller.ConfigController,"retrieve/2[java.lang.String,config.controller.HttpHeaders]",configService,1
/data/config/controller/ConfigController.java,config.controller.ConfigController,"retrieve/2[java.lang.String,config.controller.HttpHeaders]",logger,1
/data/config/controller/ConfigController.java,config.controller.ConfigController,"deleteConfig/2[java.lang.String,config.controller.HttpHeaders]",configService,1
/data/config/controller/ConfigController.java,config.controller.ConfigController,"deleteConfig/2[java.lang.String,config.controller.HttpHeaders]",logger,1
/data/config/controller/ConfigController.java,config.controller.ConfigController,"updateConfig/2[config.entity.Config,config.controller.HttpHeaders]",configService,1
/data/config/controller/ConfigController.java,config.controller.ConfigController,"updateConfig/2[config.entity.Config,config.controller.HttpHeaders]",logger,1
/data/config/entity/Config.java,config.entity.Config,"Config/3[java.lang.String,java.lang.String,java.lang.String]",name,3
/data/config/entity/Config.java,config.entity.Config,"Config/3[java.lang.String,java.lang.String,java.lang.String]",description,3
/data/config/entity/Config.java,config.entity.Config,"Config/3[java.lang.String,java.lang.String,java.lang.String]",value,3
/data/config/entity/Config.java,config.entity.Config,Config/0,name,1
/data/config/entity/Config.java,config.entity.Config,Config/0,value,1
/data/config/SecurityConfig.java,config.SecurityConfig,configure/1[config.HttpSecurity],admin,3
/data/config/service/ConfigServiceImpl.java,config.service.ConfigServiceImpl,"query/2[java.lang.String,config.service.HttpHeaders]",logger,2
/data/config/service/ConfigServiceImpl.java,config.service.ConfigServiceImpl,"query/2[java.lang.String,config.service.HttpHeaders]",repository,1
/data/config/service/ConfigServiceImpl.java,config.service.ConfigServiceImpl,"create/2[config.entity.Config,config.service.HttpHeaders]",logger,2
/data/config/service/ConfigServiceImpl.java,config.service.ConfigServiceImpl,"create/2[config.entity.Config,config.service.HttpHeaders]",repository,2
/data/config/service/ConfigServiceImpl.java,config.service.ConfigServiceImpl,"create/2[config.entity.Config,config.service.HttpHeaders]",config0,2
/data/config/service/ConfigServiceImpl.java,config.service.ConfigServiceImpl,"delete/2[java.lang.String,config.service.HttpHeaders]",logger,2
/data/config/service/ConfigServiceImpl.java,config.service.ConfigServiceImpl,"delete/2[java.lang.String,config.service.HttpHeaders]",repository,2
/data/config/service/ConfigServiceImpl.java,config.service.ConfigServiceImpl,"delete/2[java.lang.String,config.service.HttpHeaders]",config0,1
/data/config/service/ConfigServiceImpl.java,config.service.ConfigServiceImpl,queryAll/1[config.service.HttpHeaders],logger,2
/data/config/service/ConfigServiceImpl.java,config.service.ConfigServiceImpl,queryAll/1[config.service.HttpHeaders],repository,1
/data/config/service/ConfigServiceImpl.java,config.service.ConfigServiceImpl,"update/2[config.entity.Config,config.service.HttpHeaders]",logger,2
/data/config/service/ConfigServiceImpl.java,config.service.ConfigServiceImpl,"update/2[config.entity.Config,config.service.HttpHeaders]",repository,2
/data/config/service/ConfigServiceImpl.java,config.service.ConfigServiceImpl,"update/2[config.entity.Config,config.service.HttpHeaders]",config0,1
/data/config/init/InitData.java,config.init.InitData,run/1[java.lang.String[]],service,1
