file,class,method,variable,usage
/data/config/controller/ConfigController.java,config.controller.ConfigController,"createConfig/2[config.entity.Config,config.controller.HttpHeaders]",headers,1
/data/config/controller/ConfigController.java,config.controller.ConfigController,"createConfig/2[config.entity.Config,config.controller.HttpHeaders]",info,3
/data/config/controller/ConfigController.java,config.controller.ConfigController,home/1[config.controller.HttpHeaders],headers,0
/data/config/controller/ConfigController.java,config.controller.ConfigController,queryAll/1[config.controller.HttpHeaders],headers,1
/data/config/controller/ConfigController.java,config.controller.ConfigController,"retrieve/2[java.lang.String,config.controller.HttpHeaders]",configName,2
/data/config/controller/ConfigController.java,config.controller.ConfigController,"retrieve/2[java.lang.String,config.controller.HttpHeaders]",headers,1
/data/config/controller/ConfigController.java,config.controller.ConfigController,"deleteConfig/2[java.lang.String,config.controller.HttpHeaders]",configName,2
/data/config/controller/ConfigController.java,config.controller.ConfigController,"deleteConfig/2[java.lang.String,config.controller.HttpHeaders]",headers,1
/data/config/controller/ConfigController.java,config.controller.ConfigController,"updateConfig/2[config.entity.Config,config.controller.HttpHeaders]",headers,1
/data/config/controller/ConfigController.java,config.controller.ConfigController,"updateConfig/2[config.entity.Config,config.controller.HttpHeaders]",info,3
/data/config/service/ConfigService.java,config.service.ConfigService,queryAll/1[config.service.HttpHeaders],headers,0
/data/config/service/ConfigService.java,config.service.ConfigService,"create/2[config.entity.Config,config.service.HttpHeaders]",headers,0
/data/config/service/ConfigService.java,config.service.ConfigService,"create/2[config.entity.Config,config.service.HttpHeaders]",info,0
/data/config/service/ConfigService.java,config.service.ConfigService,"update/2[config.entity.Config,config.service.HttpHeaders]",headers,0
/data/config/service/ConfigService.java,config.service.ConfigService,"update/2[config.entity.Config,config.service.HttpHeaders]",info,0
/data/config/service/ConfigService.java,config.service.ConfigService,"query/2[java.lang.String,config.service.HttpHeaders]",headers,0
/data/config/service/ConfigService.java,config.service.ConfigService,"query/2[java.lang.String,config.service.HttpHeaders]",name,0
/data/config/service/ConfigService.java,config.service.ConfigService,"delete/2[java.lang.String,config.service.HttpHeaders]",headers,0
/data/config/service/ConfigService.java,config.service.ConfigService,"delete/2[java.lang.String,config.service.HttpHeaders]",name,0
/data/config/ConfigApplication.java,config.ConfigApplication,restTemplate/1[config.RestTemplateBuilder],builder,1
/data/config/ConfigApplication.java,config.ConfigApplication,main/1[java.lang.String[]],args,1
/data/config/entity/Config.java,config.entity.Config,"Config/3[java.lang.String,java.lang.String,java.lang.String]",name,2
/data/config/entity/Config.java,config.entity.Config,"Config/3[java.lang.String,java.lang.String,java.lang.String]",description,2
/data/config/entity/Config.java,config.entity.Config,"Config/3[java.lang.String,java.lang.String,java.lang.String]",value,2
/data/config/SecurityConfig.java,config.SecurityConfig,configure/1[config.HttpSecurity],httpSecurity,2
/data/config/service/ConfigServiceImpl.java,config.service.ConfigServiceImpl,"query/2[java.lang.String,config.service.HttpHeaders]",headers,0
/data/config/service/ConfigServiceImpl.java,config.service.ConfigServiceImpl,"query/2[java.lang.String,config.service.HttpHeaders]",name,3
/data/config/service/ConfigServiceImpl.java,config.service.ConfigServiceImpl,"query/2[java.lang.String,config.service.HttpHeaders]",config,2
/data/config/service/ConfigServiceImpl.java,config.service.ConfigServiceImpl,"create/2[config.entity.Config,config.service.HttpHeaders]",result,1
/data/config/service/ConfigServiceImpl.java,config.service.ConfigServiceImpl,"create/2[config.entity.Config,config.service.HttpHeaders]",headers,0
/data/config/service/ConfigServiceImpl.java,config.service.ConfigServiceImpl,"create/2[config.entity.Config,config.service.HttpHeaders]",config,2
/data/config/service/ConfigServiceImpl.java,config.service.ConfigServiceImpl,"create/2[config.entity.Config,config.service.HttpHeaders]",info,8
/data/config/service/ConfigServiceImpl.java,config.service.ConfigServiceImpl,"delete/2[java.lang.String,config.service.HttpHeaders]",result,1
/data/config/service/ConfigServiceImpl.java,config.service.ConfigServiceImpl,"delete/2[java.lang.String,config.service.HttpHeaders]",headers,0
/data/config/service/ConfigServiceImpl.java,config.service.ConfigServiceImpl,"delete/2[java.lang.String,config.service.HttpHeaders]",name,5
/data/config/service/ConfigServiceImpl.java,config.service.ConfigServiceImpl,"delete/2[java.lang.String,config.service.HttpHeaders]",config,2
/data/config/service/ConfigServiceImpl.java,config.service.ConfigServiceImpl,queryAll/1[config.service.HttpHeaders],headers,0
/data/config/service/ConfigServiceImpl.java,config.service.ConfigServiceImpl,queryAll/1[config.service.HttpHeaders],configList,3
/data/config/service/ConfigServiceImpl.java,config.service.ConfigServiceImpl,"update/2[config.entity.Config,config.service.HttpHeaders]",result,2
/data/config/service/ConfigServiceImpl.java,config.service.ConfigServiceImpl,"update/2[config.entity.Config,config.service.HttpHeaders]",headers,0
/data/config/service/ConfigServiceImpl.java,config.service.ConfigServiceImpl,"update/2[config.entity.Config,config.service.HttpHeaders]",config,3
/data/config/service/ConfigServiceImpl.java,config.service.ConfigServiceImpl,"update/2[config.entity.Config,config.service.HttpHeaders]",info,6
/data/config/init/InitData.java,config.init.InitData,run/1[java.lang.String[]],args,0
/data/config/init/InitData.java,config.init.InitData,run/1[java.lang.String[]],config,4
/data/config/SecurityConfig.java,config.SecurityConfig$Anonymous1,addCorsMappings/1[config.CorsRegistry],registry,1
/data/config/repository/ConfigRepository.java,config.repository.ConfigRepository,findByName/1[java.lang.String],name,0
/data/config/repository/ConfigRepository.java,config.repository.ConfigRepository,deleteByName/1[java.lang.String],name,0
