file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/data/consignprice/controller/ConsignPriceController.java,consignprice.controller.ConsignPriceController,"getPriceByWeightAndRegion/3[java.lang.String,java.lang.String,consignprice.controller.HttpHeaders]",false,33,6,1,0,1,1,5,4,1,0,3,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,19,1,1,false
/data/consignprice/controller/ConsignPriceController.java,consignprice.controller.ConsignPriceController,home/1[consignprice.controller.HttpHeaders],false,27,3,0,0,0,1,0,3,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,9,1,0,false
/data/consignprice/controller/ConsignPriceController.java,consignprice.controller.ConsignPriceController,"modifyPriceConfig/2[consignprice.entity.ConsignPrice,consignprice.controller.HttpHeaders]",false,53,7,1,0,1,1,3,4,1,0,2,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,11,1,1,false
/data/consignprice/controller/ConsignPriceController.java,consignprice.controller.ConsignPriceController,getPriceInfo/1[consignprice.controller.HttpHeaders],false,40,5,1,0,1,1,3,4,1,0,1,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,11,1,1,false
/data/consignprice/controller/ConsignPriceController.java,consignprice.controller.ConsignPriceController,getPriceConfig/1[consignprice.controller.HttpHeaders],false,46,5,1,0,1,1,3,4,1,0,1,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,11,1,1,false
/data/consignprice/ConsignPriceApplication.java,consignprice.ConsignPriceApplication,main/1[java.lang.String[]],false,32,1,0,0,0,1,2,4,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,9,1,false
/data/consignprice/ConsignPriceApplication.java,consignprice.ConsignPriceApplication,restTemplate/1[consignprice.RestTemplateBuilder],false,39,4,0,0,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/data/consignprice/service/ConsignPriceServiceImpl.java,consignprice.service.ConsignPriceServiceImpl,queryPriceInformation/1[consignprice.service.HttpHeaders],false,44,4,1,0,1,1,8,14,1,2,1,8,0,0,0,0,0,0,5,2,2,0,0,0,0,0,22,1,0,false
/data/consignprice/service/ConsignPriceServiceImpl.java,consignprice.service.ConsignPriceServiceImpl,"getPriceByWeightAndRegion/3[double,boolean,consignprice.service.HttpHeaders]",false,26,4,1,0,1,3,5,18,1,4,3,5,0,0,0,0,0,0,0,3,7,5,2,0,0,0,16,1,0,false
/data/consignprice/service/ConsignPriceServiceImpl.java,consignprice.service.ConsignPriceServiceImpl,getPriceConfig/1[consignprice.service.HttpHeaders],false,80,3,1,0,1,1,1,3,1,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,7,1,0,false
/data/consignprice/service/ConsignPriceServiceImpl.java,consignprice.service.ConsignPriceServiceImpl,"createAndModifyPrice/2[consignprice.entity.ConsignPrice,consignprice.service.HttpHeaders]",false,60,4,2,0,2,2,14,18,1,1,2,14,0,0,0,1,0,0,1,4,2,0,1,0,0,0,11,1,1,false
/data/consignprice/init/InitData.java,consignprice.init.InitData,run/1[java.lang.String[]],false,24,2,2,0,2,1,10,11,0,1,1,10,0,0,0,0,0,0,1,5,1,0,0,0,0,0,8,1,1,false
/data/consignprice/config/SecurityConfig.java,consignprice.config.SecurityConfig$Anonymous1,addCorsMappings/1[consignprice.config.CorsRegistry],false,50,1,0,0,0,1,6,3,0,0,1,6,0,0,0,0,0,0,1,1,0,0,0,0,0,0,8,1,0,false
/data/consignprice/service/ConsignPriceService.java,consignprice.service.ConsignPriceService,"getPriceByWeightAndRegion/3[double,boolean,consignprice.service.HttpHeaders]",false,12,2,1,1,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,true
/data/consignprice/service/ConsignPriceService.java,consignprice.service.ConsignPriceService,queryPriceInformation/1[consignprice.service.HttpHeaders],false,22,2,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,true
/data/consignprice/service/ConsignPriceService.java,consignprice.service.ConsignPriceService,"createAndModifyPrice/2[consignprice.entity.ConsignPrice,consignprice.service.HttpHeaders]",false,30,3,2,2,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,true
/data/consignprice/service/ConsignPriceService.java,consignprice.service.ConsignPriceService,getPriceConfig/1[consignprice.service.HttpHeaders],false,39,2,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,true
/data/consignprice/entity/ConsignPrice.java,consignprice.entity.ConsignPrice,ConsignPrice/0,true,35,0,2,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
/data/consignprice/repository/ConsignPriceConfigRepository.java,consignprice.repository.ConsignPriceConfigRepository,findByIndex/1[int],false,13,1,4,4,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,true
/data/consignprice/config/SecurityConfig.java,consignprice.config.SecurityConfig,passwordEncoder/0,false,34,3,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,true
/data/consignprice/config/SecurityConfig.java,consignprice.config.SecurityConfig,configure/1[consignprice.config.HttpSecurity],false,63,3,0,0,0,1,15,4,0,0,1,15,0,0,0,0,0,0,9,0,0,0,0,0,0,0,18,4,0,false
/data/consignprice/config/SecurityConfig.java,consignprice.config.SecurityConfig,corsConfigurer/0,false,47,4,0,0,0,1,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,43,1,0,true
