file,class,method,variable,usage
/data/consignprice/controller/ConsignPriceController.java,consignprice.controller.ConsignPriceController,"getPriceByWeightAndRegion/3[java.lang.String,java.lang.String,consignprice.controller.HttpHeaders]",headers,1
/data/consignprice/controller/ConsignPriceController.java,consignprice.controller.ConsignPriceController,"getPriceByWeightAndRegion/3[java.lang.String,java.lang.String,consignprice.controller.HttpHeaders]",isWithinRegion,2
/data/consignprice/controller/ConsignPriceController.java,consignprice.controller.ConsignPriceController,"getPriceByWeightAndRegion/3[java.lang.String,java.lang.String,consignprice.controller.HttpHeaders]",weight,2
/data/consignprice/controller/ConsignPriceController.java,consignprice.controller.ConsignPriceController,home/1[consignprice.controller.HttpHeaders],headers,0
/data/consignprice/controller/ConsignPriceController.java,consignprice.controller.ConsignPriceController,"modifyPriceConfig/2[consignprice.entity.ConsignPrice,consignprice.controller.HttpHeaders]",headers,1
/data/consignprice/controller/ConsignPriceController.java,consignprice.controller.ConsignPriceController,"modifyPriceConfig/2[consignprice.entity.ConsignPrice,consignprice.controller.HttpHeaders]",priceConfig,2
/data/consignprice/controller/ConsignPriceController.java,consignprice.controller.ConsignPriceController,getPriceInfo/1[consignprice.controller.HttpHeaders],headers,1
/data/consignprice/controller/ConsignPriceController.java,consignprice.controller.ConsignPriceController,getPriceConfig/1[consignprice.controller.HttpHeaders],headers,1
/data/consignprice/ConsignPriceApplication.java,consignprice.ConsignPriceApplication,main/1[java.lang.String[]],args,1
/data/consignprice/ConsignPriceApplication.java,consignprice.ConsignPriceApplication,restTemplate/1[consignprice.RestTemplateBuilder],builder,1
/data/consignprice/service/ConsignPriceServiceImpl.java,consignprice.service.ConsignPriceServiceImpl,queryPriceInformation/1[consignprice.service.HttpHeaders],headers,0
/data/consignprice/service/ConsignPriceServiceImpl.java,consignprice.service.ConsignPriceServiceImpl,queryPriceInformation/1[consignprice.service.HttpHeaders],price,4
/data/consignprice/service/ConsignPriceServiceImpl.java,consignprice.service.ConsignPriceServiceImpl,queryPriceInformation/1[consignprice.service.HttpHeaders],sb,10
/data/consignprice/service/ConsignPriceServiceImpl.java,consignprice.service.ConsignPriceServiceImpl,"getPriceByWeightAndRegion/3[double,boolean,consignprice.service.HttpHeaders]",headers,0
/data/consignprice/service/ConsignPriceServiceImpl.java,consignprice.service.ConsignPriceServiceImpl,"getPriceByWeightAndRegion/3[double,boolean,consignprice.service.HttpHeaders]",isWithinRegion,1
/data/consignprice/service/ConsignPriceServiceImpl.java,consignprice.service.ConsignPriceServiceImpl,"getPriceByWeightAndRegion/3[double,boolean,consignprice.service.HttpHeaders]",price,4
/data/consignprice/service/ConsignPriceServiceImpl.java,consignprice.service.ConsignPriceServiceImpl,"getPriceByWeightAndRegion/3[double,boolean,consignprice.service.HttpHeaders]",initialPrice,3
/data/consignprice/service/ConsignPriceServiceImpl.java,consignprice.service.ConsignPriceServiceImpl,"getPriceByWeightAndRegion/3[double,boolean,consignprice.service.HttpHeaders]",weight,2
/data/consignprice/service/ConsignPriceServiceImpl.java,consignprice.service.ConsignPriceServiceImpl,"getPriceByWeightAndRegion/3[double,boolean,consignprice.service.HttpHeaders]",priceConfig,5
/data/consignprice/service/ConsignPriceServiceImpl.java,consignprice.service.ConsignPriceServiceImpl,"getPriceByWeightAndRegion/3[double,boolean,consignprice.service.HttpHeaders]",extraWeight,2
/data/consignprice/service/ConsignPriceServiceImpl.java,consignprice.service.ConsignPriceServiceImpl,getPriceConfig/1[consignprice.service.HttpHeaders],headers,0
/data/consignprice/service/ConsignPriceServiceImpl.java,consignprice.service.ConsignPriceServiceImpl,"createAndModifyPrice/2[consignprice.entity.ConsignPrice,consignprice.service.HttpHeaders]",headers,0
/data/consignprice/service/ConsignPriceServiceImpl.java,consignprice.service.ConsignPriceServiceImpl,"createAndModifyPrice/2[consignprice.entity.ConsignPrice,consignprice.service.HttpHeaders]",originalConfig,10
/data/consignprice/service/ConsignPriceServiceImpl.java,consignprice.service.ConsignPriceServiceImpl,"createAndModifyPrice/2[consignprice.entity.ConsignPrice,consignprice.service.HttpHeaders]",config,5
/data/consignprice/init/InitData.java,consignprice.init.InitData,run/1[java.lang.String[]],strings,0
/data/consignprice/init/InitData.java,consignprice.init.InitData,run/1[java.lang.String[]],config,7
/data/consignprice/config/SecurityConfig.java,consignprice.config.SecurityConfig$Anonymous1,addCorsMappings/1[consignprice.config.CorsRegistry],registry,1
/data/consignprice/service/ConsignPriceService.java,consignprice.service.ConsignPriceService,"getPriceByWeightAndRegion/3[double,boolean,consignprice.service.HttpHeaders]",headers,0
/data/consignprice/service/ConsignPriceService.java,consignprice.service.ConsignPriceService,"getPriceByWeightAndRegion/3[double,boolean,consignprice.service.HttpHeaders]",isWithinRegion,0
/data/consignprice/service/ConsignPriceService.java,consignprice.service.ConsignPriceService,"getPriceByWeightAndRegion/3[double,boolean,consignprice.service.HttpHeaders]",weight,0
/data/consignprice/service/ConsignPriceService.java,consignprice.service.ConsignPriceService,queryPriceInformation/1[consignprice.service.HttpHeaders],headers,0
/data/consignprice/service/ConsignPriceService.java,consignprice.service.ConsignPriceService,"createAndModifyPrice/2[consignprice.entity.ConsignPrice,consignprice.service.HttpHeaders]",headers,0
/data/consignprice/service/ConsignPriceService.java,consignprice.service.ConsignPriceService,"createAndModifyPrice/2[consignprice.entity.ConsignPrice,consignprice.service.HttpHeaders]",config,0
/data/consignprice/service/ConsignPriceService.java,consignprice.service.ConsignPriceService,getPriceConfig/1[consignprice.service.HttpHeaders],headers,0
/data/consignprice/repository/ConsignPriceConfigRepository.java,consignprice.repository.ConsignPriceConfigRepository,findByIndex/1[int],index,0
/data/consignprice/config/SecurityConfig.java,consignprice.config.SecurityConfig,configure/1[consignprice.config.HttpSecurity],httpSecurity,2
