file,class,method,variable,usage
/data/consign/controller/ConsignController.java,consign.controller.ConsignController,"insertConsign/2[consign.entity.Consign,consign.controller.HttpHeaders]",service,1
/data/consign/controller/ConsignController.java,consign.controller.ConsignController,"insertConsign/2[consign.entity.Consign,consign.controller.HttpHeaders]",logger,1
/data/consign/controller/ConsignController.java,consign.controller.ConsignController,"findByConsignee/2[java.lang.String,consign.controller.HttpHeaders]",service,1
/data/consign/controller/ConsignController.java,consign.controller.ConsignController,"findByConsignee/2[java.lang.String,consign.controller.HttpHeaders]",logger,1
/data/consign/controller/ConsignController.java,consign.controller.ConsignController,"findByAccountId/2[java.lang.String,consign.controller.HttpHeaders]",service,1
/data/consign/controller/ConsignController.java,consign.controller.ConsignController,"findByAccountId/2[java.lang.String,consign.controller.HttpHeaders]",logger,1
/data/consign/controller/ConsignController.java,consign.controller.ConsignController,"findByOrderId/2[java.lang.String,consign.controller.HttpHeaders]",service,1
/data/consign/controller/ConsignController.java,consign.controller.ConsignController,"findByOrderId/2[java.lang.String,consign.controller.HttpHeaders]",logger,1
/data/consign/controller/ConsignController.java,consign.controller.ConsignController,"updateConsign/2[consign.entity.Consign,consign.controller.HttpHeaders]",service,1
/data/consign/controller/ConsignController.java,consign.controller.ConsignController,"updateConsign/2[consign.entity.Consign,consign.controller.HttpHeaders]",logger,1
/data/consign/service/ConsignServiceImpl.java,consign.service.ConsignServiceImpl,"queryByOrderId/2[java.util.UUID,consign.service.HttpHeaders]",LOGGER,1
/data/consign/service/ConsignServiceImpl.java,consign.service.ConsignServiceImpl,"queryByOrderId/2[java.util.UUID,consign.service.HttpHeaders]",repository,1
/data/consign/service/ConsignServiceImpl.java,consign.service.ConsignServiceImpl,"queryByAccountId/2[java.util.UUID,consign.service.HttpHeaders]",LOGGER,1
/data/consign/service/ConsignServiceImpl.java,consign.service.ConsignServiceImpl,"queryByAccountId/2[java.util.UUID,consign.service.HttpHeaders]",repository,1
/data/consign/service/ConsignServiceImpl.java,consign.service.ConsignServiceImpl,"insertConsignRecord/2[consign.entity.Consign,consign.service.HttpHeaders]",restTemplate,1
/data/consign/service/ConsignServiceImpl.java,consign.service.ConsignServiceImpl,"insertConsignRecord/2[consign.entity.Consign,consign.service.HttpHeaders]",LOGGER,2
/data/consign/service/ConsignServiceImpl.java,consign.service.ConsignServiceImpl,"insertConsignRecord/2[consign.entity.Consign,consign.service.HttpHeaders]",repository,1
/data/consign/service/ConsignServiceImpl.java,consign.service.ConsignServiceImpl,"queryByConsignee/2[java.lang.String,consign.service.HttpHeaders]",LOGGER,1
/data/consign/service/ConsignServiceImpl.java,consign.service.ConsignServiceImpl,"queryByConsignee/2[java.lang.String,consign.service.HttpHeaders]",repository,1
/data/consign/service/ConsignServiceImpl.java,consign.service.ConsignServiceImpl,"updateConsignRecord/2[consign.entity.Consign,consign.service.HttpHeaders]",restTemplate,1
/data/consign/service/ConsignServiceImpl.java,consign.service.ConsignServiceImpl,"updateConsignRecord/2[consign.entity.Consign,consign.service.HttpHeaders]",repository,3
