file,class,method,variable,usage
/data/consign/ConsignApplication.java,consign.ConsignApplication,restTemplate/1[consign.RestTemplateBuilder],builder,1
/data/consign/ConsignApplication.java,consign.ConsignApplication,main/1[java.lang.String[]],args,1
/data/consign/controller/ConsignController.java,consign.controller.ConsignController,"insertConsign/2[consign.entity.Consign,consign.controller.HttpHeaders]",request,2
/data/consign/controller/ConsignController.java,consign.controller.ConsignController,"insertConsign/2[consign.entity.Consign,consign.controller.HttpHeaders]",headers,1
/data/consign/controller/ConsignController.java,consign.controller.ConsignController,"findByConsignee/2[java.lang.String,consign.controller.HttpHeaders]",headers,1
/data/consign/controller/ConsignController.java,consign.controller.ConsignController,"findByConsignee/2[java.lang.String,consign.controller.HttpHeaders]",consignee,2
/data/consign/controller/ConsignController.java,consign.controller.ConsignController,"findByAccountId/2[java.lang.String,consign.controller.HttpHeaders]",headers,1
/data/consign/controller/ConsignController.java,consign.controller.ConsignController,"findByAccountId/2[java.lang.String,consign.controller.HttpHeaders]",newid,1
/data/consign/controller/ConsignController.java,consign.controller.ConsignController,"findByAccountId/2[java.lang.String,consign.controller.HttpHeaders]",id,2
/data/consign/controller/ConsignController.java,consign.controller.ConsignController,home/1[consign.controller.HttpHeaders],headers,0
/data/consign/controller/ConsignController.java,consign.controller.ConsignController,"findByOrderId/2[java.lang.String,consign.controller.HttpHeaders]",headers,1
/data/consign/controller/ConsignController.java,consign.controller.ConsignController,"findByOrderId/2[java.lang.String,consign.controller.HttpHeaders]",newid,1
/data/consign/controller/ConsignController.java,consign.controller.ConsignController,"findByOrderId/2[java.lang.String,consign.controller.HttpHeaders]",id,2
/data/consign/controller/ConsignController.java,consign.controller.ConsignController,"updateConsign/2[consign.entity.Consign,consign.controller.HttpHeaders]",request,2
/data/consign/controller/ConsignController.java,consign.controller.ConsignController,"updateConsign/2[consign.entity.Consign,consign.controller.HttpHeaders]",headers,1
/data/consign/service/ConsignServiceImpl.java,consign.service.ConsignServiceImpl,"queryByOrderId/2[java.util.UUID,consign.service.HttpHeaders]",headers,0
/data/consign/service/ConsignServiceImpl.java,consign.service.ConsignServiceImpl,"queryByOrderId/2[java.util.UUID,consign.service.HttpHeaders]",orderId,2
/data/consign/service/ConsignServiceImpl.java,consign.service.ConsignServiceImpl,"queryByOrderId/2[java.util.UUID,consign.service.HttpHeaders]",consignRecords,2
/data/consign/service/ConsignServiceImpl.java,consign.service.ConsignServiceImpl,"queryByAccountId/2[java.util.UUID,consign.service.HttpHeaders]",accountId,2
/data/consign/service/ConsignServiceImpl.java,consign.service.ConsignServiceImpl,"queryByAccountId/2[java.util.UUID,consign.service.HttpHeaders]",headers,0
/data/consign/service/ConsignServiceImpl.java,consign.service.ConsignServiceImpl,"queryByAccountId/2[java.util.UUID,consign.service.HttpHeaders]",consignRecords,3
/data/consign/service/ConsignServiceImpl.java,consign.service.ConsignServiceImpl,"insertConsignRecord/2[consign.entity.Consign,consign.service.HttpHeaders]",result,3
/data/consign/service/ConsignServiceImpl.java,consign.service.ConsignServiceImpl,"insertConsignRecord/2[consign.entity.Consign,consign.service.HttpHeaders]",headers,1
/data/consign/service/ConsignServiceImpl.java,consign.service.ConsignServiceImpl,"insertConsignRecord/2[consign.entity.Consign,consign.service.HttpHeaders]",consign_price_service_url,1
/data/consign/service/ConsignServiceImpl.java,consign.service.ConsignServiceImpl,"insertConsignRecord/2[consign.entity.Consign,consign.service.HttpHeaders]",re,1
/data/consign/service/ConsignServiceImpl.java,consign.service.ConsignServiceImpl,"insertConsignRecord/2[consign.entity.Consign,consign.service.HttpHeaders]",consignRequest,14
/data/consign/service/ConsignServiceImpl.java,consign.service.ConsignServiceImpl,"insertConsignRecord/2[consign.entity.Consign,consign.service.HttpHeaders]",consignRecord,13
/data/consign/service/ConsignServiceImpl.java,consign.service.ConsignServiceImpl,"insertConsignRecord/2[consign.entity.Consign,consign.service.HttpHeaders]",requestEntity,1
/data/consign/service/ConsignServiceImpl.java,consign.service.ConsignServiceImpl,getServiceUrl/1[java.lang.String],serviceName,1
/data/consign/service/ConsignServiceImpl.java,consign.service.ConsignServiceImpl,"queryByConsignee/2[java.lang.String,consign.service.HttpHeaders]",headers,0
/data/consign/service/ConsignServiceImpl.java,consign.service.ConsignServiceImpl,"queryByConsignee/2[java.lang.String,consign.service.HttpHeaders]",consignee,2
/data/consign/service/ConsignServiceImpl.java,consign.service.ConsignServiceImpl,"queryByConsignee/2[java.lang.String,consign.service.HttpHeaders]",consignRecords,3
