file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/data/contacts/entity/DocumentType.java,contacts.entity.DocumentType,enum,1,3,2,1,6,1,0,3,0,0.375,0.6666667,1.0,4,1,3,0,0,1,4,0,0,0,2,0,0,2,0,0,0,0,1,26,4,1,1,0,0,4,5,3,0,3,2,0,0,0,30,1,0
/data/contacts/service/ContactsService.java,contacts.service.ContactsService,interface,3,6,3,3,7,1,0,0,21,0.0,0.0,0.0,7,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0
/data/contacts/init/InitData.java,contacts.init.InitData,class,6,6,0,6,1,1,0,10,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,4,21,0,0,0,0,0,10,0,2,0,3,0,0,0,0,19,1,0
/data/contacts/config/SecurityConfig.java,contacts.config.SecurityConfig$Anonymous1,anonymous,1,1,0,1,1,1,0,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,8,-1,0
/data/contacts/service/ContactsServiceImpl.java,contacts.service.ContactsServiceImpl,class,9,10,1,9,14,1,0,26,0,0.1904762,1.0,1.0,7,0,7,0,0,0,7,0,0,0,3,1,0,2,0,1,1,0,0,85,13,0,6,0,0,23,13,12,1,12,1,0,0,0,51,1,12
/data/contacts/config/SecurityConfig.java,contacts.config.SecurityConfig,class,13,13,0,13,3,2,0,15,3,0.0,0.0,0.0,3,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,17,2,0,0,0,0,9,0,0,0,0,0,1,0,0,65,1,0
/data/contacts/ContactsApplication.java,contacts.ContactsApplication,class,11,12,1,11,2,1,0,2,1,0.0,0.0,0.0,2,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0
/data/contacts/repository/ContactsRepository.java,contacts.repository.ContactsRepository,interface,4,5,1,4,5,1,0,0,10,0.0,0.0,0.0,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,33,1,0
/data/contacts/entity/Contacts.java,contacts.entity.Contacts,class,11,17,6,11,8,1,0,8,3,0.6666667,0.0,0.0,3,0,3,0,0,0,3,0,0,0,6,0,0,6,0,0,0,0,0,28,5,0,5,0,1,9,4,3,2,8,1,0,0,0,27,1,0
/data/contacts/controller/ContactsController.java,contacts.controller.ContactsController,class,19,20,1,19,8,1,0,14,0,0.1875,0.75,0.75,8,0,8,0,0,0,8,0,0,0,2,1,0,2,0,0,1,0,1,37,8,0,0,0,0,25,0,1,0,2,0,0,0,0,35,1,8
