file,class,method,variable,usage
/data/contacts/entity/DocumentType.java,contacts.entity.DocumentType,getCode/0,code,1
/data/contacts/entity/DocumentType.java,contacts.entity.DocumentType,"DocumentType/2[int,java.lang.String]",code,3
/data/contacts/entity/DocumentType.java,contacts.entity.DocumentType,"DocumentType/2[int,java.lang.String]",name,3
/data/contacts/entity/DocumentType.java,contacts.entity.DocumentType,getName/0,name,1
/data/contacts/entity/DocumentType.java,contacts.entity.DocumentType,getNameByCode/1[int],code,2
/data/contacts/init/InitData.java,contacts.init.InitData,run/1[java.lang.String[]],service,2
/data/contacts/service/ContactsServiceImpl.java,contacts.service.ContactsServiceImpl,"create/2[contacts.entity.Contacts,contacts.service.HttpHeaders]",contactsRepository,2
/data/contacts/service/ContactsServiceImpl.java,contacts.service.ContactsServiceImpl,"findContactsByAccountId/2[java.lang.String,contacts.service.HttpHeaders]",success,1
/data/contacts/service/ContactsServiceImpl.java,contacts.service.ContactsServiceImpl,"findContactsByAccountId/2[java.lang.String,contacts.service.HttpHeaders]",contactsRepository,1
/data/contacts/service/ContactsServiceImpl.java,contacts.service.ContactsServiceImpl,"delete/2[java.lang.String,contacts.service.HttpHeaders]",contactsRepository,2
/data/contacts/service/ContactsServiceImpl.java,contacts.service.ContactsServiceImpl,"modify/2[contacts.entity.Contacts,contacts.service.HttpHeaders]",contactsRepository,1
/data/contacts/service/ContactsServiceImpl.java,contacts.service.ContactsServiceImpl,"modify/2[contacts.entity.Contacts,contacts.service.HttpHeaders]",LOGGER,1
/data/contacts/service/ContactsServiceImpl.java,contacts.service.ContactsServiceImpl,"findContactsById/2[java.lang.String,contacts.service.HttpHeaders]",success,1
/data/contacts/service/ContactsServiceImpl.java,contacts.service.ContactsServiceImpl,"findContactsById/2[java.lang.String,contacts.service.HttpHeaders]",contactsRepository,1
/data/contacts/service/ContactsServiceImpl.java,contacts.service.ContactsServiceImpl,"findContactsById/2[java.lang.String,contacts.service.HttpHeaders]",LOGGER,2
/data/contacts/service/ContactsServiceImpl.java,contacts.service.ContactsServiceImpl,getAllContacts/1[contacts.service.HttpHeaders],success,1
/data/contacts/service/ContactsServiceImpl.java,contacts.service.ContactsServiceImpl,getAllContacts/1[contacts.service.HttpHeaders],contactsRepository,1
/data/contacts/service/ContactsServiceImpl.java,contacts.service.ContactsServiceImpl,getAllContacts/1[contacts.service.HttpHeaders],LOGGER,1
/data/contacts/service/ContactsServiceImpl.java,contacts.service.ContactsServiceImpl,"createContacts/2[contacts.entity.Contacts,contacts.service.HttpHeaders]",contactsRepository,2
/data/contacts/entity/Contacts.java,contacts.entity.Contacts,equals/1[java.lang.Object],accountId,1
/data/contacts/entity/Contacts.java,contacts.entity.Contacts,equals/1[java.lang.Object],phoneNumber,1
/data/contacts/entity/Contacts.java,contacts.entity.Contacts,equals/1[java.lang.Object],documentType,1
/data/contacts/entity/Contacts.java,contacts.entity.Contacts,equals/1[java.lang.Object],documentNumber,1
/data/contacts/entity/Contacts.java,contacts.entity.Contacts,equals/1[java.lang.Object],name,1
/data/contacts/entity/Contacts.java,contacts.entity.Contacts,hashCode/0,id,2
/data/contacts/controller/ContactsController.java,contacts.controller.ContactsController,"modifyContacts/2[contacts.entity.Contacts,contacts.controller.HttpHeaders]",contactsService,1
/data/contacts/controller/ContactsController.java,contacts.controller.ContactsController,"findContactsByAccountId/2[java.lang.String,contacts.controller.HttpHeaders]",contactsService,1
/data/contacts/controller/ContactsController.java,contacts.controller.ContactsController,getAllContacts/1[contacts.controller.HttpHeaders],contactsService,1
/data/contacts/controller/ContactsController.java,contacts.controller.ContactsController,"createNewContactsAdmin/2[contacts.entity.Contacts,contacts.controller.HttpHeaders]",contactsService,1
/data/contacts/controller/ContactsController.java,contacts.controller.ContactsController,"createNewContacts/2[contacts.entity.Contacts,contacts.controller.HttpHeaders]",contactsService,1
/data/contacts/controller/ContactsController.java,contacts.controller.ContactsController,"deleteContacts/2[java.lang.String,contacts.controller.HttpHeaders]",contactsService,1
/data/contacts/controller/ContactsController.java,contacts.controller.ContactsController,"getContactsByContactsId/2[java.lang.String,contacts.controller.HttpHeaders]",contactsService,1
