file,class,method,variable,usage
/data/contacts/entity/DocumentType.java,contacts.entity.DocumentType,"DocumentType/2[int,java.lang.String]",code,2
/data/contacts/entity/DocumentType.java,contacts.entity.DocumentType,"DocumentType/2[int,java.lang.String]",name,2
/data/contacts/entity/DocumentType.java,contacts.entity.DocumentType,getNameByCode/1[int],code,1
/data/contacts/entity/DocumentType.java,contacts.entity.DocumentType,getNameByCode/1[int],documentType,2
/data/contacts/entity/DocumentType.java,contacts.entity.DocumentType,getNameByCode/1[int],documentTypeSet,2
/data/contacts/service/ContactsService.java,contacts.service.ContactsService,getAllContacts/1[contacts.service.HttpHeaders],headers,0
/data/contacts/service/ContactsService.java,contacts.service.ContactsService,"findContactsById/2[java.lang.String,contacts.service.HttpHeaders]",headers,0
/data/contacts/service/ContactsService.java,contacts.service.ContactsService,"findContactsById/2[java.lang.String,contacts.service.HttpHeaders]",id,0
/data/contacts/service/ContactsService.java,contacts.service.ContactsService,"modify/2[contacts.entity.Contacts,contacts.service.HttpHeaders]",headers,0
/data/contacts/service/ContactsService.java,contacts.service.ContactsService,"modify/2[contacts.entity.Contacts,contacts.service.HttpHeaders]",contacts,0
/data/contacts/service/ContactsService.java,contacts.service.ContactsService,"create/2[contacts.entity.Contacts,contacts.service.HttpHeaders]",headers,0
/data/contacts/service/ContactsService.java,contacts.service.ContactsService,"create/2[contacts.entity.Contacts,contacts.service.HttpHeaders]",addContacts,0
/data/contacts/service/ContactsService.java,contacts.service.ContactsService,"delete/2[java.lang.String,contacts.service.HttpHeaders]",headers,0
/data/contacts/service/ContactsService.java,contacts.service.ContactsService,"delete/2[java.lang.String,contacts.service.HttpHeaders]",contactsId,0
/data/contacts/service/ContactsService.java,contacts.service.ContactsService,"createContacts/2[contacts.entity.Contacts,contacts.service.HttpHeaders]",headers,0
/data/contacts/service/ContactsService.java,contacts.service.ContactsService,"createContacts/2[contacts.entity.Contacts,contacts.service.HttpHeaders]",contacts,0
/data/contacts/service/ContactsService.java,contacts.service.ContactsService,"findContactsByAccountId/2[java.lang.String,contacts.service.HttpHeaders]",accountId,0
/data/contacts/service/ContactsService.java,contacts.service.ContactsService,"findContactsByAccountId/2[java.lang.String,contacts.service.HttpHeaders]",headers,0
/data/contacts/init/InitData.java,contacts.init.InitData,run/1[java.lang.String[]],args,0
/data/contacts/init/InitData.java,contacts.init.InitData,run/1[java.lang.String[]],contactsTwo,7
/data/contacts/init/InitData.java,contacts.init.InitData,run/1[java.lang.String[]],contactsOne,7
/data/contacts/config/SecurityConfig.java,contacts.config.SecurityConfig$Anonymous1,addCorsMappings/1[contacts.config.CorsRegistry],registry,1
/data/contacts/service/ContactsServiceImpl.java,contacts.service.ContactsServiceImpl,"create/2[contacts.entity.Contacts,contacts.service.HttpHeaders]",headers,0
/data/contacts/service/ContactsServiceImpl.java,contacts.service.ContactsServiceImpl,"create/2[contacts.entity.Contacts,contacts.service.HttpHeaders]",c,1
/data/contacts/service/ContactsServiceImpl.java,contacts.service.ContactsServiceImpl,"create/2[contacts.entity.Contacts,contacts.service.HttpHeaders]",contacts,1
/data/contacts/service/ContactsServiceImpl.java,contacts.service.ContactsServiceImpl,"create/2[contacts.entity.Contacts,contacts.service.HttpHeaders]",addContacts,5
/data/contacts/service/ContactsServiceImpl.java,contacts.service.ContactsServiceImpl,"findContactsByAccountId/2[java.lang.String,contacts.service.HttpHeaders]",arr,2
/data/contacts/service/ContactsServiceImpl.java,contacts.service.ContactsServiceImpl,"findContactsByAccountId/2[java.lang.String,contacts.service.HttpHeaders]",accountId,1
/data/contacts/service/ContactsServiceImpl.java,contacts.service.ContactsServiceImpl,"findContactsByAccountId/2[java.lang.String,contacts.service.HttpHeaders]",headers,0
/data/contacts/service/ContactsServiceImpl.java,contacts.service.ContactsServiceImpl,"delete/2[java.lang.String,contacts.service.HttpHeaders]",headers,0
/data/contacts/service/ContactsServiceImpl.java,contacts.service.ContactsServiceImpl,"delete/2[java.lang.String,contacts.service.HttpHeaders]",contactsId,5
/data/contacts/service/ContactsServiceImpl.java,contacts.service.ContactsServiceImpl,"delete/2[java.lang.String,contacts.service.HttpHeaders]",contacts,1
/data/contacts/service/ContactsServiceImpl.java,contacts.service.ContactsServiceImpl,"modify/2[contacts.entity.Contacts,contacts.service.HttpHeaders]",oldContactResponse,2
/data/contacts/service/ContactsServiceImpl.java,contacts.service.ContactsServiceImpl,"modify/2[contacts.entity.Contacts,contacts.service.HttpHeaders]",headers,2
/data/contacts/service/ContactsServiceImpl.java,contacts.service.ContactsServiceImpl,"modify/2[contacts.entity.Contacts,contacts.service.HttpHeaders]",oldContacts,7
/data/contacts/service/ContactsServiceImpl.java,contacts.service.ContactsServiceImpl,"modify/2[contacts.entity.Contacts,contacts.service.HttpHeaders]",contacts,6
/data/contacts/service/ContactsServiceImpl.java,contacts.service.ContactsServiceImpl,"findContactsById/2[java.lang.String,contacts.service.HttpHeaders]",headers,0
/data/contacts/service/ContactsServiceImpl.java,contacts.service.ContactsServiceImpl,"findContactsById/2[java.lang.String,contacts.service.HttpHeaders]",id,3
/data/contacts/service/ContactsServiceImpl.java,contacts.service.ContactsServiceImpl,"findContactsById/2[java.lang.String,contacts.service.HttpHeaders]",contacts,2
/data/contacts/service/ContactsServiceImpl.java,contacts.service.ContactsServiceImpl,getAllContacts/1[contacts.service.HttpHeaders],headers,0
/data/contacts/service/ContactsServiceImpl.java,contacts.service.ContactsServiceImpl,getAllContacts/1[contacts.service.HttpHeaders],contacts,3
/data/contacts/service/ContactsServiceImpl.java,contacts.service.ContactsServiceImpl,"createContacts/2[contacts.entity.Contacts,contacts.service.HttpHeaders]",headers,0
/data/contacts/service/ContactsServiceImpl.java,contacts.service.ContactsServiceImpl,"createContacts/2[contacts.entity.Contacts,contacts.service.HttpHeaders]",contactsTemp,2
