file,class,method,variable,usage
/data/execute/serivce/ExecuteService.java,execute.serivce.ExecuteService,"ticketCollect/2[java.lang.String,execute.serivce.HttpHeaders]",headers,0
/data/execute/serivce/ExecuteService.java,execute.serivce.ExecuteService,"ticketCollect/2[java.lang.String,execute.serivce.HttpHeaders]",orderId,0
/data/execute/serivce/ExecuteService.java,execute.serivce.ExecuteService,"ticketExecute/2[java.lang.String,execute.serivce.HttpHeaders]",headers,0
/data/execute/serivce/ExecuteService.java,execute.serivce.ExecuteService,"ticketExecute/2[java.lang.String,execute.serivce.HttpHeaders]",orderId,0
/data/execute/config/SecurityConfig.java,execute.config.SecurityConfig,configure/1[execute.config.HttpSecurity],httpSecurity,2
/data/execute/config/SecurityConfig.java,execute.config.SecurityConfig$Anonymous1,addCorsMappings/1[execute.config.CorsRegistry],registry,1
/data/execute/ExecuteApplication.java,execute.ExecuteApplication,restTemplate/1[execute.RestTemplateBuilder],builder,1
/data/execute/ExecuteApplication.java,execute.ExecuteApplication,main/1[java.lang.String[]],args,1
/data/execute/controller/ExecuteControlller.java,execute.controller.ExecuteControlller,"executeTicket/2[java.lang.String,execute.controller.HttpHeaders]",headers,1
/data/execute/controller/ExecuteControlller.java,execute.controller.ExecuteControlller,"executeTicket/2[java.lang.String,execute.controller.HttpHeaders]",orderId,2
/data/execute/controller/ExecuteControlller.java,execute.controller.ExecuteControlller,home/1[execute.controller.HttpHeaders],headers,0
/data/execute/controller/ExecuteControlller.java,execute.controller.ExecuteControlller,"collectTicket/2[java.lang.String,execute.controller.HttpHeaders]",headers,1
/data/execute/controller/ExecuteControlller.java,execute.controller.ExecuteControlller,"collectTicket/2[java.lang.String,execute.controller.HttpHeaders]",orderId,2
/data/execute/serivce/ExecuteServiceImpl.java,execute.serivce.ExecuteServiceImpl,"executeOrderOther/3[java.lang.String,int,execute.serivce.HttpHeaders]",headers,2
/data/execute/serivce/ExecuteServiceImpl.java,execute.serivce.ExecuteServiceImpl,"executeOrderOther/3[java.lang.String,int,execute.serivce.HttpHeaders]",order_other_service_url,1
/data/execute/serivce/ExecuteServiceImpl.java,execute.serivce.ExecuteServiceImpl,"executeOrderOther/3[java.lang.String,int,execute.serivce.HttpHeaders]",re,1
/data/execute/serivce/ExecuteServiceImpl.java,execute.serivce.ExecuteServiceImpl,"executeOrderOther/3[java.lang.String,int,execute.serivce.HttpHeaders]",orderId,1
/data/execute/serivce/ExecuteServiceImpl.java,execute.serivce.ExecuteServiceImpl,"executeOrderOther/3[java.lang.String,int,execute.serivce.HttpHeaders]",requestEntity,1
/data/execute/serivce/ExecuteServiceImpl.java,execute.serivce.ExecuteServiceImpl,"executeOrderOther/3[java.lang.String,int,execute.serivce.HttpHeaders]",status,1
/data/execute/serivce/ExecuteServiceImpl.java,execute.serivce.ExecuteServiceImpl,"executeOrder/3[java.lang.String,int,execute.serivce.HttpHeaders]",headers,2
/data/execute/serivce/ExecuteServiceImpl.java,execute.serivce.ExecuteServiceImpl,"executeOrder/3[java.lang.String,int,execute.serivce.HttpHeaders]",re,1
/data/execute/serivce/ExecuteServiceImpl.java,execute.serivce.ExecuteServiceImpl,"executeOrder/3[java.lang.String,int,execute.serivce.HttpHeaders]",orderId,1
