file,class,method,variable,usage
/data/food_delivery/FoodDeliveryApplication.java,food_delivery.FoodDeliveryApplication,main/1[java.lang.String[]],args,1
/data/food_delivery/FoodDeliveryApplication.java,food_delivery.FoodDeliveryApplication,restTemplate/1[food_delivery.RestTemplateBuilder],builder,1
/data/food_delivery/repository/FoodDeliveryOrderRepository.java,food_delivery.repository.FoodDeliveryOrderRepository,findByStationFoodStoreId/1[java.lang.String],stationFoodStoreId,0
/data/food_delivery/service/FoodDeliveryService.java,food_delivery.service.FoodDeliveryService,"updateTripId/2[food_delivery.entity.TripOrderInfo,food_delivery.service.HttpHeaders]",headers,0
/data/food_delivery/service/FoodDeliveryService.java,food_delivery.service.FoodDeliveryService,"updateTripId/2[food_delivery.entity.TripOrderInfo,food_delivery.service.HttpHeaders]",tripOrderInfo,0
/data/food_delivery/service/FoodDeliveryService.java,food_delivery.service.FoodDeliveryService,getAllFoodDeliveryOrders/1[food_delivery.service.HttpHeaders],headers,0
/data/food_delivery/service/FoodDeliveryService.java,food_delivery.service.FoodDeliveryService,"getFoodDeliveryOrderById/2[java.lang.String,food_delivery.service.HttpHeaders]",headers,0
/data/food_delivery/service/FoodDeliveryService.java,food_delivery.service.FoodDeliveryService,"getFoodDeliveryOrderById/2[java.lang.String,food_delivery.service.HttpHeaders]",id,0
/data/food_delivery/service/FoodDeliveryService.java,food_delivery.service.FoodDeliveryService,"deleteFoodDeliveryOrder/2[java.lang.String,food_delivery.service.HttpHeaders]",headers,0
/data/food_delivery/service/FoodDeliveryService.java,food_delivery.service.FoodDeliveryService,"deleteFoodDeliveryOrder/2[java.lang.String,food_delivery.service.HttpHeaders]",id,0
/data/food_delivery/service/FoodDeliveryService.java,food_delivery.service.FoodDeliveryService,"getFoodDeliveryOrderByStoreId/2[java.lang.String,food_delivery.service.HttpHeaders]",headers,0
/data/food_delivery/service/FoodDeliveryService.java,food_delivery.service.FoodDeliveryService,"getFoodDeliveryOrderByStoreId/2[java.lang.String,food_delivery.service.HttpHeaders]",storeId,0
/data/food_delivery/service/FoodDeliveryService.java,food_delivery.service.FoodDeliveryService,"updateDeliveryTime/2[food_delivery.entity.DeliveryInfo,food_delivery.service.HttpHeaders]",headers,0
/data/food_delivery/service/FoodDeliveryService.java,food_delivery.service.FoodDeliveryService,"updateDeliveryTime/2[food_delivery.entity.DeliveryInfo,food_delivery.service.HttpHeaders]",deliveryInfo,0
/data/food_delivery/service/FoodDeliveryService.java,food_delivery.service.FoodDeliveryService,"createFoodDeliveryOrder/2[food_delivery.entity.FoodDeliveryOrder,food_delivery.service.HttpHeaders]",headers,0
/data/food_delivery/service/FoodDeliveryService.java,food_delivery.service.FoodDeliveryService,"createFoodDeliveryOrder/2[food_delivery.entity.FoodDeliveryOrder,food_delivery.service.HttpHeaders]",fd,0
/data/food_delivery/service/FoodDeliveryService.java,food_delivery.service.FoodDeliveryService,"updateSeatNo/2[food_delivery.entity.SeatInfo,food_delivery.service.HttpHeaders]",headers,0
/data/food_delivery/service/FoodDeliveryService.java,food_delivery.service.FoodDeliveryService,"updateSeatNo/2[food_delivery.entity.SeatInfo,food_delivery.service.HttpHeaders]",seatInfo,0
/data/food_delivery/config/SecurityConfig.java,food_delivery.config.SecurityConfig,configure/1[food_delivery.config.HttpSecurity],httpSecurity,2
/data/food_delivery/controller/FoodDeliveryController.java,food_delivery.controller.FoodDeliveryController,"getFoodDeliveryOrderByStoreId/2[java.lang.String,food_delivery.controller.HttpHeaders]",headers,1
/data/food_delivery/controller/FoodDeliveryController.java,food_delivery.controller.FoodDeliveryController,"getFoodDeliveryOrderByStoreId/2[java.lang.String,food_delivery.controller.HttpHeaders]",storeId,1
/data/food_delivery/controller/FoodDeliveryController.java,food_delivery.controller.FoodDeliveryController,"deleteFoodDeliveryOrder/2[java.lang.String,food_delivery.controller.HttpHeaders]",headers,1
/data/food_delivery/controller/FoodDeliveryController.java,food_delivery.controller.FoodDeliveryController,"deleteFoodDeliveryOrder/2[java.lang.String,food_delivery.controller.HttpHeaders]",orderId,1
/data/food_delivery/controller/FoodDeliveryController.java,food_delivery.controller.FoodDeliveryController,"updateSeatNo/2[food_delivery.entity.SeatInfo,food_delivery.controller.HttpHeaders]",headers,1
/data/food_delivery/controller/FoodDeliveryController.java,food_delivery.controller.FoodDeliveryController,"updateSeatNo/2[food_delivery.entity.SeatInfo,food_delivery.controller.HttpHeaders]",seatInfo,1
/data/food_delivery/controller/FoodDeliveryController.java,food_delivery.controller.FoodDeliveryController,"updateTripId/2[food_delivery.entity.TripOrderInfo,food_delivery.controller.HttpHeaders]",headers,1
/data/food_delivery/controller/FoodDeliveryController.java,food_delivery.controller.FoodDeliveryController,"updateTripId/2[food_delivery.entity.TripOrderInfo,food_delivery.controller.HttpHeaders]",tripOrderInfo,1
/data/food_delivery/controller/FoodDeliveryController.java,food_delivery.controller.FoodDeliveryController,"createFoodDeliveryOrder/2[food_delivery.entity.FoodDeliveryOrder,food_delivery.controller.HttpHeaders]",headers,1
/data/food_delivery/controller/FoodDeliveryController.java,food_delivery.controller.FoodDeliveryController,"createFoodDeliveryOrder/2[food_delivery.entity.FoodDeliveryOrder,food_delivery.controller.HttpHeaders]",fd,1
/data/food_delivery/controller/FoodDeliveryController.java,food_delivery.controller.FoodDeliveryController,"getFoodDeliveryOrderById/2[java.lang.String,food_delivery.controller.HttpHeaders]",headers,1
/data/food_delivery/controller/FoodDeliveryController.java,food_delivery.controller.FoodDeliveryController,"getFoodDeliveryOrderById/2[java.lang.String,food_delivery.controller.HttpHeaders]",orderId,1
/data/food_delivery/controller/FoodDeliveryController.java,food_delivery.controller.FoodDeliveryController,"updateDeliveryTime/2[food_delivery.entity.DeliveryInfo,food_delivery.controller.HttpHeaders]",headers,1
/data/food_delivery/controller/FoodDeliveryController.java,food_delivery.controller.FoodDeliveryController,"updateDeliveryTime/2[food_delivery.entity.DeliveryInfo,food_delivery.controller.HttpHeaders]",deliveryInfo,1
/data/food_delivery/controller/FoodDeliveryController.java,food_delivery.controller.FoodDeliveryController,getAllFoodDeliveryOrders/1[food_delivery.controller.HttpHeaders],headers,1
/data/food_delivery/config/SecurityConfig.java,food_delivery.config.SecurityConfig$Anonymous1,addCorsMappings/1[food_delivery.config.CorsRegistry],registry,1
/data/food_delivery/service/FoodDeliveryServiceImpl.java,food_delivery.service.FoodDeliveryServiceImpl,"deleteFoodDeliveryOrder/2[java.lang.String,food_delivery.service.HttpHeaders]",headers,0
/data/food_delivery/service/FoodDeliveryServiceImpl.java,food_delivery.service.FoodDeliveryServiceImpl,"deleteFoodDeliveryOrder/2[java.lang.String,food_delivery.service.HttpHeaders]",t,1
/data/food_delivery/service/FoodDeliveryServiceImpl.java,food_delivery.service.FoodDeliveryServiceImpl,"deleteFoodDeliveryOrder/2[java.lang.String,food_delivery.service.HttpHeaders]",id,5
/data/food_delivery/service/FoodDeliveryServiceImpl.java,food_delivery.service.FoodDeliveryServiceImpl,"updateDeliveryTime/2[food_delivery.entity.DeliveryInfo,food_delivery.service.HttpHeaders]",headers,0
/data/food_delivery/service/FoodDeliveryServiceImpl.java,food_delivery.service.FoodDeliveryServiceImpl,"updateDeliveryTime/2[food_delivery.entity.DeliveryInfo,food_delivery.service.HttpHeaders]",deliveryInfo,2
