file,class,method,variable,usage
/data/foodsearch/mq/RabbitSend.java,foodsearch.mq.RabbitSend,send/1[java.lang.String],logger,1
/data/foodsearch/mq/RabbitSend.java,foodsearch.mq.RabbitSend,send/1[java.lang.String],rabbitTemplate,1
/data/foodsearch/controller/FoodController.java,foodsearch.controller.FoodController,findAllFoodOrder/1[foodsearch.controller.HttpHeaders],foodService,1
/data/foodsearch/controller/FoodController.java,foodsearch.controller.FoodController,"createFoodOrder/2[foodsearch.entity.FoodOrder,foodsearch.controller.HttpHeaders]",foodService,1
/data/foodsearch/controller/FoodController.java,foodsearch.controller.FoodController,"getAllFood/5[java.lang.String,java.lang.String,java.lang.String,java.lang.String,foodsearch.controller.HttpHeaders]",foodService,1
/data/foodsearch/controller/FoodController.java,foodsearch.controller.FoodController,"deleteFoodOrder/2[java.lang.String,foodsearch.controller.HttpHeaders]",foodService,1
/data/foodsearch/controller/FoodController.java,foodsearch.controller.FoodController,"createFoodBatches/2[java.util.List<foodsearch.entity.FoodOrder>,foodsearch.controller.HttpHeaders]",foodService,1
/data/foodsearch/controller/FoodController.java,foodsearch.controller.FoodController,"findFoodOrderByOrderId/2[java.lang.String,foodsearch.controller.HttpHeaders]",foodService,1
/data/foodsearch/controller/FoodController.java,foodsearch.controller.FoodController,"updateFoodOrder/2[foodsearch.entity.FoodOrder,foodsearch.controller.HttpHeaders]",foodService,1
/data/foodsearch/controller/FoodController.java,foodsearch.controller.FoodController,test_send_delivery/0,sender,1
/data/foodsearch/config/SecurityConfig.java,foodsearch.config.SecurityConfig,configure/1[foodsearch.config.HttpSecurity],admin,3
/data/foodsearch/service/FoodServiceImpl.java,foodsearch.service.FoodServiceImpl,findAllFoodOrder/1[foodsearch.service.HttpHeaders],success,1
/data/foodsearch/service/FoodServiceImpl.java,foodsearch.service.FoodServiceImpl,findAllFoodOrder/1[foodsearch.service.HttpHeaders],foodOrderRepository,1
/data/foodsearch/service/FoodServiceImpl.java,foodsearch.service.FoodServiceImpl,"findByOrderId/2[java.lang.String,foodsearch.service.HttpHeaders]",success,1
/data/foodsearch/service/FoodServiceImpl.java,foodsearch.service.FoodServiceImpl,"findByOrderId/2[java.lang.String,foodsearch.service.HttpHeaders]",orderIdNotExist,1
/data/foodsearch/service/FoodServiceImpl.java,foodsearch.service.FoodServiceImpl,"findByOrderId/2[java.lang.String,foodsearch.service.HttpHeaders]",foodOrderRepository,1
/data/foodsearch/service/FoodServiceImpl.java,foodsearch.service.FoodServiceImpl,"getAllFood/5[java.lang.String,java.lang.String,java.lang.String,java.lang.String,foodsearch.service.HttpHeaders]",restTemplate,3
/data/foodsearch/service/FoodServiceImpl.java,foodsearch.service.FoodServiceImpl,"updateFoodOrder/2[foodsearch.entity.FoodOrder,foodsearch.service.HttpHeaders]",orderIdNotExist,1
/data/foodsearch/service/FoodServiceImpl.java,foodsearch.service.FoodServiceImpl,"updateFoodOrder/2[foodsearch.entity.FoodOrder,foodsearch.service.HttpHeaders]",foodOrderRepository,2
/data/foodsearch/service/FoodServiceImpl.java,foodsearch.service.FoodServiceImpl,"deleteFoodOrder/2[java.lang.String,foodsearch.service.HttpHeaders]",success,1
/data/foodsearch/service/FoodServiceImpl.java,foodsearch.service.FoodServiceImpl,"deleteFoodOrder/2[java.lang.String,foodsearch.service.HttpHeaders]",orderIdNotExist,1
/data/foodsearch/service/FoodServiceImpl.java,foodsearch.service.FoodServiceImpl,"deleteFoodOrder/2[java.lang.String,foodsearch.service.HttpHeaders]",foodOrderRepository,2
/data/foodsearch/service/FoodServiceImpl.java,foodsearch.service.FoodServiceImpl,"createFoodOrder/2[foodsearch.entity.FoodOrder,foodsearch.service.HttpHeaders]",sender,1
/data/foodsearch/service/FoodServiceImpl.java,foodsearch.service.FoodServiceImpl,"createFoodOrder/2[foodsearch.entity.FoodOrder,foodsearch.service.HttpHeaders]",success,1
/data/foodsearch/service/FoodServiceImpl.java,foodsearch.service.FoodServiceImpl,"createFoodOrder/2[foodsearch.entity.FoodOrder,foodsearch.service.HttpHeaders]",LOGGER,2
/data/foodsearch/service/FoodServiceImpl.java,foodsearch.service.FoodServiceImpl,"createFoodOrder/2[foodsearch.entity.FoodOrder,foodsearch.service.HttpHeaders]",foodOrderRepository,2
/data/foodsearch/service/FoodServiceImpl.java,foodsearch.service.FoodServiceImpl,"createFoodOrdersInBatch/2[java.util.List<foodsearch.entity.FoodOrder>,foodsearch.service.HttpHeaders]",sender,1
/data/foodsearch/service/FoodServiceImpl.java,foodsearch.service.FoodServiceImpl,"createFoodOrdersInBatch/2[java.util.List<foodsearch.entity.FoodOrder>,foodsearch.service.HttpHeaders]",success,1
/data/foodsearch/service/FoodServiceImpl.java,foodsearch.service.FoodServiceImpl,"createFoodOrdersInBatch/2[java.util.List<foodsearch.entity.FoodOrder>,foodsearch.service.HttpHeaders]",LOGGER,4
/data/foodsearch/service/FoodServiceImpl.java,foodsearch.service.FoodServiceImpl,"createFoodOrdersInBatch/2[java.util.List<foodsearch.entity.FoodOrder>,foodsearch.service.HttpHeaders]",foodOrderRepository,2
/data/foodsearch/config/Queues.java,foodsearch.config.Queues,emailQueue/0,queueName,1
