file,class,method,variable,usage
/data/foodsearch/config/SecurityConfig.java,foodsearch.config.SecurityConfig$Anonymous1,addCorsMappings/1[foodsearch.config.CorsRegistry],registry,1
/data/foodsearch/mq/RabbitSend.java,foodsearch.mq.RabbitSend,send/1[java.lang.String],val,2
/data/foodsearch/controller/FoodController.java,foodsearch.controller.FoodController,findAllFoodOrder/1[foodsearch.controller.HttpHeaders],headers,1
/data/foodsearch/controller/FoodController.java,foodsearch.controller.FoodController,"createFoodOrder/2[foodsearch.entity.FoodOrder,foodsearch.controller.HttpHeaders]",headers,1
/data/foodsearch/controller/FoodController.java,foodsearch.controller.FoodController,"createFoodOrder/2[foodsearch.entity.FoodOrder,foodsearch.controller.HttpHeaders]",addFoodOrder,1
/data/foodsearch/controller/FoodController.java,foodsearch.controller.FoodController,"getAllFood/5[java.lang.String,java.lang.String,java.lang.String,java.lang.String,foodsearch.controller.HttpHeaders]",date,1
/data/foodsearch/controller/FoodController.java,foodsearch.controller.FoodController,"getAllFood/5[java.lang.String,java.lang.String,java.lang.String,java.lang.String,foodsearch.controller.HttpHeaders]",headers,1
/data/foodsearch/controller/FoodController.java,foodsearch.controller.FoodController,"getAllFood/5[java.lang.String,java.lang.String,java.lang.String,java.lang.String,foodsearch.controller.HttpHeaders]",endStation,1
/data/foodsearch/controller/FoodController.java,foodsearch.controller.FoodController,"getAllFood/5[java.lang.String,java.lang.String,java.lang.String,java.lang.String,foodsearch.controller.HttpHeaders]",startStation,1
/data/foodsearch/controller/FoodController.java,foodsearch.controller.FoodController,"getAllFood/5[java.lang.String,java.lang.String,java.lang.String,java.lang.String,foodsearch.controller.HttpHeaders]",tripId,1
/data/foodsearch/controller/FoodController.java,foodsearch.controller.FoodController,"deleteFoodOrder/2[java.lang.String,foodsearch.controller.HttpHeaders]",headers,1
/data/foodsearch/controller/FoodController.java,foodsearch.controller.FoodController,"deleteFoodOrder/2[java.lang.String,foodsearch.controller.HttpHeaders]",orderId,1
/data/foodsearch/controller/FoodController.java,foodsearch.controller.FoodController,"createFoodBatches/2[java.util.List<foodsearch.entity.FoodOrder>,foodsearch.controller.HttpHeaders]",headers,1
/data/foodsearch/controller/FoodController.java,foodsearch.controller.FoodController,"createFoodBatches/2[java.util.List<foodsearch.entity.FoodOrder>,foodsearch.controller.HttpHeaders]",foodOrderList,1
/data/foodsearch/controller/FoodController.java,foodsearch.controller.FoodController,"findFoodOrderByOrderId/2[java.lang.String,foodsearch.controller.HttpHeaders]",headers,1
/data/foodsearch/controller/FoodController.java,foodsearch.controller.FoodController,"findFoodOrderByOrderId/2[java.lang.String,foodsearch.controller.HttpHeaders]",orderId,2
/data/foodsearch/controller/FoodController.java,foodsearch.controller.FoodController,"updateFoodOrder/2[foodsearch.entity.FoodOrder,foodsearch.controller.HttpHeaders]",headers,1
/data/foodsearch/controller/FoodController.java,foodsearch.controller.FoodController,"updateFoodOrder/2[foodsearch.entity.FoodOrder,foodsearch.controller.HttpHeaders]",updateFoodOrder,2
/data/foodsearch/controller/FoodController.java,foodsearch.controller.FoodController,test_send_delivery/0,delivery,5
/data/foodsearch/controller/FoodController.java,foodsearch.controller.FoodController,test_send_delivery/0,deliveryJson,1
/data/foodsearch/FoodApplication.java,foodsearch.FoodApplication,restTemplate/1[foodsearch.RestTemplateBuilder],builder,1
/data/foodsearch/FoodApplication.java,foodsearch.FoodApplication,main/1[java.lang.String[]],args,1
/data/foodsearch/config/SecurityConfig.java,foodsearch.config.SecurityConfig,configure/1[foodsearch.config.HttpSecurity],httpSecurity,2
/data/foodsearch/repository/FoodOrderRepository.java,foodsearch.repository.FoodOrderRepository,findById/1[java.lang.String],id,0
/data/foodsearch/repository/FoodOrderRepository.java,foodsearch.repository.FoodOrderRepository,deleteFoodOrderByOrderId/1[java.lang.String],id,0
/data/foodsearch/repository/FoodOrderRepository.java,foodsearch.repository.FoodOrderRepository,deleteById/1[java.util.UUID],id,0
/data/foodsearch/repository/FoodOrderRepository.java,foodsearch.repository.FoodOrderRepository,findByOrderId/1[java.lang.String],orderId,0
/data/foodsearch/service/FoodServiceImpl.java,foodsearch.service.FoodServiceImpl,getServiceUrl/1[java.lang.String],serviceName,1
/data/foodsearch/service/FoodServiceImpl.java,foodsearch.service.FoodServiceImpl,findAllFoodOrder/1[foodsearch.service.HttpHeaders],headers,0
/data/foodsearch/service/FoodServiceImpl.java,foodsearch.service.FoodServiceImpl,findAllFoodOrder/1[foodsearch.service.HttpHeaders],foodOrders,3
/data/foodsearch/service/FoodServiceImpl.java,foodsearch.service.FoodServiceImpl,"findByOrderId/2[java.lang.String,foodsearch.service.HttpHeaders]",headers,0
/data/foodsearch/service/FoodServiceImpl.java,foodsearch.service.FoodServiceImpl,"findByOrderId/2[java.lang.String,foodsearch.service.HttpHeaders]",orderId,3
/data/foodsearch/service/FoodServiceImpl.java,foodsearch.service.FoodServiceImpl,"findByOrderId/2[java.lang.String,foodsearch.service.HttpHeaders]",fo,2
/data/foodsearch/service/FoodServiceImpl.java,foodsearch.service.FoodServiceImpl,"getAllFood/5[java.lang.String,java.lang.String,java.lang.String,java.lang.String,foodsearch.service.HttpHeaders]",date,5
/data/foodsearch/service/FoodServiceImpl.java,foodsearch.service.FoodServiceImpl,"getAllFood/5[java.lang.String,java.lang.String,java.lang.String,java.lang.String,foodsearch.service.HttpHeaders]",allTripFood,5
/data/foodsearch/service/FoodServiceImpl.java,foodsearch.service.FoodServiceImpl,"getAllFood/5[java.lang.String,java.lang.String,java.lang.String,java.lang.String,foodsearch.service.HttpHeaders]",trainFoodListResult,2
/data/foodsearch/service/FoodServiceImpl.java,foodsearch.service.FoodServiceImpl,"getAllFood/5[java.lang.String,java.lang.String,java.lang.String,java.lang.String,foodsearch.service.HttpHeaders]",reFoodStoresListResult,1
/data/foodsearch/service/FoodServiceImpl.java,foodsearch.service.FoodServiceImpl,"getAllFood/5[java.lang.String,java.lang.String,java.lang.String,java.lang.String,foodsearch.service.HttpHeaders]",stationFoodStore,1
/data/foodsearch/service/FoodServiceImpl.java,foodsearch.service.FoodServiceImpl,"getAllFood/5[java.lang.String,java.lang.String,java.lang.String,java.lang.String,foodsearch.service.HttpHeaders]",tripId,9
/data/foodsearch/service/FoodServiceImpl.java,foodsearch.service.FoodServiceImpl,"getAllFood/5[java.lang.String,java.lang.String,java.lang.String,java.lang.String,foodsearch.service.HttpHeaders]",reGetRouteResult,1
/data/foodsearch/service/FoodServiceImpl.java,foodsearch.service.FoodServiceImpl,"getAllFood/5[java.lang.String,java.lang.String,java.lang.String,java.lang.String,foodsearch.service.HttpHeaders]",station_food_service_url,1
/data/foodsearch/service/FoodServiceImpl.java,foodsearch.service.FoodServiceImpl,"getAllFood/5[java.lang.String,java.lang.String,java.lang.String,java.lang.String,foodsearch.service.HttpHeaders]",requestEntityFoodStoresListResult,1
/data/foodsearch/service/FoodServiceImpl.java,foodsearch.service.FoodServiceImpl,"getAllFood/5[java.lang.String,java.lang.String,java.lang.String,java.lang.String,foodsearch.service.HttpHeaders]",station,2
/data/foodsearch/service/FoodServiceImpl.java,foodsearch.service.FoodServiceImpl,"getAllFood/5[java.lang.String,java.lang.String,java.lang.String,java.lang.String,foodsearch.service.HttpHeaders]",startStation,4
/data/foodsearch/service/FoodServiceImpl.java,foodsearch.service.FoodServiceImpl,"getAllFood/5[java.lang.String,java.lang.String,java.lang.String,java.lang.String,foodsearch.service.HttpHeaders]",trainFoodList,2
/data/foodsearch/service/FoodServiceImpl.java,foodsearch.service.FoodServiceImpl,"getAllFood/5[java.lang.String,java.lang.String,java.lang.String,java.lang.String,foodsearch.service.HttpHeaders]",headers,0
/data/foodsearch/service/FoodServiceImpl.java,foodsearch.service.FoodServiceImpl,"getAllFood/5[java.lang.String,java.lang.String,java.lang.String,java.lang.String,foodsearch.service.HttpHeaders]",res,1
/data/foodsearch/service/FoodServiceImpl.java,foodsearch.service.FoodServiceImpl,"getAllFood/5[java.lang.String,java.lang.String,java.lang.String,java.lang.String,foodsearch.service.HttpHeaders]",endStation,4
/data/foodsearch/service/FoodServiceImpl.java,foodsearch.service.FoodServiceImpl,"getAllFood/5[java.lang.String,java.lang.String,java.lang.String,java.lang.String,foodsearch.service.HttpHeaders]",reGetTrainFoodListResult,1
/data/foodsearch/service/FoodServiceImpl.java,foodsearch.service.FoodServiceImpl,"getAllFood/5[java.lang.String,java.lang.String,java.lang.String,java.lang.String,foodsearch.service.HttpHeaders]",requestEntityGetRouteResult,1
/data/foodsearch/service/FoodServiceImpl.java,foodsearch.service.FoodServiceImpl,"getAllFood/5[java.lang.String,java.lang.String,java.lang.String,java.lang.String,foodsearch.service.HttpHeaders]",train_food_service_url,1
/data/foodsearch/service/FoodServiceImpl.java,foodsearch.service.FoodServiceImpl,"getAllFood/5[java.lang.String,java.lang.String,java.lang.String,java.lang.String,foodsearch.service.HttpHeaders]",i,9
/data/foodsearch/service/FoodServiceImpl.java,foodsearch.service.FoodServiceImpl,"getAllFood/5[java.lang.String,java.lang.String,java.lang.String,java.lang.String,foodsearch.service.HttpHeaders]",stations,8
/data/foodsearch/service/FoodServiceImpl.java,foodsearch.service.FoodServiceImpl,"getAllFood/5[java.lang.String,java.lang.String,java.lang.String,java.lang.String,foodsearch.service.HttpHeaders]",stationResult,2
/data/foodsearch/service/FoodServiceImpl.java,foodsearch.service.FoodServiceImpl,"getAllFood/5[java.lang.String,java.lang.String,java.lang.String,java.lang.String,foodsearch.service.HttpHeaders]",travel_service_url,1
/data/foodsearch/service/FoodServiceImpl.java,foodsearch.service.FoodServiceImpl,"getAllFood/5[java.lang.String,java.lang.String,java.lang.String,java.lang.String,foodsearch.service.HttpHeaders]",route,1
