file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/data/inside_payment/service/InsidePaymentService.java,inside_payment.service.InsidePaymentService,interface,5,8,3,5,9,1,0,0,36,0.0,0.0,0.0,9,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1,0
/data/inside_payment/service/InsidePaymentServiceImpl.java,inside_payment.service.InsidePaymentServiceImpl$Anonymous1,anonymous,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
/data/inside_payment/controller/InsidePaymentController.java,inside_payment.controller.InsidePaymentController,class,15,16,1,15,9,1,0,12,0,0.11111111,0.7777778,0.7777778,9,0,9,0,0,0,9,0,0,0,2,1,1,1,0,0,1,0,0,39,9,0,0,0,0,19,0,1,0,2,0,0,0,0,41,1,8
/data/inside_payment/config/SecurityConfig.java,inside_payment.config.SecurityConfig$Anonymous1,anonymous,1,1,0,1,1,1,0,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,8,-1,0
/data/inside_payment/repository/PaymentRepository.java,inside_payment.repository.PaymentRepository,interface,2,4,2,2,4,1,0,0,6,0.0,0.0,0.0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0
/data/inside_payment/entity/PaymentInfo.java,inside_payment.entity.PaymentInfo,class,2,5,3,2,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,4,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,8,1,0
/data/inside_payment/repository/AddMoneyRepository.java,inside_payment.repository.AddMoneyRepository,interface,2,4,2,2,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0
/data/inside_payment/entity/MoneyType.java,inside_payment.entity.MoneyType,enum,1,3,2,1,8,1,0,2,0,0.33333334,0.6,1.0,6,1,3,0,0,3,6,0,0,0,2,0,0,2,0,0,0,0,1,29,4,1,1,0,0,2,2,4,0,2,2,0,0,0,20,1,0
/data/inside_payment/entity/AccountInfo.java,inside_payment.entity.AccountInfo,class,1,5,4,1,1,1,0,0,0,1.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,0,0,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,1,0
/data/inside_payment/entity/Balance.java,inside_payment.entity.Balance,class,3,4,1,3,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,0,0,2,0,0,0,0,0,8,0,0,0,0,0,2,0,2,0,2,0,0,0,0,5,1,0
/data/inside_payment/async/ExecutorConfig.java,inside_payment.async.ExecutorConfig,class,4,4,0,4,2,1,0,6,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,3,0,0,3,0,0,0,0,0,24,2,0,0,0,0,2,3,5,0,5,0,0,0,0,15,1,0
/data/inside_payment/async/AsyncTask.java,inside_payment.async.AsyncTask,class,8,9,1,8,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,1,0,2,0,0,1,0,0,10,1,0,0,0,0,4,0,2,0,3,0,0,0,0,26,1,2
/data/inside_payment/util/CookieUtil.java,inside_payment.util.CookieUtil,class,4,5,1,4,8,1,0,10,6,0.0,0.0,0.0,4,3,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,33,3,1,1,0,0,2,1,4,0,4,2,0,0,0,24,1,0
/data/inside_payment/service/InsidePaymentServiceImpl.java,inside_payment.service.InsidePaymentServiceImpl,class,19,20,1,19,40,1,0,55,0,0.4791667,0.9111111,1.0,12,0,10,2,0,0,10,0,0,0,4,1,3,1,0,0,1,0,0,272,22,9,9,0,0,58,25,85,9,81,3,1,0,0,91,1,12
/data/inside_payment/config/SecurityConfig.java,inside_payment.config.SecurityConfig,class,13,13,0,13,3,2,0,15,3,0.0,0.0,0.0,3,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,17,2,0,0,0,0,9,0,0,0,0,0,1,0,0,67,1,0
/data/inside_payment/entity/Payment.java,inside_payment.entity.Payment,class,11,15,4,11,1,1,0,0,0,0.4,NaN,NaN,1,0,1,0,0,0,1,0,0,0,5,0,0,5,0,0,0,0,0,12,0,0,0,0,0,7,3,3,0,5,0,0,0,0,12,1,0
/data/inside_payment/InsidePaymentApplication.java,inside_payment.InsidePaymentApplication,class,11,12,1,11,2,1,0,2,1,0.0,0.0,0.0,2,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0
/data/inside_payment/init/InitData.java,inside_payment.init.InitData,class,8,8,0,8,1,1,0,8,0,0.6666667,NaN,NaN,1,0,1,0,0,0,1,0,0,0,3,0,0,0,0,3,0,0,0,18,0,0,0,0,0,6,0,2,0,5,0,0,0,0,27,1,0
/data/inside_payment/entity/PaymentType.java,inside_payment.entity.PaymentType,enum,1,3,2,1,8,1,0,2,0,0.33333334,0.6,1.0,6,1,3,0,0,3,6,0,0,0,2,0,0,2,0,0,0,0,1,31,4,1,1,0,0,4,4,4,0,2,2,0,0,0,22,1,0
