file,class,method,variable,usage
/data/inside_payment/controller/InsidePaymentController.java,inside_payment.controller.InsidePaymentController,"addMoney/3[java.lang.String,java.lang.String,inside_payment.controller.HttpHeaders]",service,1
/data/inside_payment/controller/InsidePaymentController.java,inside_payment.controller.InsidePaymentController,"addMoney/3[java.lang.String,java.lang.String,inside_payment.controller.HttpHeaders]",LOGGER,1
/data/inside_payment/controller/InsidePaymentController.java,inside_payment.controller.InsidePaymentController,"createAccount/2[inside_payment.entity.AccountInfo,inside_payment.controller.HttpHeaders]",service,1
/data/inside_payment/controller/InsidePaymentController.java,inside_payment.controller.InsidePaymentController,"createAccount/2[inside_payment.entity.AccountInfo,inside_payment.controller.HttpHeaders]",LOGGER,1
/data/inside_payment/controller/InsidePaymentController.java,inside_payment.controller.InsidePaymentController,"payDifference/2[inside_payment.entity.PaymentInfo,inside_payment.controller.HttpHeaders]",service,1
/data/inside_payment/controller/InsidePaymentController.java,inside_payment.controller.InsidePaymentController,"payDifference/2[inside_payment.entity.PaymentInfo,inside_payment.controller.HttpHeaders]",LOGGER,1
/data/inside_payment/controller/InsidePaymentController.java,inside_payment.controller.InsidePaymentController,"pay/2[inside_payment.entity.PaymentInfo,inside_payment.controller.HttpHeaders]",service,1
/data/inside_payment/controller/InsidePaymentController.java,inside_payment.controller.InsidePaymentController,"drawBack/3[java.lang.String,java.lang.String,inside_payment.controller.HttpHeaders]",service,1
/data/inside_payment/controller/InsidePaymentController.java,inside_payment.controller.InsidePaymentController,"drawBack/3[java.lang.String,java.lang.String,inside_payment.controller.HttpHeaders]",LOGGER,1
/data/inside_payment/controller/InsidePaymentController.java,inside_payment.controller.InsidePaymentController,queryAddMoney/1[inside_payment.controller.HttpHeaders],service,1
/data/inside_payment/controller/InsidePaymentController.java,inside_payment.controller.InsidePaymentController,queryAddMoney/1[inside_payment.controller.HttpHeaders],LOGGER,1
/data/inside_payment/controller/InsidePaymentController.java,inside_payment.controller.InsidePaymentController,queryAccount/1[inside_payment.controller.HttpHeaders],service,1
/data/inside_payment/controller/InsidePaymentController.java,inside_payment.controller.InsidePaymentController,queryAccount/1[inside_payment.controller.HttpHeaders],LOGGER,1
/data/inside_payment/controller/InsidePaymentController.java,inside_payment.controller.InsidePaymentController,queryPayment/1[inside_payment.controller.HttpHeaders],service,1
/data/inside_payment/controller/InsidePaymentController.java,inside_payment.controller.InsidePaymentController,queryPayment/1[inside_payment.controller.HttpHeaders],LOGGER,1
/data/inside_payment/entity/MoneyType.java,inside_payment.entity.MoneyType,"MoneyType/2[java.lang.String,int]",name,3
/data/inside_payment/entity/MoneyType.java,inside_payment.entity.MoneyType,"MoneyType/2[java.lang.String,int]",index,3
/data/inside_payment/entity/MoneyType.java,inside_payment.entity.MoneyType,setIndex/1[int],index,3
/data/inside_payment/entity/MoneyType.java,inside_payment.entity.MoneyType,getName/1[int],index,2
/data/inside_payment/entity/MoneyType.java,inside_payment.entity.MoneyType,setName/1[java.lang.String],name,3
/data/inside_payment/entity/MoneyType.java,inside_payment.entity.MoneyType,getName/0,name,1
/data/inside_payment/entity/MoneyType.java,inside_payment.entity.MoneyType,getIndex/0,index,1
/data/inside_payment/entity/Balance.java,inside_payment.entity.Balance,Balance/0,balance,1
/data/inside_payment/entity/Balance.java,inside_payment.entity.Balance,Balance/0,userId,1
/data/inside_payment/async/ExecutorConfig.java,inside_payment.async.ExecutorConfig,mySimpleAsync/0,corePoolSize,1
/data/inside_payment/async/ExecutorConfig.java,inside_payment.async.ExecutorConfig,mySimpleAsync/0,queueCapacity,1
/data/inside_payment/async/ExecutorConfig.java,inside_payment.async.ExecutorConfig,mySimpleAsync/0,maxPoolSize,1
/data/inside_payment/async/ExecutorConfig.java,inside_payment.async.ExecutorConfig,myAsync/0,corePoolSize,1
/data/inside_payment/async/ExecutorConfig.java,inside_payment.async.ExecutorConfig,myAsync/0,queueCapacity,1
/data/inside_payment/async/ExecutorConfig.java,inside_payment.async.ExecutorConfig,myAsync/0,maxPoolSize,1
/data/inside_payment/async/AsyncTask.java,inside_payment.async.AsyncTask,sendAsyncCallToPaymentService/1[inside_payment.entity.OutsidePaymentInfo],restTemplate,1
/data/inside_payment/service/InsidePaymentServiceImpl.java,inside_payment.service.InsidePaymentServiceImpl,"drawBack/3[java.lang.String,java.lang.String,inside_payment.service.HttpHeaders]",addMoneyRepository,2
/data/inside_payment/service/InsidePaymentServiceImpl.java,inside_payment.service.InsidePaymentServiceImpl,"drawBack/3[java.lang.String,java.lang.String,inside_payment.service.HttpHeaders]",LOGGER,1
/data/inside_payment/service/InsidePaymentServiceImpl.java,inside_payment.service.InsidePaymentServiceImpl,"queryAccount/2[java.lang.String,inside_payment.service.HttpHeaders]",addMoneyRepository,1
/data/inside_payment/service/InsidePaymentServiceImpl.java,inside_payment.service.InsidePaymentServiceImpl,"queryAccount/2[java.lang.String,inside_payment.service.HttpHeaders]",paymentRepository,1
/data/inside_payment/service/InsidePaymentServiceImpl.java,inside_payment.service.InsidePaymentServiceImpl,"pay/2[inside_payment.entity.PaymentInfo,inside_payment.service.HttpHeaders]",addMoneyRepository,1
/data/inside_payment/service/InsidePaymentServiceImpl.java,inside_payment.service.InsidePaymentServiceImpl,"pay/2[inside_payment.entity.PaymentInfo,inside_payment.service.HttpHeaders]",restTemplate,2
/data/inside_payment/service/InsidePaymentServiceImpl.java,inside_payment.service.InsidePaymentServiceImpl,"pay/2[inside_payment.entity.PaymentInfo,inside_payment.service.HttpHeaders]",paymentRepository,3
/data/inside_payment/service/InsidePaymentServiceImpl.java,inside_payment.service.InsidePaymentServiceImpl,"pay/2[inside_payment.entity.PaymentInfo,inside_payment.service.HttpHeaders]",LOGGER,3
/data/inside_payment/service/InsidePaymentServiceImpl.java,inside_payment.service.InsidePaymentServiceImpl,"createAccount/2[inside_payment.entity.AccountInfo,inside_payment.service.HttpHeaders]",addMoneyRepository,2
/data/inside_payment/service/InsidePaymentServiceImpl.java,inside_payment.service.InsidePaymentServiceImpl,"createAccount/2[inside_payment.entity.AccountInfo,inside_payment.service.HttpHeaders]",LOGGER,1
/data/inside_payment/service/InsidePaymentServiceImpl.java,inside_payment.service.InsidePaymentServiceImpl,"payDifference/2[inside_payment.entity.PaymentInfo,inside_payment.service.HttpHeaders]",addMoneyRepository,1
/data/inside_payment/service/InsidePaymentServiceImpl.java,inside_payment.service.InsidePaymentServiceImpl,"payDifference/2[inside_payment.entity.PaymentInfo,inside_payment.service.HttpHeaders]",restTemplate,1
/data/inside_payment/service/InsidePaymentServiceImpl.java,inside_payment.service.InsidePaymentServiceImpl,"payDifference/2[inside_payment.entity.PaymentInfo,inside_payment.service.HttpHeaders]",paymentRepository,3
/data/inside_payment/service/InsidePaymentServiceImpl.java,inside_payment.service.InsidePaymentServiceImpl,"payDifference/2[inside_payment.entity.PaymentInfo,inside_payment.service.HttpHeaders]",LOGGER,1
/data/inside_payment/service/InsidePaymentServiceImpl.java,inside_payment.service.InsidePaymentServiceImpl,"setOrderStatus/3[java.lang.String,java.lang.String,inside_payment.service.HttpHeaders]",restTemplate,2
/data/inside_payment/service/InsidePaymentServiceImpl.java,inside_payment.service.InsidePaymentServiceImpl,queryAccount/1[inside_payment.service.HttpHeaders],addMoneyRepository,1
/data/inside_payment/service/InsidePaymentServiceImpl.java,inside_payment.service.InsidePaymentServiceImpl,queryAccount/1[inside_payment.service.HttpHeaders],paymentRepository,1
/data/inside_payment/service/InsidePaymentServiceImpl.java,inside_payment.service.InsidePaymentServiceImpl,queryAddMoney/1[inside_payment.service.HttpHeaders],addMoneyRepository,1
/data/inside_payment/service/InsidePaymentServiceImpl.java,inside_payment.service.InsidePaymentServiceImpl,queryAddMoney/1[inside_payment.service.HttpHeaders],LOGGER,1
/data/inside_payment/service/InsidePaymentServiceImpl.java,inside_payment.service.InsidePaymentServiceImpl,queryPayment/1[inside_payment.service.HttpHeaders],paymentRepository,1
/data/inside_payment/service/InsidePaymentServiceImpl.java,inside_payment.service.InsidePaymentServiceImpl,queryPayment/1[inside_payment.service.HttpHeaders],LOGGER,1
/data/inside_payment/service/InsidePaymentServiceImpl.java,inside_payment.service.InsidePaymentServiceImpl,"initPayment/2[inside_payment.entity.Payment,inside_payment.service.HttpHeaders]",paymentRepository,2
/data/inside_payment/service/InsidePaymentServiceImpl.java,inside_payment.service.InsidePaymentServiceImpl,"addMoney/3[java.lang.String,java.lang.String,inside_payment.service.HttpHeaders]",addMoneyRepository,2
/data/inside_payment/service/InsidePaymentServiceImpl.java,inside_payment.service.InsidePaymentServiceImpl,"addMoney/3[java.lang.String,java.lang.String,inside_payment.service.HttpHeaders]",LOGGER,1
/data/inside_payment/entity/Payment.java,inside_payment.entity.Payment,Payment/0,orderId,1
/data/inside_payment/entity/Payment.java,inside_payment.entity.Payment,Payment/0,price,1
/data/inside_payment/entity/Payment.java,inside_payment.entity.Payment,Payment/0,userId,1
/data/inside_payment/init/InitData.java,inside_payment.init.InitData,run/1[java.lang.String[]],service,2
/data/inside_payment/entity/PaymentType.java,inside_payment.entity.PaymentType,setName/1[java.lang.String],name,3
/data/inside_payment/entity/PaymentType.java,inside_payment.entity.PaymentType,getName/0,name,1
/data/inside_payment/entity/PaymentType.java,inside_payment.entity.PaymentType,"PaymentType/2[java.lang.String,int]",name,3
/data/inside_payment/entity/PaymentType.java,inside_payment.entity.PaymentType,"PaymentType/2[java.lang.String,int]",index,3
/data/inside_payment/entity/PaymentType.java,inside_payment.entity.PaymentType,getIndex/0,index,1
/data/inside_payment/entity/PaymentType.java,inside_payment.entity.PaymentType,setIndex/1[int],index,3
/data/inside_payment/entity/PaymentType.java,inside_payment.entity.PaymentType,getName/1[int],index,2
/data/inside_payment/entity/Money.java,inside_payment.entity.Money,Money/0,money,1
/data/inside_payment/entity/Money.java,inside_payment.entity.Money,Money/0,userId,1
