file,class,method,variable,usage
/data/inside_payment/service/InsidePaymentService.java,inside_payment.service.InsidePaymentService,queryAccount/1[inside_payment.service.HttpHeaders],headers,0
/data/inside_payment/service/InsidePaymentService.java,inside_payment.service.InsidePaymentService,"pay/2[inside_payment.entity.PaymentInfo,inside_payment.service.HttpHeaders]",headers,0
/data/inside_payment/service/InsidePaymentService.java,inside_payment.service.InsidePaymentService,"pay/2[inside_payment.entity.PaymentInfo,inside_payment.service.HttpHeaders]",info,0
/data/inside_payment/service/InsidePaymentService.java,inside_payment.service.InsidePaymentService,queryAddMoney/1[inside_payment.service.HttpHeaders],headers,0
/data/inside_payment/service/InsidePaymentService.java,inside_payment.service.InsidePaymentService,"payDifference/2[inside_payment.entity.PaymentInfo,inside_payment.service.HttpHeaders]",headers,0
/data/inside_payment/service/InsidePaymentService.java,inside_payment.service.InsidePaymentService,"payDifference/2[inside_payment.entity.PaymentInfo,inside_payment.service.HttpHeaders]",info,0
/data/inside_payment/service/InsidePaymentService.java,inside_payment.service.InsidePaymentService,"initPayment/2[inside_payment.entity.Payment,inside_payment.service.HttpHeaders]",headers,0
/data/inside_payment/service/InsidePaymentService.java,inside_payment.service.InsidePaymentService,"initPayment/2[inside_payment.entity.Payment,inside_payment.service.HttpHeaders]",payment,0
/data/inside_payment/service/InsidePaymentService.java,inside_payment.service.InsidePaymentService,"drawBack/3[java.lang.String,java.lang.String,inside_payment.service.HttpHeaders]",headers,0
/data/inside_payment/service/InsidePaymentService.java,inside_payment.service.InsidePaymentService,"drawBack/3[java.lang.String,java.lang.String,inside_payment.service.HttpHeaders]",money,0
/data/inside_payment/service/InsidePaymentService.java,inside_payment.service.InsidePaymentService,"drawBack/3[java.lang.String,java.lang.String,inside_payment.service.HttpHeaders]",userId,0
/data/inside_payment/service/InsidePaymentService.java,inside_payment.service.InsidePaymentService,queryPayment/1[inside_payment.service.HttpHeaders],headers,0
/data/inside_payment/service/InsidePaymentService.java,inside_payment.service.InsidePaymentService,"addMoney/3[java.lang.String,java.lang.String,inside_payment.service.HttpHeaders]",headers,0
/data/inside_payment/service/InsidePaymentService.java,inside_payment.service.InsidePaymentService,"addMoney/3[java.lang.String,java.lang.String,inside_payment.service.HttpHeaders]",money,0
/data/inside_payment/service/InsidePaymentService.java,inside_payment.service.InsidePaymentService,"addMoney/3[java.lang.String,java.lang.String,inside_payment.service.HttpHeaders]",userId,0
/data/inside_payment/service/InsidePaymentService.java,inside_payment.service.InsidePaymentService,"createAccount/2[inside_payment.entity.AccountInfo,inside_payment.service.HttpHeaders]",headers,0
/data/inside_payment/service/InsidePaymentService.java,inside_payment.service.InsidePaymentService,"createAccount/2[inside_payment.entity.AccountInfo,inside_payment.service.HttpHeaders]",info,0
/data/inside_payment/controller/InsidePaymentController.java,inside_payment.controller.InsidePaymentController,"addMoney/3[java.lang.String,java.lang.String,inside_payment.controller.HttpHeaders]",headers,1
/data/inside_payment/controller/InsidePaymentController.java,inside_payment.controller.InsidePaymentController,"addMoney/3[java.lang.String,java.lang.String,inside_payment.controller.HttpHeaders]",money,2
/data/inside_payment/controller/InsidePaymentController.java,inside_payment.controller.InsidePaymentController,"addMoney/3[java.lang.String,java.lang.String,inside_payment.controller.HttpHeaders]",userId,2
/data/inside_payment/controller/InsidePaymentController.java,inside_payment.controller.InsidePaymentController,"createAccount/2[inside_payment.entity.AccountInfo,inside_payment.controller.HttpHeaders]",headers,1
/data/inside_payment/controller/InsidePaymentController.java,inside_payment.controller.InsidePaymentController,"createAccount/2[inside_payment.entity.AccountInfo,inside_payment.controller.HttpHeaders]",info,3
