file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/data/notification/config/EmailConfig.java,notification.config.EmailConfig,class,4,4,0,4,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,1,0
/data/notification/config/Queues.java,notification.config.Queues,class,3,3,0,3,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,6,1,0,0,0,0,1,0,1,0,1,0,0,0,0,5,1,0
/data/notification/config/EmailProperties.java,notification.config.EmailProperties,class,2,3,1,2,8,1,0,0,20,0.75,0.14285715,0.14285715,8,0,8,0,0,0,8,0,0,0,4,0,0,4,0,0,0,0,0,30,4,0,0,0,0,1,0,4,0,4,0,0,0,0,13,1,0
/data/notification/controller/NotificationController.java,notification.controller.NotificationController,class,12,12,0,12,7,1,0,15,1,0.6666667,0.47619048,0.47619048,7,0,7,0,0,0,7,0,0,0,3,0,0,0,0,3,0,0,0,39,7,0,0,0,0,20,0,1,0,4,0,0,0,0,37,1,0
/data/notification/service/MailService.java,notification.service.MailService,class,9,11,2,9,1,1,0,14,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,0,0,2,0,0,0,0,0,16,0,0,0,0,0,2,0,4,0,6,0,0,0,0,21,1,0
/data/notification/service/NotificationService.java,notification.service.NotificationService,interface,2,4,2,2,4,1,0,0,6,0.0,0.0,0.0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,0
/data/notification/NotificationApplication.java,notification.NotificationApplication,class,8,9,1,8,2,1,0,2,1,0.0,0.0,0.0,2,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0
/data/notification/service/NotificationServiceImpl.java,notification.service.NotificationServiceImpl,class,10,11,1,10,8,1,0,19,0,0.225,1.0,1.0,4,0,4,0,0,0,4,0,0,0,10,1,0,2,0,8,1,0,0,102,8,0,0,4,0,26,0,16,0,18,1,0,0,0,39,1,4
/data/notification/mq/RabbitReceive.java,notification.mq.RabbitReceive,class,11,12,1,11,3,1,0,26,0,0.07692308,NaN,NaN,1,0,1,0,0,0,1,0,0,0,13,1,0,3,0,10,1,0,1,49,1,0,1,1,0,16,0,12,0,16,1,0,0,0,40,1,5
/data/notification/config/SecurityConfig.java,notification.config.SecurityConfig$Anonymous1,anonymous,1,1,0,1,1,1,0,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,8,-1,0
/data/notification/config/SecurityConfig.java,notification.config.SecurityConfig,class,13,13,0,13,3,2,0,14,3,0.0,0.0,0.0,3,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,17,2,0,0,0,0,7,0,0,0,0,0,1,0,0,65,1,0
/data/notification/entity/NotifyInfo.java,notification.entity.NotifyInfo,class,7,12,5,7,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,12,0,0,12,0,0,0,0,0,16,0,0,0,0,0,2,1,0,0,12,0,0,0,0,24,1,0
/data/notification/mq/RabbitSend.java,notification.mq.RabbitSend,class,5,7,2,5,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,1,0,2,0,0,1,0,0,8,0,0,0,0,0,1,0,1,1,2,0,0,0,0,9,1,1
/data/notification/entity/Mail.java,notification.entity.Mail,class,1,4,3,1,1,1,0,0,0,0.8888889,NaN,NaN,1,0,1,0,0,0,1,0,0,0,9,0,0,9,0,0,0,0,0,14,0,0,0,0,0,1,0,1,0,9,0,0,0,0,13,1,0
/data/notification/repository/NotifyRepository.java,notification.repository.NotifyRepository,interface,3,4,1,3,3,1,0,0,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
