file,class,method,variable,usage
/data/notification/config/Queues.java,notification.config.Queues,emailQueue/0,queueName,1
/data/notification/config/EmailProperties.java,notification.config.EmailProperties,setPort/1[java.lang.String],port,3
/data/notification/config/EmailProperties.java,notification.config.EmailProperties,getHost/0,host,1
/data/notification/config/EmailProperties.java,notification.config.EmailProperties,setHost/1[java.lang.String],host,3
/data/notification/config/EmailProperties.java,notification.config.EmailProperties,setUsername/1[java.lang.String],username,3
/data/notification/config/EmailProperties.java,notification.config.EmailProperties,getPort/0,port,1
/data/notification/config/EmailProperties.java,notification.config.EmailProperties,setPassword/1[java.lang.String],password,3
/data/notification/config/EmailProperties.java,notification.config.EmailProperties,getUsername/0,username,1
/data/notification/config/EmailProperties.java,notification.config.EmailProperties,getPassword/0,password,1
/data/notification/controller/NotificationController.java,notification.controller.NotificationController,"order_changed_success/2[notification.entity.NotifyInfo,notification.controller.HttpHeaders]",service,1
/data/notification/controller/NotificationController.java,notification.controller.NotificationController,test_send/0,sender,1
/data/notification/controller/NotificationController.java,notification.controller.NotificationController,"preserve_success/2[notification.entity.NotifyInfo,notification.controller.HttpHeaders]",service,1
/data/notification/controller/NotificationController.java,notification.controller.NotificationController,test_send_mail/0,test_mail_user,1
/data/notification/controller/NotificationController.java,notification.controller.NotificationController,test_send_mail/0,service,1
/data/notification/controller/NotificationController.java,notification.controller.NotificationController,"order_create_success/2[notification.entity.NotifyInfo,notification.controller.HttpHeaders]",service,1
/data/notification/controller/NotificationController.java,notification.controller.NotificationController,"order_cancel_success/2[notification.entity.NotifyInfo,notification.controller.HttpHeaders]",service,1
/data/notification/service/MailService.java,notification.service.MailService,"sendEmail/2[notification.entity.Mail,java.lang.String]",sender,2
/data/notification/service/MailService.java,notification.service.MailService,"sendEmail/2[notification.entity.Mail,java.lang.String]",freemarkerConfig,2
/data/notification/service/NotificationServiceImpl.java,notification.service.NotificationServiceImpl,"preserveSuccess/2[notification.entity.NotifyInfo,notification.service.HttpHeaders]",startPlace,1
/data/notification/service/NotificationServiceImpl.java,notification.service.NotificationServiceImpl,"preserveSuccess/2[notification.entity.NotifyInfo,notification.service.HttpHeaders]",seatClass,1
/data/notification/service/NotificationServiceImpl.java,notification.service.NotificationServiceImpl,"preserveSuccess/2[notification.entity.NotifyInfo,notification.service.HttpHeaders]",startTime,1
/data/notification/service/NotificationServiceImpl.java,notification.service.NotificationServiceImpl,"preserveSuccess/2[notification.entity.NotifyInfo,notification.service.HttpHeaders]",LOGGER,1
/data/notification/service/NotificationServiceImpl.java,notification.service.NotificationServiceImpl,"preserveSuccess/2[notification.entity.NotifyInfo,notification.service.HttpHeaders]",email,1
/data/notification/service/NotificationServiceImpl.java,notification.service.NotificationServiceImpl,"preserveSuccess/2[notification.entity.NotifyInfo,notification.service.HttpHeaders]",endPlace,1
/data/notification/service/NotificationServiceImpl.java,notification.service.NotificationServiceImpl,"preserveSuccess/2[notification.entity.NotifyInfo,notification.service.HttpHeaders]",seatNumber,1
/data/notification/service/NotificationServiceImpl.java,notification.service.NotificationServiceImpl,"preserveSuccess/2[notification.entity.NotifyInfo,notification.service.HttpHeaders]",mailService,1
/data/notification/service/NotificationServiceImpl.java,notification.service.NotificationServiceImpl,"preserveSuccess/2[notification.entity.NotifyInfo,notification.service.HttpHeaders]",username,1
/data/notification/service/NotificationServiceImpl.java,notification.service.NotificationServiceImpl,"orderCreateSuccess/2[notification.entity.NotifyInfo,notification.service.HttpHeaders]",startPlace,1
/data/notification/service/NotificationServiceImpl.java,notification.service.NotificationServiceImpl,"orderCreateSuccess/2[notification.entity.NotifyInfo,notification.service.HttpHeaders]",seatClass,1
/data/notification/service/NotificationServiceImpl.java,notification.service.NotificationServiceImpl,"orderCreateSuccess/2[notification.entity.NotifyInfo,notification.service.HttpHeaders]",startTime,1
/data/notification/service/NotificationServiceImpl.java,notification.service.NotificationServiceImpl,"orderCreateSuccess/2[notification.entity.NotifyInfo,notification.service.HttpHeaders]",LOGGER,1
/data/notification/service/NotificationServiceImpl.java,notification.service.NotificationServiceImpl,"orderCreateSuccess/2[notification.entity.NotifyInfo,notification.service.HttpHeaders]",email,1
/data/notification/service/NotificationServiceImpl.java,notification.service.NotificationServiceImpl,"orderCreateSuccess/2[notification.entity.NotifyInfo,notification.service.HttpHeaders]",endPlace,1
/data/notification/service/NotificationServiceImpl.java,notification.service.NotificationServiceImpl,"orderCreateSuccess/2[notification.entity.NotifyInfo,notification.service.HttpHeaders]",seatNumber,1
/data/notification/service/NotificationServiceImpl.java,notification.service.NotificationServiceImpl,"orderCreateSuccess/2[notification.entity.NotifyInfo,notification.service.HttpHeaders]",mailService,1
/data/notification/service/NotificationServiceImpl.java,notification.service.NotificationServiceImpl,"orderCreateSuccess/2[notification.entity.NotifyInfo,notification.service.HttpHeaders]",username,1
/data/notification/service/NotificationServiceImpl.java,notification.service.NotificationServiceImpl,"orderChangedSuccess/2[notification.entity.NotifyInfo,notification.service.HttpHeaders]",startPlace,1
/data/notification/service/NotificationServiceImpl.java,notification.service.NotificationServiceImpl,"orderChangedSuccess/2[notification.entity.NotifyInfo,notification.service.HttpHeaders]",seatClass,1
/data/notification/service/NotificationServiceImpl.java,notification.service.NotificationServiceImpl,"orderChangedSuccess/2[notification.entity.NotifyInfo,notification.service.HttpHeaders]",startTime,1
/data/notification/service/NotificationServiceImpl.java,notification.service.NotificationServiceImpl,"orderChangedSuccess/2[notification.entity.NotifyInfo,notification.service.HttpHeaders]",LOGGER,1
/data/notification/service/NotificationServiceImpl.java,notification.service.NotificationServiceImpl,"orderChangedSuccess/2[notification.entity.NotifyInfo,notification.service.HttpHeaders]",email,1
/data/notification/service/NotificationServiceImpl.java,notification.service.NotificationServiceImpl,"orderChangedSuccess/2[notification.entity.NotifyInfo,notification.service.HttpHeaders]",endPlace,1
/data/notification/service/NotificationServiceImpl.java,notification.service.NotificationServiceImpl,"orderChangedSuccess/2[notification.entity.NotifyInfo,notification.service.HttpHeaders]",seatNumber,1
/data/notification/service/NotificationServiceImpl.java,notification.service.NotificationServiceImpl,"orderChangedSuccess/2[notification.entity.NotifyInfo,notification.service.HttpHeaders]",mailService,1
/data/notification/service/NotificationServiceImpl.java,notification.service.NotificationServiceImpl,"orderChangedSuccess/2[notification.entity.NotifyInfo,notification.service.HttpHeaders]",username,1
/data/notification/service/NotificationServiceImpl.java,notification.service.NotificationServiceImpl,"orderCancelSuccess/2[notification.entity.NotifyInfo,notification.service.HttpHeaders]",LOGGER,1
/data/notification/service/NotificationServiceImpl.java,notification.service.NotificationServiceImpl,"orderCancelSuccess/2[notification.entity.NotifyInfo,notification.service.HttpHeaders]",email,1
/data/notification/service/NotificationServiceImpl.java,notification.service.NotificationServiceImpl,"orderCancelSuccess/2[notification.entity.NotifyInfo,notification.service.HttpHeaders]",mailService,1
/data/notification/service/NotificationServiceImpl.java,notification.service.NotificationServiceImpl,"orderCancelSuccess/2[notification.entity.NotifyInfo,notification.service.HttpHeaders]",username,1
/data/notification/mq/RabbitReceive.java,notification.mq.RabbitReceive,process/1[java.lang.String],date,1
/data/notification/mq/RabbitReceive.java,notification.mq.RabbitReceive,process/1[java.lang.String],startPlace,1
/data/notification/mq/RabbitReceive.java,notification.mq.RabbitReceive,process/1[java.lang.String],notifyRepository,1
/data/notification/mq/RabbitReceive.java,notification.mq.RabbitReceive,process/1[java.lang.String],seatClass,1
/data/notification/mq/RabbitReceive.java,notification.mq.RabbitReceive,process/1[java.lang.String],price,1
/data/notification/mq/RabbitReceive.java,notification.mq.RabbitReceive,process/1[java.lang.String],logger,5
/data/notification/mq/RabbitReceive.java,notification.mq.RabbitReceive,process/1[java.lang.String],startTime,1
/data/notification/mq/RabbitReceive.java,notification.mq.RabbitReceive,process/1[java.lang.String],email,1
/data/notification/mq/RabbitReceive.java,notification.mq.RabbitReceive,process/1[java.lang.String],endPlace,1
/data/notification/mq/RabbitReceive.java,notification.mq.RabbitReceive,process/1[java.lang.String],seatNumber,1
/data/notification/mq/RabbitReceive.java,notification.mq.RabbitReceive,process/1[java.lang.String],mailService,1
/data/notification/mq/RabbitReceive.java,notification.mq.RabbitReceive,process/1[java.lang.String],username,2
/data/notification/mq/RabbitSend.java,notification.mq.RabbitSend,send/1[java.lang.String],logger,1
/data/notification/mq/RabbitSend.java,notification.mq.RabbitSend,send/1[java.lang.String],rabbitTemplate,1
/data/notification/entity/Mail.java,notification.entity.Mail,Mail/0,contentType,1
