file,class,method,variable,usage
/data/notification/config/EmailProperties.java,notification.config.EmailProperties,setPort/1[java.lang.String],port,2
/data/notification/config/EmailProperties.java,notification.config.EmailProperties,setHost/1[java.lang.String],host,2
/data/notification/config/EmailProperties.java,notification.config.EmailProperties,setUsername/1[java.lang.String],username,2
/data/notification/config/EmailProperties.java,notification.config.EmailProperties,setPassword/1[java.lang.String],password,2
/data/notification/controller/NotificationController.java,notification.controller.NotificationController,"order_changed_success/2[notification.entity.NotifyInfo,notification.controller.HttpHeaders]",headers,1
/data/notification/controller/NotificationController.java,notification.controller.NotificationController,"order_changed_success/2[notification.entity.NotifyInfo,notification.controller.HttpHeaders]",info,1
/data/notification/controller/NotificationController.java,notification.controller.NotificationController,"preserve_success/2[notification.entity.NotifyInfo,notification.controller.HttpHeaders]",headers,1
/data/notification/controller/NotificationController.java,notification.controller.NotificationController,"preserve_success/2[notification.entity.NotifyInfo,notification.controller.HttpHeaders]",info,1
/data/notification/controller/NotificationController.java,notification.controller.NotificationController,test_send_mail/0,notifyInfo,11
/data/notification/controller/NotificationController.java,notification.controller.NotificationController,"order_create_success/2[notification.entity.NotifyInfo,notification.controller.HttpHeaders]",headers,1
/data/notification/controller/NotificationController.java,notification.controller.NotificationController,"order_create_success/2[notification.entity.NotifyInfo,notification.controller.HttpHeaders]",info,1
/data/notification/controller/NotificationController.java,notification.controller.NotificationController,"order_cancel_success/2[notification.entity.NotifyInfo,notification.controller.HttpHeaders]",headers,1
/data/notification/controller/NotificationController.java,notification.controller.NotificationController,"order_cancel_success/2[notification.entity.NotifyInfo,notification.controller.HttpHeaders]",info,1
/data/notification/service/MailService.java,notification.service.MailService,"sendEmail/2[notification.entity.Mail,java.lang.String]",template,1
/data/notification/service/MailService.java,notification.service.MailService,"sendEmail/2[notification.entity.Mail,java.lang.String]",mail,4
/data/notification/service/MailService.java,notification.service.MailService,"sendEmail/2[notification.entity.Mail,java.lang.String]",helper,4
/data/notification/service/MailService.java,notification.service.MailService,"sendEmail/2[notification.entity.Mail,java.lang.String]",t,1
/data/notification/service/MailService.java,notification.service.MailService,"sendEmail/2[notification.entity.Mail,java.lang.String]",text,1
/data/notification/service/MailService.java,notification.service.MailService,"sendEmail/2[notification.entity.Mail,java.lang.String]",message,2
/data/notification/service/NotificationService.java,notification.service.NotificationService,"orderChangedSuccess/2[notification.entity.NotifyInfo,notification.service.HttpHeaders]",headers,0
/data/notification/service/NotificationService.java,notification.service.NotificationService,"orderChangedSuccess/2[notification.entity.NotifyInfo,notification.service.HttpHeaders]",info,0
/data/notification/service/NotificationService.java,notification.service.NotificationService,"orderCreateSuccess/2[notification.entity.NotifyInfo,notification.service.HttpHeaders]",headers,0
/data/notification/service/NotificationService.java,notification.service.NotificationService,"orderCreateSuccess/2[notification.entity.NotifyInfo,notification.service.HttpHeaders]",info,0
/data/notification/service/NotificationService.java,notification.service.NotificationService,"preserveSuccess/2[notification.entity.NotifyInfo,notification.service.HttpHeaders]",headers,0
/data/notification/service/NotificationService.java,notification.service.NotificationService,"preserveSuccess/2[notification.entity.NotifyInfo,notification.service.HttpHeaders]",info,0
/data/notification/service/NotificationService.java,notification.service.NotificationService,"orderCancelSuccess/2[notification.entity.NotifyInfo,notification.service.HttpHeaders]",headers,0
/data/notification/service/NotificationService.java,notification.service.NotificationService,"orderCancelSuccess/2[notification.entity.NotifyInfo,notification.service.HttpHeaders]",info,0
/data/notification/NotificationApplication.java,notification.NotificationApplication,main/1[java.lang.String[]],args,1
/data/notification/NotificationApplication.java,notification.NotificationApplication,restTemplate/1[notification.RestTemplateBuilder],builder,1
/data/notification/service/NotificationServiceImpl.java,notification.service.NotificationServiceImpl,"preserveSuccess/2[notification.entity.NotifyInfo,notification.service.HttpHeaders]",headers,0
