file,class,method,variable,usage
/data/other/entity/OrderAlterInfo.java,other.entity.OrderAlterInfo,OrderAlterInfo/0,newOrderInfo,1
/data/other/config/SecurityConfig.java,other.config.SecurityConfig,configure/1[other.config.HttpSecurity],orderOther,3
/data/other/config/SecurityConfig.java,other.config.SecurityConfig,configure/1[other.config.HttpSecurity],admin,5
/data/other/init/InitData.java,other.init.InitData,run/1[java.lang.String[]],service,1
/data/other/entity/Order.java,other.entity.Order,equals/1[java.lang.Object],accountId,1
/data/other/entity/Order.java,other.entity.Order,equals/1[java.lang.Object],coachNumber,1
/data/other/entity/Order.java,other.entity.Order,equals/1[java.lang.Object],documentType,1
/data/other/entity/Order.java,other.entity.Order,equals/1[java.lang.Object],contactsDocumentNumber,1
/data/other/entity/Order.java,other.entity.Order,equals/1[java.lang.Object],seatClass,1
/data/other/entity/Order.java,other.entity.Order,equals/1[java.lang.Object],price,1
/data/other/entity/Order.java,other.entity.Order,equals/1[java.lang.Object],from,1
/data/other/entity/Order.java,other.entity.Order,equals/1[java.lang.Object],trainNumber,1
/data/other/entity/Order.java,other.entity.Order,equals/1[java.lang.Object],to,1
/data/other/entity/Order.java,other.entity.Order,equals/1[java.lang.Object],contactsName,1
/data/other/entity/Order.java,other.entity.Order,equals/1[java.lang.Object],seatNumber,1
/data/other/entity/Order.java,other.entity.Order,equals/1[java.lang.Object],status,1
/data/other/entity/Order.java,other.entity.Order,Order/0,coachNumber,1
/data/other/entity/Order.java,other.entity.Order,Order/0,travelDate,1
/data/other/entity/Order.java,other.entity.Order,Order/0,boughtDate,1
/data/other/entity/Order.java,other.entity.Order,Order/0,seatClass,1
/data/other/entity/Order.java,other.entity.Order,Order/0,price,1
/data/other/entity/Order.java,other.entity.Order,Order/0,from,1
/data/other/entity/Order.java,other.entity.Order,Order/0,trainNumber,1
/data/other/entity/Order.java,other.entity.Order,Order/0,to,1
/data/other/entity/Order.java,other.entity.Order,Order/0,seatNumber,1
/data/other/entity/Order.java,other.entity.Order,Order/0,status,1
/data/other/entity/Order.java,other.entity.Order,hashCode/0,id,2
/data/other/controller/OrderOtherController.java,other.controller.OrderOtherController,"createNewOrder/2[other.entity.Order,other.controller.HttpHeaders]",orderService,1
/data/other/controller/OrderOtherController.java,other.controller.OrderOtherController,findAllOrder/1[other.controller.HttpHeaders],orderService,1
/data/other/controller/OrderOtherController.java,other.controller.OrderOtherController,"saveOrderInfo/2[other.entity.Order,other.controller.HttpHeaders]",orderService,1
/data/other/controller/OrderOtherController.java,other.controller.OrderOtherController,"getOrderById/2[java.lang.String,other.controller.HttpHeaders]",orderService,1
/data/other/controller/OrderOtherController.java,other.controller.OrderOtherController,"securityInfoCheck/3[java.lang.String,java.lang.String,other.controller.HttpHeaders]",orderService,1
/data/other/controller/OrderOtherController.java,other.controller.OrderOtherController,"deleteOrder/2[java.lang.String,other.controller.HttpHeaders]",orderService,1
/data/other/controller/OrderOtherController.java,other.controller.OrderOtherController,"getTicketListByDateAndTripId/2[other.controller.Seat,other.controller.HttpHeaders]",orderService,1
/data/other/controller/OrderOtherController.java,other.controller.OrderOtherController,"addcreateNewOrder/2[other.entity.Order,other.controller.HttpHeaders]",orderService,1
/data/other/controller/OrderOtherController.java,other.controller.OrderOtherController,"updateOrder/2[other.entity.Order,other.controller.HttpHeaders]",orderService,1
/data/other/controller/OrderOtherController.java,other.controller.OrderOtherController,"getOrderPrice/2[java.lang.String,other.controller.HttpHeaders]",orderService,1
/data/other/controller/OrderOtherController.java,other.controller.OrderOtherController,"queryOrdersForRefresh/2[other.entity.QueryInfo,other.controller.HttpHeaders]",orderService,1
/data/other/controller/OrderOtherController.java,other.controller.OrderOtherController,"payOrder/2[java.lang.String,other.controller.HttpHeaders]",orderService,1
/data/other/controller/OrderOtherController.java,other.controller.OrderOtherController,"calculateSoldTicket/3[java.lang.String,java.lang.String,other.controller.HttpHeaders]",orderService,1
/data/other/controller/OrderOtherController.java,other.controller.OrderOtherController,"modifyOrder/3[java.lang.String,int,other.controller.HttpHeaders]",orderService,1
/data/other/controller/OrderOtherController.java,other.controller.OrderOtherController,"queryOrders/2[other.entity.QueryInfo,other.controller.HttpHeaders]",orderService,1
/data/other/entity/QueryInfo.java,other.entity.QueryInfo,"enableTravelDateQuery/2[java.lang.String,java.lang.String]",enableTravelDateQuery,2
/data/other/entity/QueryInfo.java,other.entity.QueryInfo,"enableTravelDateQuery/2[java.lang.String,java.lang.String]",travelDateEnd,1
/data/other/entity/QueryInfo.java,other.entity.QueryInfo,"enableTravelDateQuery/2[java.lang.String,java.lang.String]",travelDateStart,1
/data/other/entity/QueryInfo.java,other.entity.QueryInfo,"enableBoughtDateQuery/2[java.lang.String,java.lang.String]",boughtDateStart,1
/data/other/entity/QueryInfo.java,other.entity.QueryInfo,"enableBoughtDateQuery/2[java.lang.String,java.lang.String]",enableBoughtDateQuery,2
/data/other/entity/QueryInfo.java,other.entity.QueryInfo,"enableBoughtDateQuery/2[java.lang.String,java.lang.String]",boughtDateEnd,1
/data/other/entity/QueryInfo.java,other.entity.QueryInfo,enableStateQuery/1[int],enableStateQuery,2
/data/other/entity/QueryInfo.java,other.entity.QueryInfo,enableStateQuery/1[int],state,1
/data/other/entity/QueryInfo.java,other.entity.QueryInfo,disableStateQuery/0,enableTravelDateQuery,1
/data/other/entity/QueryInfo.java,other.entity.QueryInfo,disableStateQuery/0,state,1
/data/other/entity/QueryInfo.java,other.entity.QueryInfo,disableTravelDateQuery/0,enableTravelDateQuery,1
/data/other/entity/QueryInfo.java,other.entity.QueryInfo,disableTravelDateQuery/0,travelDateEnd,1
/data/other/entity/QueryInfo.java,other.entity.QueryInfo,disableTravelDateQuery/0,travelDateStart,1
/data/other/entity/QueryInfo.java,other.entity.QueryInfo,disableBoughtDateQuery/0,boughtDateStart,1
/data/other/entity/QueryInfo.java,other.entity.QueryInfo,disableBoughtDateQuery/0,enableBoughtDateQuery,1
/data/other/entity/QueryInfo.java,other.entity.QueryInfo,disableBoughtDateQuery/0,boughtDateEnd,1
/data/other/service/OrderOtherServiceImpl.java,other.service.OrderOtherServiceImpl,getAllOrders/1[other.service.HttpHeaders],success,1
/data/other/service/OrderOtherServiceImpl.java,other.service.OrderOtherServiceImpl,getAllOrders/1[other.service.HttpHeaders],orderOtherRepository,1
/data/other/service/OrderOtherServiceImpl.java,other.service.OrderOtherServiceImpl,"getOrderById/2[java.lang.String,other.service.HttpHeaders]",success,1
/data/other/service/OrderOtherServiceImpl.java,other.service.OrderOtherServiceImpl,"getOrderById/2[java.lang.String,other.service.HttpHeaders]",orderNotFound,1
/data/other/service/OrderOtherServiceImpl.java,other.service.OrderOtherServiceImpl,"getOrderById/2[java.lang.String,other.service.HttpHeaders]",orderOtherRepository,1
/data/other/service/OrderOtherServiceImpl.java,other.service.OrderOtherServiceImpl,"updateOrder/2[other.entity.Order,other.service.HttpHeaders]",success,1
/data/other/service/OrderOtherServiceImpl.java,other.service.OrderOtherServiceImpl,"updateOrder/2[other.entity.Order,other.service.HttpHeaders]",orderNotFound,1
/data/other/service/OrderOtherServiceImpl.java,other.service.OrderOtherServiceImpl,"updateOrder/2[other.entity.Order,other.service.HttpHeaders]",LOGGER,1
/data/other/service/OrderOtherServiceImpl.java,other.service.OrderOtherServiceImpl,"updateOrder/2[other.entity.Order,other.service.HttpHeaders]",orderOtherRepository,2
/data/other/service/OrderOtherServiceImpl.java,other.service.OrderOtherServiceImpl,"queryOrdersForRefresh/3[other.entity.QueryInfo,java.lang.String,other.service.HttpHeaders]",success,1
/data/other/service/OrderOtherServiceImpl.java,other.service.OrderOtherServiceImpl,"create/2[other.entity.Order,other.service.HttpHeaders]",success,1
/data/other/service/OrderOtherServiceImpl.java,other.service.OrderOtherServiceImpl,"create/2[other.entity.Order,other.service.HttpHeaders]",orderOtherRepository,2
/data/other/service/OrderOtherServiceImpl.java,other.service.OrderOtherServiceImpl,"queryAlreadySoldOrders/3[java.util.Date,java.lang.String,other.service.HttpHeaders]",success,1
/data/other/service/OrderOtherServiceImpl.java,other.service.OrderOtherServiceImpl,"queryAlreadySoldOrders/3[java.util.Date,java.lang.String,other.service.HttpHeaders]",orderOtherRepository,1
/data/other/service/OrderOtherServiceImpl.java,other.service.OrderOtherServiceImpl,"getOrderPrice/2[java.lang.String,other.service.HttpHeaders]",success,1
/data/other/service/OrderOtherServiceImpl.java,other.service.OrderOtherServiceImpl,"getOrderPrice/2[java.lang.String,other.service.HttpHeaders]",orderNotFound,1
/data/other/service/OrderOtherServiceImpl.java,other.service.OrderOtherServiceImpl,"getOrderPrice/2[java.lang.String,other.service.HttpHeaders]",orderOtherRepository,1
/data/other/service/OrderOtherServiceImpl.java,other.service.OrderOtherServiceImpl,"cancelOrder/3[java.lang.String,java.lang.String,other.service.HttpHeaders]",success,1
/data/other/service/OrderOtherServiceImpl.java,other.service.OrderOtherServiceImpl,"cancelOrder/3[java.lang.String,java.lang.String,other.service.HttpHeaders]",orderNotFound,1
