file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/data/order/service/OrderServiceImpl.java,order.service.OrderServiceImpl,class,21,22,1,21,73,1,0,106,0,0.5793651,0.80526316,0.80526316,21,0,20,1,0,0,20,0,0,0,6,1,0,4,0,2,1,0,6,399,36,6,16,0,0,70,53,72,14,62,4,1,0,0,141,1,44
/data/order/controller/OrderController.java,order.controller.OrderController,class,19,20,1,19,16,1,0,25,0,0.09375,0.875,0.875,16,0,16,0,0,0,16,0,0,0,2,1,0,2,0,0,1,0,0,66,16,0,0,0,0,46,0,1,0,2,0,0,0,0,67,1,14
/data/order/service/OrderServiceImpl.java,order.service.OrderServiceImpl$Anonymous1,anonymous,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
/data/order/repository/OrderRepository.java,order.repository.OrderRepository,interface,3,4,1,3,5,1,0,0,10,0.0,0.0,0.0,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0
/data/order/entity/OrderInfo.java,order.entity.OrderInfo,class,1,4,3,1,13,1,0,0,50,0.81196576,0.17948718,0.32051283,13,0,13,0,0,0,13,0,0,0,9,0,0,9,0,0,0,0,0,59,5,0,0,0,0,0,1,17,0,9,0,0,0,0,32,1,0
/data/order/service/OrderService.java,order.service.OrderService,interface,6,9,3,6,19,1,0,0,171,0.0,0.0,0.0,19,0,0,0,0,19,19,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,1,0
/data/order/config/SecurityConfig.java,order.config.SecurityConfig$Anonymous1,anonymous,1,1,0,1,1,1,0,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,8,-1,0
/data/order/init/InitData.java,order.init.InitData,class,5,5,0,5,1,1,0,16,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,6,0,0,0,0,6,0,0,0,61,0,0,0,0,0,23,12,8,0,9,0,0,0,0,35,1,0
/data/order/entity/OrderAlterInfo.java,order.entity.OrderAlterInfo,class,6,8,2,6,1,1,0,0,0,0.75,NaN,NaN,1,0,1,0,0,0,1,0,0,0,4,0,0,4,0,0,0,0,0,9,0,0,0,0,0,4,2,1,0,4,0,0,0,0,13,1,0
/data/order/config/SecurityConfig.java,order.config.SecurityConfig,class,13,13,0,13,3,2,0,15,3,0.6666667,0.0,0.0,3,0,2,0,1,0,3,0,0,0,2,0,0,0,0,2,0,0,0,19,2,0,0,0,0,14,0,2,0,2,0,1,0,0,67,1,0
/data/order/OrderApplication.java,order.OrderApplication,class,11,12,1,11,2,1,0,2,1,0.0,0.0,0.0,2,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0
/data/order/entity/Order.java,order.entity.Order,class,10,17,7,10,11,1,0,21,1,0.5208333,0.33333334,0.33333334,3,0,3,0,0,0,3,0,0,0,16,0,0,16,0,0,0,0,1,48,5,0,8,0,1,11,7,13,2,18,1,0,0,0,45,1,0
