file,class,method,variable,usage
/data/order/service/OrderServiceImpl.java,order.service.OrderServiceImpl,"findOrderById/2[java.lang.String,order.service.HttpHeaders]",orderRepository,1
/data/order/service/OrderServiceImpl.java,order.service.OrderServiceImpl,"findOrderById/2[java.lang.String,order.service.HttpHeaders]",success,1
/data/order/service/OrderServiceImpl.java,order.service.OrderServiceImpl,"alterOrder/2[order.entity.OrderAlterInfo,order.service.HttpHeaders]",orderRepository,1
/data/order/service/OrderServiceImpl.java,order.service.OrderServiceImpl,"alterOrder/2[order.entity.OrderAlterInfo,order.service.HttpHeaders]",success,1
/data/order/service/OrderServiceImpl.java,order.service.OrderServiceImpl,"queryOrders/3[order.entity.OrderInfo,java.lang.String,order.service.HttpHeaders]",orderRepository,1
/data/order/service/OrderServiceImpl.java,order.service.OrderServiceImpl,"getOrderPrice/2[java.lang.String,order.service.HttpHeaders]",orderRepository,1
/data/order/service/OrderServiceImpl.java,order.service.OrderServiceImpl,"getOrderPrice/2[java.lang.String,order.service.HttpHeaders]",success,1
/data/order/service/OrderServiceImpl.java,order.service.OrderServiceImpl,"getOrderPrice/2[java.lang.String,order.service.HttpHeaders]",orderNotFound,1
/data/order/service/OrderServiceImpl.java,order.service.OrderServiceImpl,"create/2[order.entity.Order,order.service.HttpHeaders]",orderRepository,2
/data/order/service/OrderServiceImpl.java,order.service.OrderServiceImpl,"create/2[order.entity.Order,order.service.HttpHeaders]",success,1
/data/order/service/OrderServiceImpl.java,order.service.OrderServiceImpl,"cancelOrder/3[java.lang.String,java.lang.String,order.service.HttpHeaders]",orderRepository,2
/data/order/service/OrderServiceImpl.java,order.service.OrderServiceImpl,"cancelOrder/3[java.lang.String,java.lang.String,order.service.HttpHeaders]",success,1
/data/order/service/OrderServiceImpl.java,order.service.OrderServiceImpl,"cancelOrder/3[java.lang.String,java.lang.String,order.service.HttpHeaders]",orderNotFound,1
/data/order/service/OrderServiceImpl.java,order.service.OrderServiceImpl,"initOrder/2[order.entity.Order,order.service.HttpHeaders]",orderRepository,2
/data/order/service/OrderServiceImpl.java,order.service.OrderServiceImpl,"getSoldTickets/2[order.service.Seat,order.service.HttpHeaders]",orderRepository,1
/data/order/service/OrderServiceImpl.java,order.service.OrderServiceImpl,"getSoldTickets/2[order.service.Seat,order.service.HttpHeaders]",success,1
/data/order/service/OrderServiceImpl.java,order.service.OrderServiceImpl,"modifyOrder/3[java.lang.String,int,order.service.HttpHeaders]",orderRepository,2
/data/order/service/OrderServiceImpl.java,order.service.OrderServiceImpl,"modifyOrder/3[java.lang.String,int,order.service.HttpHeaders]",orderNotFound,1
/data/order/service/OrderServiceImpl.java,order.service.OrderServiceImpl,"checkSecurityAboutOrder/3[java.util.Date,java.lang.String,order.service.HttpHeaders]",orderRepository,1
/data/order/service/OrderServiceImpl.java,order.service.OrderServiceImpl,"getOrderById/2[java.lang.String,order.service.HttpHeaders]",orderRepository,1
/data/order/service/OrderServiceImpl.java,order.service.OrderServiceImpl,"getOrderById/2[java.lang.String,order.service.HttpHeaders]",orderNotFound,1
/data/order/service/OrderServiceImpl.java,order.service.OrderServiceImpl,"queryForStationId/2[java.util.List<java.lang.String>,order.service.HttpHeaders]",restTemplate,1
/data/order/service/OrderServiceImpl.java,order.service.OrderServiceImpl,"deleteOrder/2[java.lang.String,order.service.HttpHeaders]",orderRepository,2
/data/order/service/OrderServiceImpl.java,order.service.OrderServiceImpl,"addNewOrder/2[order.entity.Order,order.service.HttpHeaders]",orderRepository,2
/data/order/service/OrderServiceImpl.java,order.service.OrderServiceImpl,"payOrder/2[java.lang.String,order.service.HttpHeaders]",orderRepository,2
/data/order/service/OrderServiceImpl.java,order.service.OrderServiceImpl,"payOrder/2[java.lang.String,order.service.HttpHeaders]",orderNotFound,1
/data/order/service/OrderServiceImpl.java,order.service.OrderServiceImpl,"queryAlreadySoldOrders/3[java.util.Date,java.lang.String,order.service.HttpHeaders]",orderRepository,1
/data/order/service/OrderServiceImpl.java,order.service.OrderServiceImpl,"queryAlreadySoldOrders/3[java.util.Date,java.lang.String,order.service.HttpHeaders]",success,1
/data/order/service/OrderServiceImpl.java,order.service.OrderServiceImpl,"saveChanges/2[order.entity.Order,order.service.HttpHeaders]",orderRepository,2
/data/order/service/OrderServiceImpl.java,order.service.OrderServiceImpl,"saveChanges/2[order.entity.Order,order.service.HttpHeaders]",success,1
/data/order/service/OrderServiceImpl.java,order.service.OrderServiceImpl,"saveChanges/2[order.entity.Order,order.service.HttpHeaders]",orderNotFound,1
/data/order/service/OrderServiceImpl.java,order.service.OrderServiceImpl,"updateOrder/2[order.entity.Order,order.service.HttpHeaders]",orderRepository,2
/data/order/service/OrderServiceImpl.java,order.service.OrderServiceImpl,"updateOrder/2[order.entity.Order,order.service.HttpHeaders]",LOGGER,1
/data/order/service/OrderServiceImpl.java,order.service.OrderServiceImpl,getAllOrders/1[order.service.HttpHeaders],orderRepository,1
/data/order/controller/OrderController.java,order.controller.OrderController,"modifyOrder/3[java.lang.String,int,order.controller.HttpHeaders]",orderService,1
/data/order/controller/OrderController.java,order.controller.OrderController,"createNewOrder/2[order.entity.Order,order.controller.HttpHeaders]",orderService,1
/data/order/controller/OrderController.java,order.controller.OrderController,"saveOrderInfo/2[order.entity.Order,order.controller.HttpHeaders]",orderService,1
/data/order/controller/OrderController.java,order.controller.OrderController,"calculateSoldTicket/3[java.lang.String,java.lang.String,order.controller.HttpHeaders]",orderService,1
/data/order/controller/OrderController.java,order.controller.OrderController,"securityInfoCheck/3[java.lang.String,java.lang.String,order.controller.HttpHeaders]",orderService,1
/data/order/controller/OrderController.java,order.controller.OrderController,"getOrderById/2[java.lang.String,order.controller.HttpHeaders]",orderService,1
/data/order/controller/OrderController.java,order.controller.OrderController,"addcreateNewOrder/2[order.entity.Order,order.controller.HttpHeaders]",orderService,1
/data/order/controller/OrderController.java,order.controller.OrderController,"getOrderPrice/2[java.lang.String,order.controller.HttpHeaders]",orderService,1
/data/order/controller/OrderController.java,order.controller.OrderController,"getTicketListByDateAndTripId/2[order.controller.Seat,order.controller.HttpHeaders]",orderService,1
/data/order/controller/OrderController.java,order.controller.OrderController,findAllOrder/1[order.controller.HttpHeaders],orderService,1
/data/order/controller/OrderController.java,order.controller.OrderController,"payOrder/2[java.lang.String,order.controller.HttpHeaders]",orderService,1
/data/order/controller/OrderController.java,order.controller.OrderController,"deleteOrder/2[java.lang.String,order.controller.HttpHeaders]",orderService,1
/data/order/controller/OrderController.java,order.controller.OrderController,"updateOrder/2[order.entity.Order,order.controller.HttpHeaders]",orderService,1
/data/order/controller/OrderController.java,order.controller.OrderController,"queryOrdersForRefresh/2[order.entity.OrderInfo,order.controller.HttpHeaders]",orderService,1
/data/order/controller/OrderController.java,order.controller.OrderController,"queryOrders/2[order.entity.OrderInfo,order.controller.HttpHeaders]",orderService,1
/data/order/entity/OrderInfo.java,order.entity.OrderInfo,"enableBoughtDateQuery/2[java.lang.String,java.lang.String]",boughtDateStart,1
/data/order/entity/OrderInfo.java,order.entity.OrderInfo,"enableBoughtDateQuery/2[java.lang.String,java.lang.String]",enableBoughtDateQuery,2
/data/order/entity/OrderInfo.java,order.entity.OrderInfo,"enableBoughtDateQuery/2[java.lang.String,java.lang.String]",boughtDateEnd,1
/data/order/entity/OrderInfo.java,order.entity.OrderInfo,disableBoughtDateQuery/0,boughtDateStart,1
/data/order/entity/OrderInfo.java,order.entity.OrderInfo,disableBoughtDateQuery/0,enableBoughtDateQuery,1
/data/order/entity/OrderInfo.java,order.entity.OrderInfo,disableBoughtDateQuery/0,boughtDateEnd,1
/data/order/entity/OrderInfo.java,order.entity.OrderInfo,disableTravelDateQuery/0,enableTravelDateQuery,1
/data/order/entity/OrderInfo.java,order.entity.OrderInfo,disableTravelDateQuery/0,travelDateEnd,1
/data/order/entity/OrderInfo.java,order.entity.OrderInfo,disableTravelDateQuery/0,travelDateStart,1
/data/order/entity/OrderInfo.java,order.entity.OrderInfo,"enableTravelDateQuery/2[java.lang.String,java.lang.String]",enableTravelDateQuery,2
/data/order/entity/OrderInfo.java,order.entity.OrderInfo,"enableTravelDateQuery/2[java.lang.String,java.lang.String]",travelDateEnd,1
/data/order/entity/OrderInfo.java,order.entity.OrderInfo,"enableTravelDateQuery/2[java.lang.String,java.lang.String]",travelDateStart,1
/data/order/entity/OrderInfo.java,order.entity.OrderInfo,isEnableTravelDateQuery/0,enableTravelDateQuery,1
/data/order/entity/OrderInfo.java,order.entity.OrderInfo,enableStateQuery/1[int],enableStateQuery,2
/data/order/entity/OrderInfo.java,order.entity.OrderInfo,enableStateQuery/1[int],state,1
/data/order/entity/OrderInfo.java,order.entity.OrderInfo,getLoginId/0,loginId,1
/data/order/entity/OrderInfo.java,order.entity.OrderInfo,isEnableStateQuery/0,enableStateQuery,1
/data/order/entity/OrderInfo.java,order.entity.OrderInfo,disableStateQuery/0,enableTravelDateQuery,1
/data/order/entity/OrderInfo.java,order.entity.OrderInfo,disableStateQuery/0,state,1
/data/order/entity/OrderInfo.java,order.entity.OrderInfo,isEnableBoughtDateQuery/0,enableBoughtDateQuery,1
/data/order/entity/OrderInfo.java,order.entity.OrderInfo,setLoginId/1[java.lang.String],loginId,3
/data/order/entity/OrderInfo.java,order.entity.OrderInfo,getState/0,state,1
/data/order/init/InitData.java,order.init.InitData,run/1[java.lang.String[]],accountId,3
/data/order/init/InitData.java,order.init.InitData,run/1[java.lang.String[]],firstClass,3
/data/order/init/InitData.java,order.init.InitData,run/1[java.lang.String[]],contactName,3
/data/order/init/InitData.java,order.init.InitData,run/1[java.lang.String[]],price,3
/data/order/init/InitData.java,order.init.InitData,run/1[java.lang.String[]],service,3
/data/order/init/InitData.java,order.init.InitData,run/1[java.lang.String[]],contactDocumentNumber,3
/data/order/entity/OrderAlterInfo.java,order.entity.OrderAlterInfo,OrderAlterInfo/0,newOrderInfo,1
/data/order/config/SecurityConfig.java,order.config.SecurityConfig,configure/1[order.config.HttpSecurity],admin,5
/data/order/config/SecurityConfig.java,order.config.SecurityConfig,configure/1[order.config.HttpSecurity],order,3
/data/order/entity/Order.java,order.entity.Order,hashCode/0,id,2
/data/order/entity/Order.java,order.entity.Order,Order/0,coachNumber,1
/data/order/entity/Order.java,order.entity.Order,Order/0,travelDate,1
/data/order/entity/Order.java,order.entity.Order,Order/0,boughtDate,1
/data/order/entity/Order.java,order.entity.Order,Order/0,seatClass,1
/data/order/entity/Order.java,order.entity.Order,Order/0,price,1
/data/order/entity/Order.java,order.entity.Order,Order/0,from,1
/data/order/entity/Order.java,order.entity.Order,Order/0,trainNumber,1
/data/order/entity/Order.java,order.entity.Order,Order/0,to,1
/data/order/entity/Order.java,order.entity.Order,Order/0,seatNumber,1
/data/order/entity/Order.java,order.entity.Order,Order/0,status,1
/data/order/entity/Order.java,order.entity.Order,equals/1[java.lang.Object],accountId,1
/data/order/entity/Order.java,order.entity.Order,equals/1[java.lang.Object],coachNumber,1
/data/order/entity/Order.java,order.entity.Order,equals/1[java.lang.Object],documentType,1
/data/order/entity/Order.java,order.entity.Order,equals/1[java.lang.Object],contactsDocumentNumber,1
/data/order/entity/Order.java,order.entity.Order,equals/1[java.lang.Object],seatClass,1
/data/order/entity/Order.java,order.entity.Order,equals/1[java.lang.Object],price,1
/data/order/entity/Order.java,order.entity.Order,equals/1[java.lang.Object],from,1
/data/order/entity/Order.java,order.entity.Order,equals/1[java.lang.Object],trainNumber,1
/data/order/entity/Order.java,order.entity.Order,equals/1[java.lang.Object],to,1
/data/order/entity/Order.java,order.entity.Order,equals/1[java.lang.Object],contactsName,1
/data/order/entity/Order.java,order.entity.Order,equals/1[java.lang.Object],seatNumber,1
/data/order/entity/Order.java,order.entity.Order,equals/1[java.lang.Object],status,1
