file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/data/order/service/OrderServiceImpl.java,order.service.OrderServiceImpl,"queryOrdersForRefresh/3[order.entity.OrderInfo,java.lang.String,order.service.HttpHeaders]",false,192,5,1,0,1,3,10,13,1,3,3,10,1,1,2,0,0,0,1,5,3,3,1,0,0,0,13,1,0,false
/data/order/service/OrderServiceImpl.java,order.service.OrderServiceImpl,"findOrderById/2[java.lang.String,order.service.HttpHeaders]",false,74,4,1,0,1,2,4,12,2,2,2,4,0,0,0,0,0,0,3,2,2,0,1,0,0,0,11,1,2,false
/data/order/service/OrderServiceImpl.java,order.service.OrderServiceImpl,"alterOrder/2[order.entity.OrderAlterInfo,order.service.HttpHeaders]",false,102,6,3,0,3,3,17,22,3,5,2,17,2,1,0,1,0,0,4,4,5,0,1,0,0,0,18,1,3,false
/data/order/service/OrderServiceImpl.java,order.service.OrderServiceImpl,"queryOrders/3[order.entity.OrderInfo,java.lang.String,order.service.HttpHeaders]",false,126,5,7,1,6,16,19,63,2,10,3,19,0,0,1,1,0,0,9,2,19,0,4,0,0,0,32,1,7,false
/data/order/service/OrderServiceImpl.java,order.service.OrderServiceImpl,"getOrderPrice/2[java.lang.String,order.service.HttpHeaders]",false,330,4,1,0,1,2,6,12,2,2,2,6,0,0,0,0,0,0,3,2,2,0,1,0,0,0,10,1,2,false
/data/order/service/OrderServiceImpl.java,order.service.OrderServiceImpl,"create/2[order.entity.Order,order.service.HttpHeaders]",false,87,4,2,1,1,2,11,14,2,1,2,11,0,0,0,0,0,0,4,2,2,0,1,0,0,0,10,1,3,false
/data/order/service/OrderServiceImpl.java,order.service.OrderServiceImpl,"cancelOrder/3[java.lang.String,java.lang.String,order.service.HttpHeaders]",false,252,4,1,0,1,2,8,14,2,2,3,8,0,0,0,0,0,0,2,2,2,0,1,0,0,0,9,1,2,false
/data/order/service/OrderServiceImpl.java,order.service.OrderServiceImpl,"initOrder/2[order.entity.Order,order.service.HttpHeaders]",false,371,3,1,0,1,2,7,11,0,2,2,7,0,0,0,0,0,0,2,0,2,0,1,0,0,0,7,1,2,false
/data/order/service/OrderServiceImpl.java,order.service.OrderServiceImpl,"getSoldTickets/2[order.service.Seat,order.service.HttpHeaders]",false,54,7,1,0,1,4,13,17,2,3,2,13,0,0,1,1,0,0,3,2,3,0,2,0,0,0,21,1,2,false
/data/order/service/OrderServiceImpl.java,order.service.OrderServiceImpl,"modifyOrder/3[java.lang.String,int,order.service.HttpHeaders]",false,315,4,1,0,1,2,7,14,2,2,3,7,0,0,0,0,0,0,3,2,2,0,1,0,0,0,9,1,2,false
