file,class,method,variable,usage
/data/order/service/OrderServiceImpl.java,order.service.OrderServiceImpl,"queryOrdersForRefresh/3[order.entity.OrderInfo,java.lang.String,order.service.HttpHeaders]",accountId,1
/data/order/service/OrderServiceImpl.java,order.service.OrderServiceImpl,"queryOrdersForRefresh/3[order.entity.OrderInfo,java.lang.String,order.service.HttpHeaders]",headers,1
/data/order/service/OrderServiceImpl.java,order.service.OrderServiceImpl,"queryOrdersForRefresh/3[order.entity.OrderInfo,java.lang.String,order.service.HttpHeaders]",stationIds,4
/data/order/service/OrderServiceImpl.java,order.service.OrderServiceImpl,"queryOrdersForRefresh/3[order.entity.OrderInfo,java.lang.String,order.service.HttpHeaders]",qi,1
/data/order/service/OrderServiceImpl.java,order.service.OrderServiceImpl,"queryOrdersForRefresh/3[order.entity.OrderInfo,java.lang.String,order.service.HttpHeaders]",i,6
/data/order/service/OrderServiceImpl.java,order.service.OrderServiceImpl,"queryOrdersForRefresh/3[order.entity.OrderInfo,java.lang.String,order.service.HttpHeaders]",orders,5
/data/order/service/OrderServiceImpl.java,order.service.OrderServiceImpl,"queryOrdersForRefresh/3[order.entity.OrderInfo,java.lang.String,order.service.HttpHeaders]",order,2
/data/order/service/OrderServiceImpl.java,order.service.OrderServiceImpl,"findOrderById/2[java.lang.String,order.service.HttpHeaders]",headers,0
/data/order/service/OrderServiceImpl.java,order.service.OrderServiceImpl,"findOrderById/2[java.lang.String,order.service.HttpHeaders]",op,2
/data/order/service/OrderServiceImpl.java,order.service.OrderServiceImpl,"findOrderById/2[java.lang.String,order.service.HttpHeaders]",id,3
/data/order/service/OrderServiceImpl.java,order.service.OrderServiceImpl,"findOrderById/2[java.lang.String,order.service.HttpHeaders]",order,1
/data/order/service/OrderServiceImpl.java,order.service.OrderServiceImpl,"alterOrder/2[order.entity.OrderAlterInfo,order.service.HttpHeaders]",headers,2
/data/order/service/OrderServiceImpl.java,order.service.OrderServiceImpl,"alterOrder/2[order.entity.OrderAlterInfo,order.service.HttpHeaders]",op,2
/data/order/service/OrderServiceImpl.java,order.service.OrderServiceImpl,"alterOrder/2[order.entity.OrderAlterInfo,order.service.HttpHeaders]",oldOrder,2
/data/order/service/OrderServiceImpl.java,order.service.OrderServiceImpl,"alterOrder/2[order.entity.OrderAlterInfo,order.service.HttpHeaders]",oldOrderId,2
/data/order/service/OrderServiceImpl.java,order.service.OrderServiceImpl,"alterOrder/2[order.entity.OrderAlterInfo,order.service.HttpHeaders]",oai,3
/data/order/service/OrderServiceImpl.java,order.service.OrderServiceImpl,"alterOrder/2[order.entity.OrderAlterInfo,order.service.HttpHeaders]",cor,2
/data/order/service/OrderServiceImpl.java,order.service.OrderServiceImpl,"alterOrder/2[order.entity.OrderAlterInfo,order.service.HttpHeaders]",newOrder,4
