file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/data/preserveOther/config/Queues.java,preserveOther.config.Queues,emailQueue/0,false,13,2,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/data/preserveOther/service/PreserveOtherServiceImpl.java,preserveOther.service.PreserveOtherServiceImpl,"checkSecurity/2[java.lang.String,preserveOther.service.HttpHeaders]",false,347,5,2,1,1,1,4,7,1,3,2,4,1,1,0,0,0,0,3,0,3,1,0,0,0,0,23,2,1,false
/data/preserveOther/service/PreserveOtherServiceImpl.java,preserveOther.service.PreserveOtherServiceImpl,"sendEmail/2[preserveOther.service.NotifyInfo,preserveOther.service.HttpHeaders]",false,287,3,1,0,1,2,4,12,2,1,2,4,0,0,0,0,1,0,2,0,1,1,1,0,0,0,17,1,2,false
/data/preserveOther/service/PreserveOtherServiceImpl.java,preserveOther.service.PreserveOtherServiceImpl,getServiceUrl/1[java.lang.String],false,41,0,11,11,0,1,0,3,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,5,2,0,false
/data/preserveOther/service/PreserveOtherServiceImpl.java,preserveOther.service.PreserveOtherServiceImpl,"queryForStationId/2[java.lang.String,preserveOther.service.HttpHeaders]",false,332,6,1,0,1,1,5,9,1,3,2,5,1,1,0,0,0,0,3,0,3,1,0,1,0,0,24,2,1,false
/data/preserveOther/service/PreserveOtherServiceImpl.java,preserveOther.service.PreserveOtherServiceImpl,"createConsign/2[preserveOther.service.Consign,preserveOther.service.HttpHeaders]",false,422,6,2,1,1,1,4,7,1,3,2,4,1,1,0,0,0,0,3,0,3,1,0,0,0,0,21,2,1,false
/data/preserveOther/service/PreserveOtherServiceImpl.java,preserveOther.service.PreserveOtherServiceImpl,"dipatchSeat/8[java.lang.String,java.lang.String,java.lang.String,java.lang.String,int,int,java.util.List<java.lang.String>,preserveOther.service.HttpHeaders]",false,265,8,2,1,1,1,11,16,1,4,8,11,1,1,0,0,0,0,2,0,4,1,0,1,0,0,31,1,0,false
/data/preserveOther/service/PreserveOtherServiceImpl.java,preserveOther.service.PreserveOtherServiceImpl,"getContactsById/2[java.lang.String,preserveOther.service.HttpHeaders]",false,377,7,2,1,1,1,4,9,1,3,2,4,1,1,0,0,0,0,3,0,3,1,0,1,0,0,21,2,1,false
/data/preserveOther/service/PreserveOtherServiceImpl.java,preserveOther.service.PreserveOtherServiceImpl,"getAccount/2[java.lang.String,preserveOther.service.HttpHeaders]",false,300,7,2,1,1,1,5,10,1,4,2,5,1,1,0,0,0,0,3,0,4,1,0,1,0,0,23,1,1,false
/data/preserveOther/service/PreserveOtherServiceImpl.java,preserveOther.service.PreserveOtherServiceImpl,"getTripAllDetailInformation/2[preserveOther.service.TripAllDetailInfo,preserveOther.service.HttpHeaders]",false,362,8,2,1,1,1,4,9,1,3,2,4,1,1,0,0,0,0,3,0,3,1,0,1,0,0,23,2,1,false
/data/preserveOther/service/PreserveOtherServiceImpl.java,preserveOther.service.PreserveOtherServiceImpl,"createOrder/2[preserveOther.service.Order,preserveOther.service.HttpHeaders]",false,392,7,2,1,1,1,4,9,1,3,2,4,1,1,0,0,0,0,3,0,3,1,0,1,0,0,22,2,1,false
