file,class,method,variable,usage
/data/preserveOther/service/PreserveOtherServiceImpl.java,preserveOther.service.PreserveOtherServiceImpl,"checkSecurity/2[java.lang.String,preserveOther.service.HttpHeaders]",accountId,1
/data/preserveOther/service/PreserveOtherServiceImpl.java,preserveOther.service.PreserveOtherServiceImpl,"checkSecurity/2[java.lang.String,preserveOther.service.HttpHeaders]",reCheckResult,1
/data/preserveOther/service/PreserveOtherServiceImpl.java,preserveOther.service.PreserveOtherServiceImpl,"checkSecurity/2[java.lang.String,preserveOther.service.HttpHeaders]",requestCheckResult,1
/data/preserveOther/service/PreserveOtherServiceImpl.java,preserveOther.service.PreserveOtherServiceImpl,"checkSecurity/2[java.lang.String,preserveOther.service.HttpHeaders]",httpHeaders,1
/data/preserveOther/service/PreserveOtherServiceImpl.java,preserveOther.service.PreserveOtherServiceImpl,"checkSecurity/2[java.lang.String,preserveOther.service.HttpHeaders]",security_service_url,1
/data/preserveOther/service/PreserveOtherServiceImpl.java,preserveOther.service.PreserveOtherServiceImpl,"sendEmail/2[preserveOther.service.NotifyInfo,preserveOther.service.HttpHeaders]",infoJson,1
/data/preserveOther/service/PreserveOtherServiceImpl.java,preserveOther.service.PreserveOtherServiceImpl,"sendEmail/2[preserveOther.service.NotifyInfo,preserveOther.service.HttpHeaders]",e,1
/data/preserveOther/service/PreserveOtherServiceImpl.java,preserveOther.service.PreserveOtherServiceImpl,"sendEmail/2[preserveOther.service.NotifyInfo,preserveOther.service.HttpHeaders]",httpHeaders,0
/data/preserveOther/service/PreserveOtherServiceImpl.java,preserveOther.service.PreserveOtherServiceImpl,"sendEmail/2[preserveOther.service.NotifyInfo,preserveOther.service.HttpHeaders]",notifyInfo,1
/data/preserveOther/service/PreserveOtherServiceImpl.java,preserveOther.service.PreserveOtherServiceImpl,getServiceUrl/1[java.lang.String],serviceName,1
/data/preserveOther/service/PreserveOtherServiceImpl.java,preserveOther.service.PreserveOtherServiceImpl,"queryForStationId/2[java.lang.String,preserveOther.service.HttpHeaders]",reQueryForStationId,1
/data/preserveOther/service/PreserveOtherServiceImpl.java,preserveOther.service.PreserveOtherServiceImpl,"queryForStationId/2[java.lang.String,preserveOther.service.HttpHeaders]",stationName,1
/data/preserveOther/service/PreserveOtherServiceImpl.java,preserveOther.service.PreserveOtherServiceImpl,"queryForStationId/2[java.lang.String,preserveOther.service.HttpHeaders]",station_service_url,1
/data/preserveOther/service/PreserveOtherServiceImpl.java,preserveOther.service.PreserveOtherServiceImpl,"queryForStationId/2[java.lang.String,preserveOther.service.HttpHeaders]",httpHeaders,1
/data/preserveOther/service/PreserveOtherServiceImpl.java,preserveOther.service.PreserveOtherServiceImpl,"queryForStationId/2[java.lang.String,preserveOther.service.HttpHeaders]",requestQueryForStationId,1
/data/preserveOther/service/PreserveOtherServiceImpl.java,preserveOther.service.PreserveOtherServiceImpl,"createConsign/2[preserveOther.service.Consign,preserveOther.service.HttpHeaders]",reResultForTravel,1
/data/preserveOther/service/PreserveOtherServiceImpl.java,preserveOther.service.PreserveOtherServiceImpl,"createConsign/2[preserveOther.service.Consign,preserveOther.service.HttpHeaders]",consign_service_url,1
/data/preserveOther/service/PreserveOtherServiceImpl.java,preserveOther.service.PreserveOtherServiceImpl,"createConsign/2[preserveOther.service.Consign,preserveOther.service.HttpHeaders]",httpHeaders,1
/data/preserveOther/service/PreserveOtherServiceImpl.java,preserveOther.service.PreserveOtherServiceImpl,"createConsign/2[preserveOther.service.Consign,preserveOther.service.HttpHeaders]",requestEntityResultForTravel,1
/data/preserveOther/service/PreserveOtherServiceImpl.java,preserveOther.service.PreserveOtherServiceImpl,"createConsign/2[preserveOther.service.Consign,preserveOther.service.HttpHeaders]",cr,1
/data/preserveOther/service/PreserveOtherServiceImpl.java,preserveOther.service.PreserveOtherServiceImpl,"dipatchSeat/8[java.lang.String,java.lang.String,java.lang.String,java.lang.String,int,int,java.util.List<java.lang.String>,preserveOther.service.HttpHeaders]",date,1
/data/preserveOther/service/PreserveOtherServiceImpl.java,preserveOther.service.PreserveOtherServiceImpl,"dipatchSeat/8[java.lang.String,java.lang.String,java.lang.String,java.lang.String,int,int,java.util.List<java.lang.String>,preserveOther.service.HttpHeaders]",seatType,1
