file,class,method,variable,usage
/data/preserve/mq/RabbitSend.java,preserve.mq.RabbitSend,send/1[java.lang.String],logger,1
/data/preserve/mq/RabbitSend.java,preserve.mq.RabbitSend,send/1[java.lang.String],rabbitTemplate,1
/data/preserve/service/PreserveServiceImpl.java,preserve.service.PreserveServiceImpl,"queryForStationId/2[java.lang.String,preserve.service.HttpHeaders]",restTemplate,1
/data/preserve/service/PreserveServiceImpl.java,preserve.service.PreserveServiceImpl,"addAssuranceForOrder/3[int,java.lang.String,preserve.service.HttpHeaders]",restTemplate,1
/data/preserve/service/PreserveServiceImpl.java,preserve.service.PreserveServiceImpl,"sendEmail/2[preserve.service.NotifyInfo,preserve.service.HttpHeaders]",sendService,1
/data/preserve/service/PreserveServiceImpl.java,preserve.service.PreserveServiceImpl,"checkSecurity/2[java.lang.String,preserve.service.HttpHeaders]",restTemplate,1
/data/preserve/service/PreserveServiceImpl.java,preserve.service.PreserveServiceImpl,"getContactsById/2[java.lang.String,preserve.service.HttpHeaders]",restTemplate,1
/data/preserve/service/PreserveServiceImpl.java,preserve.service.PreserveServiceImpl,"dipatchSeat/8[java.lang.String,java.lang.String,java.lang.String,java.lang.String,int,int,java.util.List<java.lang.String>,preserve.service.HttpHeaders]",restTemplate,1
/data/preserve/service/PreserveServiceImpl.java,preserve.service.PreserveServiceImpl,"createConsign/2[preserve.service.Consign,preserve.service.HttpHeaders]",restTemplate,1
/data/preserve/service/PreserveServiceImpl.java,preserve.service.PreserveServiceImpl,"createOrder/2[preserve.service.Order,preserve.service.HttpHeaders]",restTemplate,1
/data/preserve/service/PreserveServiceImpl.java,preserve.service.PreserveServiceImpl,"getAccount/2[java.lang.String,preserve.service.HttpHeaders]",restTemplate,1
/data/preserve/service/PreserveServiceImpl.java,preserve.service.PreserveServiceImpl,"createFoodOrder/2[preserve.service.FoodOrder,preserve.service.HttpHeaders]",restTemplate,1
/data/preserve/service/PreserveServiceImpl.java,preserve.service.PreserveServiceImpl,"preserve/2[preserve.service.OrderTicketsInfo,preserve.service.HttpHeaders]",restTemplate,1
/data/preserve/service/PreserveServiceImpl.java,preserve.service.PreserveServiceImpl,"preserve/2[preserve.service.OrderTicketsInfo,preserve.service.HttpHeaders]",LOGGER,1
/data/preserve/service/PreserveServiceImpl.java,preserve.service.PreserveServiceImpl,"getTripAllDetailInformation/2[preserve.service.TripAllDetailInfo,preserve.service.HttpHeaders]",restTemplate,1
/data/preserve/controller/PreserveController.java,preserve.controller.PreserveController,"preserve/2[preserve.controller.OrderTicketsInfo,preserve.controller.HttpHeaders]",preserveService,1
/data/preserve/config/Queues.java,preserve.config.Queues,emailQueue/0,queueName,1
