file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/data/preserve/config/SecurityConfig.java,preserve.config.SecurityConfig$Anonymous1,addCorsMappings/1[preserve.config.CorsRegistry],false,50,1,0,0,0,1,6,3,0,0,1,6,0,0,0,0,0,0,1,1,0,0,0,0,0,0,8,1,0,false
/data/preserve/PreserveApplication.java,preserve.PreserveApplication,main/1[java.lang.String[]],false,26,1,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,false
/data/preserve/PreserveApplication.java,preserve.PreserveApplication,restTemplate/1[preserve.RestTemplateBuilder],false,32,4,0,0,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/data/preserve/mq/RabbitSend.java,preserve.mq.RabbitSend,send/1[java.lang.String],false,18,0,1,1,0,1,2,4,0,0,1,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4,1,1,false
/data/preserve/service/PreserveService.java,preserve.service.PreserveService,"preserve/2[preserve.service.OrderTicketsInfo,preserve.service.HttpHeaders]",false,12,3,1,1,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,false
/data/preserve/service/PreserveServiceImpl.java,preserve.service.PreserveServiceImpl,"queryForStationId/2[java.lang.String,preserve.service.HttpHeaders]",false,329,6,1,0,1,1,5,9,1,3,2,5,1,1,0,0,0,0,3,0,3,1,0,1,0,0,24,2,1,false
/data/preserve/service/PreserveServiceImpl.java,preserve.service.PreserveServiceImpl,"addAssuranceForOrder/3[int,java.lang.String,preserve.service.HttpHeaders]",false,316,5,2,1,1,1,4,7,1,3,3,4,1,1,0,0,0,0,4,0,3,1,0,0,0,0,24,2,1,false
/data/preserve/service/PreserveServiceImpl.java,preserve.service.PreserveServiceImpl,"sendEmail/2[preserve.service.NotifyInfo,preserve.service.HttpHeaders]",false,288,3,1,0,1,2,4,12,2,1,2,4,0,0,0,0,1,0,2,0,1,1,1,0,0,0,17,1,2,false
/data/preserve/service/PreserveServiceImpl.java,preserve.service.PreserveServiceImpl,"checkSecurity/2[java.lang.String,preserve.service.HttpHeaders]",false,345,5,2,1,1,1,4,7,1,3,2,4,1,1,0,0,0,0,3,0,3,1,0,0,0,0,23,2,1,false
/data/preserve/service/PreserveServiceImpl.java,preserve.service.PreserveServiceImpl,"getContactsById/2[java.lang.String,preserve.service.HttpHeaders]",false,376,7,2,1,1,1,4,9,1,3,2,4,1,1,0,0,0,0,3,0,3,1,0,1,0,0,21,2,1,false
/data/preserve/service/PreserveServiceImpl.java,preserve.service.PreserveServiceImpl,"dipatchSeat/8[java.lang.String,java.lang.String,java.lang.String,java.lang.String,int,int,java.util.List<java.lang.String>,preserve.service.HttpHeaders]",false,266,8,2,1,1,1,11,16,1,4,8,11,1,1,0,0,0,0,2,0,4,1,0,1,0,0,31,1,0,false
/data/preserve/service/PreserveServiceImpl.java,preserve.service.PreserveServiceImpl,getServiceUrl/1[java.lang.String],false,44,0,11,11,0,1,0,3,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,5,2,0,false
