file,class,method,variable,usage
/data/preserve/config/SecurityConfig.java,preserve.config.SecurityConfig$Anonymous1,addCorsMappings/1[preserve.config.CorsRegistry],registry,1
/data/preserve/PreserveApplication.java,preserve.PreserveApplication,main/1[java.lang.String[]],args,1
/data/preserve/PreserveApplication.java,preserve.PreserveApplication,restTemplate/1[preserve.RestTemplateBuilder],builder,1
/data/preserve/mq/RabbitSend.java,preserve.mq.RabbitSend,send/1[java.lang.String],val,2
/data/preserve/service/PreserveService.java,preserve.service.PreserveService,"preserve/2[preserve.service.OrderTicketsInfo,preserve.service.HttpHeaders]",headers,0
/data/preserve/service/PreserveService.java,preserve.service.PreserveService,"preserve/2[preserve.service.OrderTicketsInfo,preserve.service.HttpHeaders]",oti,0
/data/preserve/service/PreserveServiceImpl.java,preserve.service.PreserveServiceImpl,"queryForStationId/2[java.lang.String,preserve.service.HttpHeaders]",reQueryForStationId,1
/data/preserve/service/PreserveServiceImpl.java,preserve.service.PreserveServiceImpl,"queryForStationId/2[java.lang.String,preserve.service.HttpHeaders]",stationName,1
/data/preserve/service/PreserveServiceImpl.java,preserve.service.PreserveServiceImpl,"queryForStationId/2[java.lang.String,preserve.service.HttpHeaders]",station_service_url,1
/data/preserve/service/PreserveServiceImpl.java,preserve.service.PreserveServiceImpl,"queryForStationId/2[java.lang.String,preserve.service.HttpHeaders]",httpHeaders,1
/data/preserve/service/PreserveServiceImpl.java,preserve.service.PreserveServiceImpl,"queryForStationId/2[java.lang.String,preserve.service.HttpHeaders]",requestQueryForStationId,1
/data/preserve/service/PreserveServiceImpl.java,preserve.service.PreserveServiceImpl,"addAssuranceForOrder/3[int,java.lang.String,preserve.service.HttpHeaders]",reAddAssuranceResult,1
/data/preserve/service/PreserveServiceImpl.java,preserve.service.PreserveServiceImpl,"addAssuranceForOrder/3[int,java.lang.String,preserve.service.HttpHeaders]",assurance_service_url,1
/data/preserve/service/PreserveServiceImpl.java,preserve.service.PreserveServiceImpl,"addAssuranceForOrder/3[int,java.lang.String,preserve.service.HttpHeaders]",orderId,1
/data/preserve/service/PreserveServiceImpl.java,preserve.service.PreserveServiceImpl,"addAssuranceForOrder/3[int,java.lang.String,preserve.service.HttpHeaders]",assuranceType,1
/data/preserve/service/PreserveServiceImpl.java,preserve.service.PreserveServiceImpl,"addAssuranceForOrder/3[int,java.lang.String,preserve.service.HttpHeaders]",httpHeaders,1
/data/preserve/service/PreserveServiceImpl.java,preserve.service.PreserveServiceImpl,"addAssuranceForOrder/3[int,java.lang.String,preserve.service.HttpHeaders]",requestAddAssuranceResult,1
/data/preserve/service/PreserveServiceImpl.java,preserve.service.PreserveServiceImpl,"sendEmail/2[preserve.service.NotifyInfo,preserve.service.HttpHeaders]",infoJson,1
/data/preserve/service/PreserveServiceImpl.java,preserve.service.PreserveServiceImpl,"sendEmail/2[preserve.service.NotifyInfo,preserve.service.HttpHeaders]",e,1
/data/preserve/service/PreserveServiceImpl.java,preserve.service.PreserveServiceImpl,"sendEmail/2[preserve.service.NotifyInfo,preserve.service.HttpHeaders]",httpHeaders,0
/data/preserve/service/PreserveServiceImpl.java,preserve.service.PreserveServiceImpl,"sendEmail/2[preserve.service.NotifyInfo,preserve.service.HttpHeaders]",notifyInfo,1
/data/preserve/service/PreserveServiceImpl.java,preserve.service.PreserveServiceImpl,"checkSecurity/2[java.lang.String,preserve.service.HttpHeaders]",accountId,1
/data/preserve/service/PreserveServiceImpl.java,preserve.service.PreserveServiceImpl,"checkSecurity/2[java.lang.String,preserve.service.HttpHeaders]",reCheckResult,1
/data/preserve/service/PreserveServiceImpl.java,preserve.service.PreserveServiceImpl,"checkSecurity/2[java.lang.String,preserve.service.HttpHeaders]",requestCheckResult,1
