file,class,method,variable,usage
/data/price/entity/PriceConfig.java,price.entity.PriceConfig,PriceConfig/0,id,1
/data/price/config/SecurityConfig.java,price.config.SecurityConfig,configure/1[price.config.HttpSecurity],admin,3
/data/price/config/SecurityConfig.java,price.config.SecurityConfig,configure/1[price.config.HttpSecurity],prices,3
/data/price/init/InitData.java,price.init.InitData,run/1[java.lang.String[]],zhiDa,3
/data/price/init/InitData.java,price.init.InitData,run/1[java.lang.String[]],service,10
/data/price/init/InitData.java,price.init.InitData,run/1[java.lang.String[]],gaoTieOne,3
/data/price/service/PriceServiceImpl.java,price.service.PriceServiceImpl,findAllPriceConfig/1[price.service.HttpHeaders],priceConfigRepository,1
/data/price/service/PriceServiceImpl.java,price.service.PriceServiceImpl,"updatePriceConfig/2[price.entity.PriceConfig,price.service.HttpHeaders]",noThatConfig,1
/data/price/service/PriceServiceImpl.java,price.service.PriceServiceImpl,"updatePriceConfig/2[price.entity.PriceConfig,price.service.HttpHeaders]",priceConfigRepository,2
/data/price/service/PriceServiceImpl.java,price.service.PriceServiceImpl,"findByRouteIdsAndTrainTypes/2[java.util.List<java.lang.String>,price.service.HttpHeaders]",noThatConfig,1
/data/price/service/PriceServiceImpl.java,price.service.PriceServiceImpl,"findByRouteIdsAndTrainTypes/2[java.util.List<java.lang.String>,price.service.HttpHeaders]",priceConfigRepository,1
/data/price/service/PriceServiceImpl.java,price.service.PriceServiceImpl,"deletePriceConfig/2[java.lang.String,price.service.HttpHeaders]",noThatConfig,1
/data/price/service/PriceServiceImpl.java,price.service.PriceServiceImpl,"deletePriceConfig/2[java.lang.String,price.service.HttpHeaders]",priceConfigRepository,2
/data/price/service/PriceServiceImpl.java,price.service.PriceServiceImpl,"findById/2[java.lang.String,price.service.HttpHeaders]",priceConfigRepository,1
/data/price/service/PriceServiceImpl.java,price.service.PriceServiceImpl,"createNewPriceConfig/2[price.entity.PriceConfig,price.service.HttpHeaders]",priceConfigRepository,3
/data/price/service/PriceServiceImpl.java,price.service.PriceServiceImpl,"findByRouteIdAndTrainType/3[java.lang.String,java.lang.String,price.service.HttpHeaders]",noThatConfig,1
/data/price/service/PriceServiceImpl.java,price.service.PriceServiceImpl,"findByRouteIdAndTrainType/3[java.lang.String,java.lang.String,price.service.HttpHeaders]",priceConfigRepository,1
/data/price/controller/PriceController.java,price.controller.PriceController,"create/2[price.entity.PriceConfig,price.controller.HttpHeaders]",service,1
/data/price/controller/PriceController.java,price.controller.PriceController,"query/3[java.lang.String,java.lang.String,price.controller.HttpHeaders]",service,1
/data/price/controller/PriceController.java,price.controller.PriceController,"query/2[java.util.List<java.lang.String>,price.controller.HttpHeaders]",service,1
/data/price/controller/PriceController.java,price.controller.PriceController,"delete/2[java.lang.String,price.controller.HttpHeaders]",service,1
/data/price/controller/PriceController.java,price.controller.PriceController,"update/2[price.entity.PriceConfig,price.controller.HttpHeaders]",service,1
/data/price/controller/PriceController.java,price.controller.PriceController,queryAll/1[price.controller.HttpHeaders],service,1
