file,class,method,variable,usage
/data/price/repository/PriceConfigRepository.java,price.repository.PriceConfigRepository,findById/1[java.lang.String],id,0
/data/price/repository/PriceConfigRepository.java,price.repository.PriceConfigRepository,"findByRouteIdsAndTrainTypes/2[java.util.List<java.lang.String>,java.util.List<java.lang.String>]",routeIds,0
/data/price/repository/PriceConfigRepository.java,price.repository.PriceConfigRepository,"findByRouteIdsAndTrainTypes/2[java.util.List<java.lang.String>,java.util.List<java.lang.String>]",trainTypes,0
/data/price/repository/PriceConfigRepository.java,price.repository.PriceConfigRepository,"findByRouteIdAndTrainType/2[java.lang.String,java.lang.String]",routeId,0
/data/price/repository/PriceConfigRepository.java,price.repository.PriceConfigRepository,"findByRouteIdAndTrainType/2[java.lang.String,java.lang.String]",trainType,0
/data/price/config/SecurityConfig.java,price.config.SecurityConfig,configure/1[price.config.HttpSecurity],httpSecurity,2
/data/price/init/InitData.java,price.init.InitData,run/1[java.lang.String[]],args,0
/data/price/init/InitData.java,price.init.InitData,run/1[java.lang.String[]],priceConfig,59
/data/price/PriceApplication.java,price.PriceApplication,restTemplate/1[price.RestTemplateBuilder],builder,1
/data/price/PriceApplication.java,price.PriceApplication,main/1[java.lang.String[]],args,1
/data/price/service/PriceServiceImpl.java,price.service.PriceServiceImpl,findAllPriceConfig/1[price.service.HttpHeaders],headers,0
/data/price/service/PriceServiceImpl.java,price.service.PriceServiceImpl,findAllPriceConfig/1[price.service.HttpHeaders],list,4
/data/price/service/PriceServiceImpl.java,price.service.PriceServiceImpl,"updatePriceConfig/2[price.entity.PriceConfig,price.service.HttpHeaders]",headers,0
/data/price/service/PriceServiceImpl.java,price.service.PriceServiceImpl,"updatePriceConfig/2[price.entity.PriceConfig,price.service.HttpHeaders]",op,2
/data/price/service/PriceServiceImpl.java,price.service.PriceServiceImpl,"updatePriceConfig/2[price.entity.PriceConfig,price.service.HttpHeaders]",c,7
/data/price/service/PriceServiceImpl.java,price.service.PriceServiceImpl,"updatePriceConfig/2[price.entity.PriceConfig,price.service.HttpHeaders]",priceConfig,7
/data/price/service/PriceServiceImpl.java,price.service.PriceServiceImpl,"findByRouteIdsAndTrainTypes/2[java.util.List<java.lang.String>,price.service.HttpHeaders]",rts,1
/data/price/service/PriceServiceImpl.java,price.service.PriceServiceImpl,"findByRouteIdsAndTrainTypes/2[java.util.List<java.lang.String>,price.service.HttpHeaders]",headers,0
/data/price/service/PriceServiceImpl.java,price.service.PriceServiceImpl,"findByRouteIdsAndTrainTypes/2[java.util.List<java.lang.String>,price.service.HttpHeaders]",pcs,1
