file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/data/rebook/config/SecurityConfig.java,rebook.config.SecurityConfig,class,13,13,0,13,3,2,0,15,3,0.0,0.0,0.0,3,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,17,2,0,0,0,0,9,0,0,0,0,0,1,0,0,65,1,0
/data/rebook/entity/RebookInfo.java,rebook.entity.RebookInfo,class,3,6,3,3,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,6,0,0,6,0,0,0,0,0,16,0,0,0,0,0,4,1,6,0,6,0,0,0,0,13,1,0
/data/rebook/controller/RebookController.java,rebook.controller.RebookController,class,13,14,1,13,3,1,0,10,1,0.33333334,0.33333334,0.33333334,3,0,3,0,0,0,3,0,0,0,2,1,0,1,0,1,1,0,0,15,3,0,0,0,0,7,0,1,0,2,0,0,0,0,30,1,2
/data/rebook/service/RebookServiceImpl.java,rebook.service.RebookServiceImpl$Anonymous2,anonymous,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
/data/rebook/service/RebookServiceImpl.java,rebook.service.RebookServiceImpl$Anonymous1,anonymous,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
/data/rebook/service/RebookService.java,rebook.service.RebookService,interface,3,5,2,3,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0
/data/rebook/config/SecurityConfig.java,rebook.config.SecurityConfig$Anonymous1,anonymous,1,1,0,1,1,1,0,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,8,-1,0
/data/rebook/service/RebookServiceImpl.java,rebook.service.RebookServiceImpl$Anonymous3,anonymous,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
/data/rebook/RebookApplication.java,rebook.RebookApplication,class,11,12,1,11,2,1,0,2,1,0.0,0.0,0.0,2,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0
/data/rebook/service/RebookServiceImpl.java,rebook.service.RebookServiceImpl,class,23,24,1,23,65,1,0,83,34,0.7254903,0.1,0.1,17,1,5,12,0,0,5,0,0,0,3,1,0,3,0,0,1,0,11,353,35,0,24,0,5,79,31,114,20,97,4,3,0,0,163,1,15
