file,class,method,variable,usage
/data/rebook/entity/RebookInfo.java,rebook.entity.RebookInfo,RebookInfo/0,date,1
/data/rebook/entity/RebookInfo.java,rebook.entity.RebookInfo,RebookInfo/0,seatType,1
/data/rebook/entity/RebookInfo.java,rebook.entity.RebookInfo,RebookInfo/0,loginId,1
/data/rebook/entity/RebookInfo.java,rebook.entity.RebookInfo,RebookInfo/0,orderId,1
/data/rebook/entity/RebookInfo.java,rebook.entity.RebookInfo,RebookInfo/0,tripId,1
/data/rebook/entity/RebookInfo.java,rebook.entity.RebookInfo,RebookInfo/0,oldTripId,1
/data/rebook/controller/RebookController.java,rebook.controller.RebookController,"payDifference/2[rebook.entity.RebookInfo,rebook.controller.HttpHeaders]",service,1
/data/rebook/controller/RebookController.java,rebook.controller.RebookController,"rebook/2[rebook.entity.RebookInfo,rebook.controller.HttpHeaders]",service,1
/data/rebook/service/RebookServiceImpl.java,rebook.service.RebookServiceImpl,"payDifferentMoney/5[java.lang.String,java.lang.String,java.lang.String,java.lang.String,rebook.service.HttpHeaders]",restTemplate,1
/data/rebook/service/RebookServiceImpl.java,rebook.service.RebookServiceImpl,"getRouteByRouteId/2[java.lang.String,rebook.service.HttpHeaders]",restTemplate,1
/data/rebook/service/RebookServiceImpl.java,rebook.service.RebookServiceImpl,"getRouteByRouteId/2[java.lang.String,rebook.service.HttpHeaders]",LOGGER,2
/data/rebook/service/RebookServiceImpl.java,rebook.service.RebookServiceImpl,"dipatchSeat/8[java.lang.String,java.lang.String,java.lang.String,java.lang.String,int,int,java.util.List<java.lang.String>,rebook.service.HttpHeaders]",restTemplate,1
/data/rebook/service/RebookServiceImpl.java,rebook.service.RebookServiceImpl,"updateOrder/3[rebook.service.Order,java.lang.String,rebook.service.HttpHeaders]",restTemplate,1
/data/rebook/service/RebookServiceImpl.java,rebook.service.RebookServiceImpl,"drawBackMoney/3[java.lang.String,java.lang.String,rebook.service.HttpHeaders]",restTemplate,1
/data/rebook/service/RebookServiceImpl.java,rebook.service.RebookServiceImpl,"deleteOrder/3[java.lang.String,java.lang.String,rebook.service.HttpHeaders]",restTemplate,1
/data/rebook/service/RebookServiceImpl.java,rebook.service.RebookServiceImpl,"queryTrainTypeByName/2[java.lang.String,rebook.service.HttpHeaders]",restTemplate,1
/data/rebook/service/RebookServiceImpl.java,rebook.service.RebookServiceImpl,"getOrderByRebookInfo/2[rebook.entity.RebookInfo,rebook.service.HttpHeaders]",restTemplate,1
/data/rebook/service/RebookServiceImpl.java,rebook.service.RebookServiceImpl,"getTripAllDetailInformation/3[rebook.service.TripAllDetailInfo,java.lang.String,rebook.service.HttpHeaders]",restTemplate,1
/data/rebook/service/RebookServiceImpl.java,rebook.service.RebookServiceImpl,"createOrder/3[rebook.service.Order,java.lang.String,rebook.service.HttpHeaders]",restTemplate,1
