file,class,method,variable,usage
/data/plan/service/RoutePlanService.java,plan.service.RoutePlanService,"searchMinStopStations/2[plan.service.RoutePlanInfo,plan.service.HttpHeaders]",headers,0
/data/plan/service/RoutePlanService.java,plan.service.RoutePlanService,"searchMinStopStations/2[plan.service.RoutePlanInfo,plan.service.HttpHeaders]",info,0
/data/plan/service/RoutePlanService.java,plan.service.RoutePlanService,"searchQuickestResult/2[plan.service.RoutePlanInfo,plan.service.HttpHeaders]",headers,0
/data/plan/service/RoutePlanService.java,plan.service.RoutePlanService,"searchQuickestResult/2[plan.service.RoutePlanInfo,plan.service.HttpHeaders]",info,0
/data/plan/service/RoutePlanService.java,plan.service.RoutePlanService,"searchCheapestResult/2[plan.service.RoutePlanInfo,plan.service.HttpHeaders]",headers,0
/data/plan/service/RoutePlanService.java,plan.service.RoutePlanService,"searchCheapestResult/2[plan.service.RoutePlanInfo,plan.service.HttpHeaders]",info,0
/data/plan/config/SecurityConfig.java,plan.config.SecurityConfig,configure/1[plan.config.HttpSecurity],httpSecurity,2
/data/plan/service/RoutePlanServiceImpl.java,plan.service.RoutePlanServiceImpl,"getRouteByRouteId/2[java.lang.String,plan.service.HttpHeaders]",result,2
/data/plan/service/RoutePlanServiceImpl.java,plan.service.RoutePlanServiceImpl,"getRouteByRouteId/2[java.lang.String,plan.service.HttpHeaders]",headers,0
/data/plan/service/RoutePlanServiceImpl.java,plan.service.RoutePlanServiceImpl,"getRouteByRouteId/2[java.lang.String,plan.service.HttpHeaders]",route_service_url,1
/data/plan/service/RoutePlanServiceImpl.java,plan.service.RoutePlanServiceImpl,"getRouteByRouteId/2[java.lang.String,plan.service.HttpHeaders]",routeId,2
/data/plan/service/RoutePlanServiceImpl.java,plan.service.RoutePlanServiceImpl,"getRouteByRouteId/2[java.lang.String,plan.service.HttpHeaders]",re,1
/data/plan/service/RoutePlanServiceImpl.java,plan.service.RoutePlanServiceImpl,"getRouteByRouteId/2[java.lang.String,plan.service.HttpHeaders]",requestEntity,1
/data/plan/service/RoutePlanServiceImpl.java,plan.service.RoutePlanServiceImpl,getServiceUrl/1[java.lang.String],serviceName,1
/data/plan/service/RoutePlanServiceImpl.java,plan.service.RoutePlanServiceImpl,"getStationList/2[java.lang.String,plan.service.HttpHeaders]",travel2_service_url,1
/data/plan/service/RoutePlanServiceImpl.java,plan.service.RoutePlanServiceImpl,"getStationList/2[java.lang.String,plan.service.HttpHeaders]",headers,0
/data/plan/service/RoutePlanServiceImpl.java,plan.service.RoutePlanServiceImpl,"getStationList/2[java.lang.String,plan.service.HttpHeaders]",path,3
/data/plan/service/RoutePlanServiceImpl.java,plan.service.RoutePlanServiceImpl,"getStationList/2[java.lang.String,plan.service.HttpHeaders]",re,1
/data/plan/service/RoutePlanServiceImpl.java,plan.service.RoutePlanServiceImpl,"getStationList/2[java.lang.String,plan.service.HttpHeaders]",route,1
/data/plan/service/RoutePlanServiceImpl.java,plan.service.RoutePlanServiceImpl,"getStationList/2[java.lang.String,plan.service.HttpHeaders]",tripId,4
/data/plan/service/RoutePlanServiceImpl.java,plan.service.RoutePlanServiceImpl,"getStationList/2[java.lang.String,plan.service.HttpHeaders]",requestEntity,1
/data/plan/service/RoutePlanServiceImpl.java,plan.service.RoutePlanServiceImpl,"getStationList/2[java.lang.String,plan.service.HttpHeaders]",travel_service_url,1
/data/plan/service/RoutePlanServiceImpl.java,plan.service.RoutePlanServiceImpl,"getTripFromHighSpeedTravelServive/2[plan.service.TripInfo,plan.service.HttpHeaders]",headers,0
/data/plan/service/RoutePlanServiceImpl.java,plan.service.RoutePlanServiceImpl,"getTripFromHighSpeedTravelServive/2[plan.service.TripInfo,plan.service.HttpHeaders]",re,1
/data/plan/service/RoutePlanServiceImpl.java,plan.service.RoutePlanServiceImpl,"getTripFromHighSpeedTravelServive/2[plan.service.TripInfo,plan.service.HttpHeaders]",tripResponses,2
/data/plan/service/RoutePlanServiceImpl.java,plan.service.RoutePlanServiceImpl,"getTripFromHighSpeedTravelServive/2[plan.service.TripInfo,plan.service.HttpHeaders]",requestEntity,1
/data/plan/service/RoutePlanServiceImpl.java,plan.service.RoutePlanServiceImpl,"getTripFromHighSpeedTravelServive/2[plan.service.TripInfo,plan.service.HttpHeaders]",info,4
/data/plan/service/RoutePlanServiceImpl.java,plan.service.RoutePlanServiceImpl,"getTripFromHighSpeedTravelServive/2[plan.service.TripInfo,plan.service.HttpHeaders]",travel_service_url,1
/data/plan/service/RoutePlanServiceImpl.java,plan.service.RoutePlanServiceImpl,"getTripFromNormalTrainTravelService/2[plan.service.TripInfo,plan.service.HttpHeaders]",travel2_service_url,1
/data/plan/service/RoutePlanServiceImpl.java,plan.service.RoutePlanServiceImpl,"getTripFromNormalTrainTravelService/2[plan.service.TripInfo,plan.service.HttpHeaders]",headers,0
/data/plan/service/RoutePlanServiceImpl.java,plan.service.RoutePlanServiceImpl,"getTripFromNormalTrainTravelService/2[plan.service.TripInfo,plan.service.HttpHeaders]",re,1
/data/plan/service/RoutePlanServiceImpl.java,plan.service.RoutePlanServiceImpl,"getTripFromNormalTrainTravelService/2[plan.service.TripInfo,plan.service.HttpHeaders]",list,2
/data/plan/service/RoutePlanServiceImpl.java,plan.service.RoutePlanServiceImpl,"getTripFromNormalTrainTravelService/2[plan.service.TripInfo,plan.service.HttpHeaders]",requestEntity,1
/data/plan/service/RoutePlanServiceImpl.java,plan.service.RoutePlanServiceImpl,"getTripFromNormalTrainTravelService/2[plan.service.TripInfo,plan.service.HttpHeaders]",info,2
/data/plan/service/RoutePlanServiceImpl.java,plan.service.RoutePlanServiceImpl,"searchCheapestResult/2[plan.service.RoutePlanInfo,plan.service.HttpHeaders]",headers,3
/data/plan/service/RoutePlanServiceImpl.java,plan.service.RoutePlanServiceImpl,"searchCheapestResult/2[plan.service.RoutePlanInfo,plan.service.HttpHeaders]",returnResult,3
/data/plan/service/RoutePlanServiceImpl.java,plan.service.RoutePlanServiceImpl,"searchCheapestResult/2[plan.service.RoutePlanInfo,plan.service.HttpHeaders]",tempUnit,10
/data/plan/service/RoutePlanServiceImpl.java,plan.service.RoutePlanServiceImpl,"searchCheapestResult/2[plan.service.RoutePlanInfo,plan.service.HttpHeaders]",i,6
/data/plan/service/RoutePlanServiceImpl.java,plan.service.RoutePlanServiceImpl,"searchCheapestResult/2[plan.service.RoutePlanInfo,plan.service.HttpHeaders]",j,5
/data/plan/service/RoutePlanServiceImpl.java,plan.service.RoutePlanServiceImpl,"searchCheapestResult/2[plan.service.RoutePlanInfo,plan.service.HttpHeaders]",thisRes,1
/data/plan/service/RoutePlanServiceImpl.java,plan.service.RoutePlanServiceImpl,"searchCheapestResult/2[plan.service.RoutePlanInfo,plan.service.HttpHeaders]",units,2
/data/plan/service/RoutePlanServiceImpl.java,plan.service.RoutePlanServiceImpl,"searchCheapestResult/2[plan.service.RoutePlanInfo,plan.service.HttpHeaders]",highSpeed,1
/data/plan/service/RoutePlanServiceImpl.java,plan.service.RoutePlanServiceImpl,"searchCheapestResult/2[plan.service.RoutePlanInfo,plan.service.HttpHeaders]",normalTrain,1
/data/plan/service/RoutePlanServiceImpl.java,plan.service.RoutePlanServiceImpl,"searchCheapestResult/2[plan.service.RoutePlanInfo,plan.service.HttpHeaders]",size,4
/data/plan/service/RoutePlanServiceImpl.java,plan.service.RoutePlanServiceImpl,"searchCheapestResult/2[plan.service.RoutePlanInfo,plan.service.HttpHeaders]",tempResponse,9
/data/plan/service/RoutePlanServiceImpl.java,plan.service.RoutePlanServiceImpl,"searchCheapestResult/2[plan.service.RoutePlanInfo,plan.service.HttpHeaders]",minPrice,3
/data/plan/service/RoutePlanServiceImpl.java,plan.service.RoutePlanServiceImpl,"searchCheapestResult/2[plan.service.RoutePlanInfo,plan.service.HttpHeaders]",minIndex,3
/data/plan/service/RoutePlanServiceImpl.java,plan.service.RoutePlanServiceImpl,"searchCheapestResult/2[plan.service.RoutePlanInfo,plan.service.HttpHeaders]",queryInfo,5
/data/plan/service/RoutePlanServiceImpl.java,plan.service.RoutePlanServiceImpl,"searchCheapestResult/2[plan.service.RoutePlanInfo,plan.service.HttpHeaders]",info,3
